Pub_1st_author,Pub_year,Analysis_1,Analysis_2,Analysis_3,Analysis_4,Nutrient_Analyses,Effect_size (natural log response ratio of mean inoculated plant mass over mean non-inoculated plant mass),Estimated_variance (inverse of summed replicates of inoculated and non-inoculated plants),"N-fertilization (0=not fertilized with N, 1=fertilized with N)","P-fertilization (0=not fertilized with P, 1=fertilized with P)","Fertilization (N only, P only, neither, or both)",Location (lab or field),MycorrhizaType (AM or EM),"InoculumComplexity (Single species, multiple species, or whole soil inoculum)",PlantGenus,PlantSpecificEpithet,PlantFamily,PlantFunctionalGroup,FungalGenus,MicrobeControl,Sterility,Plant_tissue_N:P_ratio
Abdalla,2000,Yes,Yes,Yes,Yes,No,0.361566805,0.05,0,0,neither,lab,AM,Single,Arachis,hypogaea,Fabaceae,N-fixing forb,Glomus,microbial wash,sterile,
Abdalla,2000,Yes,Yes,Yes,Yes,No,0.283345118,0.05,0,0,neither,lab,AM,Single,Arachis,hypogaea,Fabaceae,N-fixing forb,Glomus,microbial wash,sterile,
Abdalla,2000,Yes,Yes,Yes,Yes,No,0.230269764,0.05,0,0,neither,lab,AM,Single,Arachis,hypogaea,Fabaceae,N-fixing forb,Glomus,microbial wash,sterile,
Azcon,1997,Yes,Yes,Yes,Yes,No,2.257464658,0.1,0,0,neither,lab,AM,Single,Lavandula,spica,Lamiaceae,non-N-fixing woody,Glomus,microbial wash,sterile,
Azcon,1997,Yes,Yes,Yes,Yes,No,2.171249091,0.1,0,0,neither,lab,AM,Single,Lavandula,spica,Lamiaceae,non-N-fixing woody,Glomus,microbial wash,sterile,
Azcon,1997,Yes,Yes,Yes,Yes,No,2.140066163,0.1,0,0,neither,lab,AM,Single,Lavandula,spica,Lamiaceae,non-N-fixing woody,Glomus,microbial wash,sterile,
Azcon,1997,Yes,Yes,Yes,Yes,No,0.748576985,0.1,0,0,neither,lab,AM,Single,Lavandula,spica,Lamiaceae,non-N-fixing woody,Glomus,microbial wash,sterile,
Azcon,1997,Yes,Yes,Yes,Yes,No,0.794929875,0.1,0,0,neither,lab,AM,Single,Lavandula,spica,Lamiaceae,non-N-fixing woody,Glomus,microbial wash,sterile,
Azcon,1997,Yes,Yes,Yes,Yes,No,1.645971656,0.1,0,0,neither,lab,AM,Single,Lavandula,spica,Lamiaceae,non-N-fixing woody,Glomus,microbial wash,sterile,
Azcon,1997,Yes,Yes,Yes,Yes,No,0.18859117,0.1,0,0,neither,lab,AM,Single,Lavandula,spica,Lamiaceae,non-N-fixing woody,Glomus,microbial wash,sterile,
Azcon,1997,Yes,Yes,Yes,Yes,No,0.677398824,0.1,0,0,neither,lab,AM,Single,Lavandula,spica,Lamiaceae,non-N-fixing woody,Glomus,microbial wash,sterile,
Azcon,1997,Yes,Yes,Yes,Yes,No,2.613216098,0.1,0,0,neither,lab,AM,Single,Lavandula,spica,Lamiaceae,non-N-fixing woody,Glomus,microbial wash,sterile,
Azcon,1997,Yes,Yes,Yes,Yes,No,0.729350229,0.1,0,0,neither,lab,AM,Single,Lavandula,spica,Lamiaceae,non-N-fixing woody,Glomus,microbial wash,sterile,
Azcon,1997,Yes,Yes,Yes,Yes,No,0.571913316,0.1,0,0,neither,lab,AM,Single,Lavandula,spica,Lamiaceae,non-N-fixing woody,Glomus,microbial wash,sterile,
Azcon,1997,Yes,Yes,Yes,Yes,No,2.083895892,0.1,0,0,neither,lab,AM,Single,Lavandula,spica,Lamiaceae,non-N-fixing woody,Glomus,microbial wash,sterile,
