species,slope,slope_SE,mass_f,id_population,id_species,broods,migr2,meanFED,meanFED_SE,duration,duration_SE,losses,losses_SE,clutch,clutch_se,t1_slope,t2_slope,t4_slope
Accipiter_cooperii,0.02532,0.014,529,1,1,0,1,-0.078,0.058,-0.051,0.116,-0.176,0.161,0.011819387,0.014477419,-0.003447368,-0.059838057,0.00187247
Accipiter_gentilis,-0.007,0.0135,1137,2,2,0,1,0.044,0.032,-0.165,0.034,-0.058,0.099,-0.023551469,0.012997224,0.097351916,0.057543554,0.035214866
Accipiter_gentilis,-0.0188,0.02272,1137,3,2,0,1,-0.06,0.115,0.107,0.228,9.00E-05,0.003,-0.049434273,0.027016116,-0.019802956,0.026403941,0.043021346
Accipiter_nisus,0.07997,0.03613,325,4,3,0,1,-0.144,0.097,0.25,0.281,-0.442,0.266,-0.039396756,0.039875273,0.100977444,0.06518797,0.014486216
Acrocephalus_scirpaceus,0.05338,0.01806,12.3,5,4,1,1,-0.296,0.508,0.716,0.119,-0.365,0.284,-0.001304489,0.024191236,0.091042781,0.052005348,0.073161765
Aegolius_funereus,-0.0178,0.04407,167,6,5,0,0,0.83,0.533,0.661,1.036,-0.287,0.88,-0.013498715,0.044159549,-0.076512176,0.027192982,0.03745614
Aegolius_funereus,-0.0029,0.01977,167,7,5,0,0,-0.009,0.24,-0.488,1.459,0.109,0.48,0.005588285,0.020194838,-0.074670088,0.020252933,0.068892045
Aegolius_funereus,-0.0615,0.03516,167,8,5,0,0,0.291,0.418,2.008,0.002,0.856,0.488,-0.042487534,0.036611428,0.287260572,0.169065773,0.01464359
Aethia_cristatella,0.00858,0.02186,264,9,6,0,0,-0.15,0.133,0.055,0.23,-0.17,0.434,NA,NA,0.010863181,0.018157953,0.025182301
Aethia_cristatella,-0.0382,0.01889,264,10,6,0,0,-0.262,0.116,-0.349,0.101,1.198,0.593,NA,NA,0.030323395,0.018914956,0.029765396
