"x"
"Loxia curvirostra"
"Promerops cafer"
"Larus dominicanus"
"Tyto alba"
"Luscinia svecica"
"Rallus longirostris"
"Fulica americana"
"Grus canadensis"
"Platalea leucorodia"
"Setophaga ruticilla"
"Seiurus aurocapilla"
"Tyrannus forficatus"
"Rostrhamus sociabilis"
"Pernis apivorus"
"Corapipo altera"
"Manacus candei"
"Ceratopipra mentalis"
"Automolus infuscatus"
"Hyloctistes subulatus"
"Philydor erythrocercum"
"Sclerurus caudacutus"
"Xenops minutus"
"Glyphorynchus spirurus"
"Gymnopithys leucaspis"
"Hylophylax naevius"
"Willisornis poecilinotus"
"Myrmoborus myotherinus"
"Epinecrophylla fjeldsaai"
"Isleria hauxwelli"
"Myrmotherula axillaris"
"Myrmotherula longipennis"
"Hafferia fortis"
"Pithys albifrons"
"Thamnomanes ardesiacus"
"Thamnomanes caesius"
"Conopophaga peruviana"
"Formicarius colma"
"Corythopis torquatus"
"Mionectes oleagineus"
"Myiobius barbatus"
"Platyrinchus coronatus"
"Chiroxiphia pareola"
"Lepidothrix coronata"
"Pipra filicauda"
"Dixiphia pipra"
"Turdus albicollis"
"Tunchiornis ochraceiceps"
"Henicorhina leucosticta"
"Microcerculus marginatus"
"Habia rubica"
"Cyanoloxia cyanoides"
"Strix occidentalis"
"Acrocephalus palustris"
"Otus scops"
"Apus pallidus"
"Luscinia megarhynchos"
"Andropadus importunus"
"Saxicola rubetra"
"Thamnophilus atrinucha"
"Epinecrophylla fulviventris"
"Hylophylax naevioides"
"Gymnopithys bicolor"
"Phaenostictus mcleannani"
"Formicarius analis"
"Sclerurus guatemalensis"
"Dendrocincla fuliginosa"
"Rhynchocyclus olivaceus"
"Terenotriccus erythrurus"
"Cyphorhinus phaeocephalus"
"Microbates cinereiventris"
"Larus argentatus"
"Vireo bellii"
"Tachycineta leucorrhoa"
"Vermivora chrysoptera"
"Charadrius melodus"
"Eremophila alpestris"
"Larus fuscus"
"Cardellina pusilla"
"Setophaga petechia"
"Sylvia communis"
"Acrocephalus arundinaceus"
"Prunella modularis"
"Parus caeruleus"
"Parus major"
"Sylvia borin"
"Sylvia curruca"
"Pyrrhula pyrrhula"
"Phylloscopus collybita"
"Erithacus rubecula"
"Sylvia atricapilla"
"Fringilla coelebs"
"Emberiza schoeniclus"
"Turdus philomelos"
"Turdus merula"
"Acrocephalus schoenobaenus"
"Troglodytes troglodytes"
"Phylloscopus trochilus"
"Tachycineta bicolor"
"Haematopus moquini"
"Pycnonotus capensis"
"Larus hartlaubii"
"Anthobaphes chalybeus"
"Nectarinia famosa"
"Ploceus capensis"
"Turdus olivaceus"
"Buteo rufofuscus"
"Onychognathus morio"
"Falco rupicolus"
"Dessonornis caffra"
"Motacilla capensis"
"Zosterops capensis"
"Sigelus silens"
"Threskiornis aethiopicus"
"Colius striatus"
"Columba guinea"
"Apus caffer"
"Lanius collaris"
"Fulica cristata"
"Passer melanurus"
"Estrilda astrild"
"Euplectes orix"
"Melierax canorus"
"Bubo africanus"
"Vidua macroura"
"Pycnonotus nigricans"
"Ploceus velatus"
"Ploceus cucullatus"
"Falco biarmicus"
"Vanellus armatus"
"Urocolius indicus"
"Amadina erythrocephala"
"Elanus caeruleus"
"Spermestes cucullata"
"Amblyospiza albifrons"
"Lybius torquatus"
"Hirundo spilodera"
"Pycnonotus tricolor"
"Motacilla clara"
"Passer diffusus"
"Quelea quelea"
"Plocepasser mahali"
"Trachyphonus vaillantii"
"Gyps africanus"
"Uraeginthus angolensis"
"Thalasseus maximus"
"Hydroprogne caspia"
"Serinus serinus"
"Philetairus socius"
"Riparia riparia"
"Peucaea aestivalis"
"Calcarius pictus"
"Falco peregrinus"
"Promerops gurneyi"
"Pyrrhocorax graculus"
"Arremonops rufivirgatus"
"Columbina passerina"
"Myiarchus tyrannulus"
"Passerina versicolor"
"Toxostoma longirostre"
"Picoides scalaris"
"Baeolophus atricristatus"
"Aimophila ruficeps"
"Spinus psaltria"
"Sayornis nigricans"
"Passerina ciris"
"Vireo huttoni"
"Thryomanes bewickii"
"Passerina caerulea"
"Psaltriparus minimus"
"Limnothlypis swainsonii"
"Mimus polyglottos"
"Melozone aberti"
"Oreothlypis luciae"
"Vireo griseus"
"Myiarchus cinerascens"
"Piranga rubra"
"Coccyzus americanus"
"Thryothorus ludovicianus"
"Protonotaria citrea"
"Poecile carolinensis"
"Toxostoma redivivum"
"Setophaga citrina"
"Melozone crissalis"
"Vireo plumbeus"
"Setophaga discolor"
"Geothlypis formosa"
"Empidonax virescens"
"Cardinalis cardinalis"
"Polioptila caerulea"
"Icteria virens"
"Baeolophus bicolor"
"Parkesia motacilla"
"Picoides nuttallii"
"Melanerpes carolinus"
"Haemorhous mexicanus"
"Setophaga pinus"
"Sialia mexicana"
"Oreothlypis virginiae"
"Helmitheros vermivorum"
"Sialia sialis"
"Baeolophus inornatus"
"Pipilo erythrophthalmus"
"Icterus spurius"
"Aphelocoma californica"
"Myiarchus crinitus"
"Chamaea fasciata"
"Passerina cyanea"
"Spiza americana"
"Chondestes grammacus"
"Pheucticus melanocephalus"
"Contopus virens"
"Icterus bullockii"
"Hylocichla mustelina"
"Toxostoma rufum"
"Pipilo chlorurus"
"Setophaga americana"
"Spizella pusilla"
"Cyanocitta cristata"
"Hirundo rustica"
"Troglodytes aedon"
"Piranga olivacea"
"Pipilo maculatus"
"Vermivora cyanoptera"
"Sitta carolinensis"
"Sayornis phoebe"
"Picoides pubescens"
"Molothrus ater"
"Setophaga occidentalis"
"Ammodramus savannarum"
"Tyrannus tyrannus"
"Contopus sordidulus"
"Quiscalus quiscula"
"Cyanocitta stelleri"
"Agelaius phoeniceus"
"Icterus galbula"
"Dumetella carolinensis"
"Poecile gambeli"
"Passerina amoena"
"Haemorhous cassinii"
"Tachycineta thalassina"
"Piranga ludoviciana"
"Geothlypis trichas"
"Vireo olivaceus"
"Empidonax oberholseri"
"Spinus tristis"
"Setophaga caerulescens"
"Mniotilta varia"
"Pheucticus ludovicianus"
"Picoides villosus"
"Spizella passerina"
"Geothlypis tolmiei"
"Vireo cassinii"
"Vireo gilvus"
"Dolichonyx oryzivorus"
"Setophaga virens"
"Setophaga pensylvanica"
"Colaptes auratus"
"Sphyrapicus nuchalis"
"Certhia americana"
"Cardellina canadensis"
"Melospiza melodia"
"Catharus fuscescens"
"Bombycilla cedrorum"
"Turdus migratorius"
"Vireo solitarius"
"Oreothlypis ruficapilla"
"Poecile atricapillus"
"Contopus cooperi"
"Setophaga townsendi"
"Poecile rufescens"
"Sphyrapicus ruber"
"Empidonax minimus"
"Setophaga magnolia"
"Geothlypis philadelphia"
"Spizella pallida"
"Empidonax hammondii"
"Spinus pinus"
"Sitta canadensis"
"Haemorhous purpureus"
"Melospiza georgiana"
"Sphyrapicus varius"
"Setophaga coronata"
"Troglodytes pacificus"
"Zonotrichia albicollis"
"Regulus satrapa"
"Catharus guttatus"
"Oreothlypis celata"
"Catharus ustulatus"
"Junco hyemalis"
"Regulus calendula"
"Setophaga striata"
"Parkesia noveboracensis"
"Zonotrichia leucophrys"
"Melospiza lincolnii"
"Passerculus sandwichensis"
"Ixoreus naevius"
"Perisoreus canadensis"
"Poecile hudsonicus"
"Passerella iliaca"
"Zonotrichia atricapilla"
"Catharus minimus"
"Phylloscopus borealis"
"Spizelloides arborea"
"Falco tinnunculus"
"Accipiter nisus"
"Erythropygia galactotes"
"Bostrychia hagedash"
"Haematopus ostralegus"
"Haliaeetus albicilla"
"Strix aluco"
"Alophoixus phaeocephalus"
"Tricholestes criniger"
"Pellorneum capistratum"
"Malacocincla malaccensis"
"Trichastoma bicolor"
"Malacopteron magnirostre"
"Malacopteron cinereum"
"Stachyris maculata"
"Stachyris nigricollis"
"Stachyris erythroptera"
"Macronous ptilosus"
"Copsychus malabaricus"
