,Phylo,Family,Order,Scientific_name,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status,Habitat_Category,IsMigrate,cMass
1,Abroscopus_albogularis,Sylviidae,Passeriformes,Abroscopus albogularis,9,4.9,2.7,2.3,15.3,43.4,5.7,37.3,13.3,38.7,4.8,Forest,1,1,Carnivore,Invertivore,Insessorial,14.97,31.56,24.78,105.57,1704650.6,Extant,Forested_Vegetated,1,-0.902198271
2,Abroscopus_schisticeps,Sylviidae,Passeriformes,Abroscopus schisticeps,9,4.7,2.6,2.3,16.5,47.1,7.6,39.5,16.1,47.5,4.7,Forest,1,1,Carnivore,Invertivore,Insessorial,20.19,31.12,26.7,95.58,909217.05,Extant,Forested_Vegetated,1,-0.92325168
3,Abroscopus_superciliaris,Sylviidae,Passeriformes,Abroscopus superciliaris,12.3,7.4,3.1,2.8,16.6,51.2,6.5,44.5,12.7,42.4,6.5,Shrubland,1,1,Carnivore,Invertivore,Insessorial,-8.11,28.81,9.89,105.2,2493437.47,Extant,Arid_Open,1,-0.599012012
4,Achaetops_pycnopygius,Sylviidae,Passeriformes,Achaetops pycnopygius,20.1,9.5,3.3,4.6,24.2,68.1,4.4,62.7,6.6,79.4,28.3,Rock,3,1,Carnivore,Invertivore,Insessorial,-24.27,-8.76,-18.6,15.07,423641.18,Extant,Arid_Open,1,0.872047616
5,Acrocephalus_aedon,Sylviidae,Passeriformes,Acrocephalus aedon,17.8,10.8,4.9,5.1,26,78.4,16.9,61.6,21.6,78.6,22.4,Shrubland,3,3,Carnivore,Invertivore,Insessorial,38.72,59.51,50.11,110.59,6900163.32,Extant,Arid_Open,0,0.63824677
6,Acrocephalus_aequinoctialis,Sylviidae,Passeriformes,Acrocephalus aequinoctialis,20.9,11,3.4,3.5,24.5,73.5,14.3,59.2,19.5,63.5,25,Shrubland,3,1,Carnivore,Invertivore,Generalist,1.78,4.7,2.11,-157.63,229.11,Extant,Arid_Open,1,0.748061636
7,Acrocephalus_agricola,Sylviidae,Passeriformes,Acrocephalus agricola,13.6,7.8,3.2,2.8,21.1,55.2,10.1,44.7,18.4,54.9,9.6,Wetland,3,3,Carnivore,Invertivore,Insessorial,35.39,56.93,46.5,71.71,6560153.7,Extant,Aquatic_Coastal,0,-0.20905109
8,Acrocephalus_arundinaceus,Sylviidae,Passeriformes,Acrocephalus arundinaceus,21.9,12.9,4.6,5.1,27.3,91.1,24.7,66.7,26.8,75,30,Wetland,3,3,Carnivore,Invertivore,Insessorial,23.84,63.2,47.42,70.38,14642510.44,Extant,Aquatic_Coastal,0,0.930383193
9,Acrocephalus_atyphus,Sylviidae,Passeriformes,Acrocephalus atyphus,26.7,15,4.7,4.9,28.1,88.3,16.3,71.6,18.6,78.2,30,Shrubland,3,1,Carnivore,Invertivore,Insessorial,-21.73,-14.09,-16.91,-144.1,611.16,Extant,Arid_Open,1,0.930383193
10,Acrocephalus_australis,Sylviidae,Passeriformes,Acrocephalus australis,19.9,10.6,3.8,4.1,24,71.6,16.3,55,22.9,67,17.7,Wetland,3,3,Carnivore,Invertivore,Insessorial,-43.31,18.84,-21.31,137.46,5363722.05,Extant,Aquatic_Coastal,0,0.402750451
