"study_id","study_num","ES_num","country","latitude","longitude","FR_hist","FR_comp","fire_type","habitat","response","response_detailed","TSF_months","TSF_factor","fire_activity","fire_activity_fact","fire_intensity","fire_intensity_fact","PLF_detailed","PLF","climate","Xtreat1_type","Xtreat1_fact","Xtreat2_type","Xtreat2_fact","surface_crown","eff_n","d_Hedges","var_Hedges","imputed","source"
"Bennett_2014",1,1,"Australia",-37.4,144.25,"crown","frequency","prescribed","forest-broadleaf","abundance","size-biom",NA,NA,0.020413295,"low",0.076585767,"low","tree","woody","temperate-nodry",NA,NA,NA,NA,"crown-crown",20,-0.297214295,0.202208408,"no","Fig1"
"Karna_2019",2,1,"Australia",-37.51,145.45,"crown","severity","wildfire","forest-broadleaf","abundance","size-biom",102,"long",0.054754482,"high",0.32840504,"high","tree","woody","temperate-nodry",NA,NA,NA,NA,"crown-crown",24,0.021167421,0.166676001,"no","Fig5"
"Karna_2019",2,2,"Australia",-37.51,145.45,"crown","severity","wildfire","forest-broadleaf","abundance","size-biom",102,"long",0.054754482,"high",0.32840504,"high","tree","woody","temperate-nodry",NA,NA,NA,NA,"crown-crown",24,1.684328376,0.225770043,"no","Fig5"
"Karna_2019",2,3,"Australia",-37.51,145.45,"crown","severity","wildfire","forest-broadleaf","abundance","cover",102,"long",0.054754482,"high",0.32840504,"high","tree","woody","temperate-nodry",NA,NA,NA,NA,"crown-crown",24,-1.22626153,0.197994111,"no","Fig6"
"Fidelis_2021",3,1,"Brazil",-30.1,-51.116667,"surface","frequency","prescribed","grassland","abundance","dens-freq",1,NA,0.001570253,"low",0.007357795,"low","shrub","woody","temperate-nodry","regeneration_strategy","Resprout",NA,NA,"surface-surface",14,9.744491218,3.676968182,"no","Tab1"
"Fidelis_2021",3,2,"Brazil",-30.1,-51.116667,"surface","frequency","prescribed","grassland","abundance","dens-freq",1,NA,0.001570253,"low",0.007357795,"low","forb","herb","temperate-nodry","regeneration_strategy","Resprout",NA,NA,"surface-surface",14,0.915020132,0.315616494,"no","Tab1"
"Fidelis_2021",3,3,"Brazil",-30.1,-51.116667,"surface","frequency","prescribed","grassland","abundance","dens-freq",1,NA,0.001570253,"low",0.007357795,"low","graminoid","herb","temperate-nodry","regeneration_strategy","Resprout",NA,NA,"surface-surface",14,0.743559021,0.305460001,"no","Tab1"
"Fidelis_2021",3,4,"Brazil",-30.1,-51.116667,"surface","frequency","prescribed","grassland","abundance","dens-freq",1,NA,0.001570253,"low",0.007357795,"low","graminoid","herb","temperate-nodry","regeneration_strategy","Seedling",NA,NA,"surface-surface",14,0.880865616,0.313425865,"no","Tab1"
"Fidelis_2021",3,5,"Brazil",-30.1,-51.116667,"surface","frequency","prescribed","grassland","abundance","dens-freq",3,NA,0.001570253,"low",0.007357795,"low","forb","herb","temperate-nodry","regeneration_strategy","Seedling",NA,NA,"surface-surface",14,1.891857043,0.41354011,"no","Tab1"
"Fidelis_2021",3,6,"Brazil",-30.1,-51.116667,"surface","frequency","prescribed","grassland","abundance","dens-freq",1,NA,0.001570253,"low",0.007357795,"low","forb","herb","temperate-nodry","regeneration_strategy","Seedling",NA,NA,"surface-surface",14,1.058462036,0.325726496,"no","Tab1"
"Fidelis_2021",3,7,"Brazil",-30.1,-51.116667,"surface","frequency","prescribed","grassland","abundance","dens-freq",3,NA,0.001570253,"low",0.007357795,"low","forb","herb","temperate-nodry","regeneration_strategy","Resprout",NA,NA,"surface-surface",14,1.75824053,0.396121777,"no","Tab1"
"Fidelis_2021",3,8,"Brazil",-30.1,-51.116667,"surface","frequency","prescribed","grassland","abundance","dens-freq",3,NA,0.001570253,"low",0.007357795,"low","graminoid","herb","temperate-nodry","regeneration_strategy","Resprout",NA,NA,"surface-surface",14,1.887141766,0.412903716,"no","Tab1"
"Fidelis_2021",3,9,"Brazil",-30.1,-51.116667,"surface","frequency","prescribed","grassland","abundance","dens-freq",3,NA,0.001570253,"low",0.007357795,"low","graminoid","herb","temperate-nodry","regeneration_strategy","Seedling",NA,NA,"surface-surface",14,1.013702128,0.322414,"no","Tab1"
"Fidelis_2021",3,10,"Brazil",-30.1,-51.116667,"surface","frequency","prescribed","grassland","abundance","dens-freq",3,NA,0.001570253,"low",0.007357795,"low","shrub","woody","temperate-nodry","regeneration_strategy","Seedling",NA,NA,"surface-surface",14,-0.717245773,0.304087196,"no","Tab1"
"Fidelis_2021",3,11,"Brazil",-30.1,-51.116667,"surface","frequency","prescribed","grassland","abundance","dens-freq",3,NA,0.001570253,"low",0.007357795,"low","shrub","woody","temperate-nodry","regeneration_strategy","Resprout",NA,NA,"surface-surface",14,0.120146016,0.286229824,"no","Tab1"
"Bowles_2013",4,1,"US",41.833333,-88.233333,"surface","frequency","prescribed","grassland","diversity","sha-sim",NA,NA,0.013840981,"low",0.094439908,"low",NA,NA,"cold",NA,NA,NA,NA,"surface-surface",34,1.36221808,0.177443579,"no","Fig5d"
"Bowles_2013",4,2,"US",41.833333,-88.233333,"surface","frequency","prescribed","grassland","diversity","richness",NA,NA,0.013840981,"low",0.094439908,"low","forb","herb","cold",NA,NA,NA,NA,"surface-surface",19.0344827586207,1.882708612,0.271258578,"no","Fig7"
"Bowles_2013",4,3,"US",41.833333,-88.233333,"surface","frequency","prescribed","grassland","diversity","richness",NA,NA,0.013840981,"low",0.094439908,"low",NA,"woody","cold",NA,NA,NA,NA,"surface-surface",19.0344827586207,-0.113199454,0.210365861,"no","Fig7"
"Bowles_2013",4,4,"US",41.833333,-88.233333,"surface","frequency","prescribed","grassland","diversity","richness",NA,NA,0.013840981,"low",0.094439908,"low","graminoid","herb","cold",NA,NA,NA,NA,"surface-surface",19.0344827586207,0.498566765,0.214430597,"no","Fig7"
"Bowles_2013",4,5,"US",41.833333,-88.233333,"surface","frequency","prescribed","grassland","diversity","evenness",NA,NA,0.013840981,"low",0.094439908,"low",NA,NA,"cold",NA,NA,NA,NA,"surface-surface",34,0.10287431,0.121532822,"no","Fig5b"
"Bowles_2013",4,6,"US",41.833333,-88.233333,"surface","frequency","prescribed","grassland","diversity","richness",NA,NA,0.013840981,"low",0.094439908,"low",NA,NA,"cold",NA,NA,NA,NA,"surface-surface",34,1.383100848,0.179180847,"no","Fig5a"
"Bowles_2013",4,7,"US",41.833333,-88.233333,"surface","frequency","prescribed","grassland","diversity","richness",NA,NA,0.013840981,"low",0.094439908,"low","graminoid","herb","cold",NA,NA,NA,NA,"surface-surface",19.0344827586207,-0.248799704,0.211212191,"no","Fig7"
"Bowles_2013",4,8,"US",41.833333,-88.233333,"surface","frequency","prescribed","grassland","diversity","richness",NA,NA,0.013840981,"low",0.094439908,"low","forb","herb","cold",NA,NA,NA,NA,"surface-surface",19.0344827586207,1.219935549,0.235804285,"no","Fig7"
"Bowles_2013",4,9,"US",41.833333,-88.233333,"surface","frequency","prescribed","grassland","diversity","richness",NA,NA,0.013840981,"low",0.094439908,"low","forb","herb","cold",NA,NA,NA,NA,"surface-surface",19.0344827586207,0.618433838,0.216739073,"no","Fig7"
"Bowles_2013",4,10,"US",41.833333,-88.233333,"surface","frequency","prescribed","grassland","diversity","gamma",NA,NA,0.013840981,"low",0.094439908,"low",NA,NA,"cold",NA,NA,NA,NA,"surface-surface",34,1.337875636,0.175451855,"no","Fig5c"
"Noble_2013",5,1,"Australia",-33.4,142.6,"crown","frequency","prescribed","shrubland","fitness","survival",NA,NA,0.00132334,"low",0.056188887,"low","shrub","woody","arid",NA,NA,NA,NA,NA,117.27868852459,-1.163131244,0.03965136,"no","Fig1"
"Hoffmann_2003",6,1,"Brazil",-15.93,-47.88,"crown","severity","prescribed","shrubland","fitness","survival",NA,NA,0.124460657,"high",0.108107439,"low",NA,"woody","tropical","stem_diameter","small",NA,NA,"crown-crown",12,-0.025705208,0.333360865,"yes","Fig1"
"Hoffmann_2003",6,2,"Brazil",-15.93,-47.88,"crown","severity","prescribed","shrubland","fitness","survival",NA,NA,0.124460657,"high",0.108107439,"low",NA,"woody","tropical","stem_diameter","large",NA,NA,"crown-crown",12,-2.912641436,0.686811672,"yes","Fig1"
"Hoffmann_2003",6,3,"Brazil",-15.93,-47.88,"crown","severity","prescribed","shrubland","fitness","survival",NA,NA,0.124460657,"high",0.108107439,"low",NA,"woody","tropical","stem_diameter","small",NA,NA,"crown-crown",12,0,0.333333333,"yes","Fig1"
"Hoffmann_2003",6,4,"Brazil",-15.93,-47.88,"crown","severity","prescribed","shrubland","fitness","survival",NA,NA,0.124460657,"high",0.108107439,"low",NA,"woody","tropical","stem_diameter","large",NA,NA,"crown-crown",12,-3.220724888,0.765544534,"yes","Fig1"
"Hoffmann_2003",6,5,"Brazil",-15.93,-47.88,"crown","severity","prescribed","shrubland","fitness","survival",NA,NA,0.124460657,"high",0.108107439,"low",NA,"woody","tropical","stem_diameter","small",NA,NA,"crown-crown",12,0,0.333333333,"yes","Fig1"
"Hoffmann_2003",6,6,"Brazil",-15.93,-47.88,"crown","severity","prescribed","shrubland","fitness","survival",NA,NA,0.124460657,"high",0.108107439,"low",NA,"woody","tropical","stem_diameter","large",NA,NA,"crown-crown",12,-3.985887418,0.995304105,"yes","Fig1"
"Hoffmann_2003",6,7,"Brazil",-15.93,-47.88,"crown","severity","prescribed","shrubland","fitness","survival",NA,NA,0.124460657,"high",0.108107439,"low",NA,"woody","tropical","stem_diameter","small",NA,NA,"crown-crown",12,0,0.333333333,"yes","Fig1"
"Hoffmann_2003",6,8,"Brazil",-15.93,-47.88,"crown","severity","prescribed","shrubland","fitness","survival",NA,NA,0.124460657,"high",0.108107439,"low",NA,"woody","tropical","stem_diameter","large",NA,NA,"crown-crown",12,-1.55005178,0.433444188,"yes","Fig1"
"Hoffmann_2003",6,9,"Brazil",-15.93,-47.88,"crown","severity","prescribed","shrubland","fitness","survival",NA,NA,0.124460657,"high",0.108107439,"low",NA,"woody","tropical","stem_diameter","small",NA,NA,"crown-crown",12,0,0.333333333,"yes","Fig1"
"Hoffmann_2003",6,10,"Brazil",-15.93,-47.88,"crown","severity","prescribed","shrubland","fitness","survival",NA,NA,0.124460657,"high",0.108107439,"low",NA,"woody","tropical","stem_diameter","large",NA,NA,"crown-crown",12,-2.907664685,0.685604747,"yes","Fig1"
"Brockway_1997",7,1,"US",31.166667,-85.25,"surface","frequency","prescribed","woodland","abundance","size-biom",8,NA,0.037689803,"high",0.053287733,"low","tree","woody","temperate-nodry",NA,NA,NA,NA,"surface-surface",24,-0.04716553,0.166713012,"yes","Tab1"
"Brockway_1997",7,2,"US",31.166667,-85.25,"surface","frequency","prescribed","woodland","abundance","dens-freq",8,NA,0.037689803,"high",0.053287733,"low","tree","woody","temperate-nodry",NA,NA,NA,NA,"surface-surface",24,0.383769778,0.169734984,"yes","Tab1"
"Brockway_1997",7,3,"US",31.166667,-85.25,"surface","frequency","prescribed","woodland","abundance","cover",8,NA,0.037689803,"high",0.053287733,"low","shrub","woody","temperate-nodry",NA,NA,NA,NA,"surface-surface",48,0.153919963,0.083580118,"yes","Tab2"
"Brockway_1997",7,4,"US",31.166667,-85.25,"surface","frequency","prescribed","woodland","abundance","cover",8,NA,0.037689803,"high",0.053287733,"low","forb","herb","temperate-nodry",NA,NA,NA,NA,"surface-surface",48,-1.330968445,0.101786219,"yes","Tab2"
"Brockway_1997",7,5,"US",31.166667,-85.25,"surface","frequency","prescribed","woodland","abundance","cover",8,NA,0.037689803,"high",0.053287733,"low","graminoid","herb","temperate-nodry",NA,NA,NA,NA,"surface-surface",144,0.109536955,0.027819439,"yes","Tab2"
"Brockway_1997",7,6,"US",31.166667,-85.25,"surface","frequency","prescribed","woodland","diversity","evenness",8,NA,0.037689803,"high",0.053287733,"low",NA,NA,"temperate-nodry",NA,NA,NA,NA,"surface-surface",144,0,0.027777778,"yes","Tab4"
"Brockway_1997",7,7,"US",31.166667,-85.25,"surface","frequency","prescribed","woodland","abundance","cover",8,NA,0.037689803,"high",0.053287733,"low","forb","herb","temperate-nodry",NA,NA,NA,NA,"surface-surface",144,-0.336260553,0.028170386,"yes","Tab2"
"Brockway_1997",7,8,"US",31.166667,-85.25,"surface","frequency","prescribed","woodland","diversity","richness",8,NA,0.037689803,"high",0.053287733,"low",NA,NA,"temperate-nodry",NA,NA,NA,NA,"surface-surface",144,0.093394871,0.027808065,"yes","Tab4"
"Brockway_1997",7,9,"US",31.166667,-85.25,"surface","frequency","prescribed","woodland","diversity","sha-sim",8,NA,0.037689803,"high",0.053287733,"low",NA,NA,"temperate-nodry",NA,NA,NA,NA,"surface-surface",144,0.034929419,0.027782014,"yes","Tab4"
"Brockway_1997",7,10,"US",31.166667,-85.25,"surface","frequency","prescribed","woodland","abundance","cover",8,NA,0.037689803,"high",0.053287733,"low","tree-reg","woody","temperate-nodry",NA,NA,NA,NA,"surface-surface",48,-0.268200428,0.084082619,"yes","Tab2"
