line_ID,Study_ID,Study,Current_species,Species_phylogeny,Family,Order,Migration,Clutch_size,Breeding_latitudinal_range,Body_mass,Diet_diversity,Trophic_level,Nest_type,Location,Country,Latitude,Longitude,Continent,Start_year,End_year,Duration,N_years,Pooled_years,Phenophase,Early_central_late,Slope,Data_type
1643,1,"Adamík, P., & Král, M. (2008). Climate_and resource_driven long_term changes in dormice populations negatively affect hole_nesting songbirds. Journal of Zoology, 275(3), 209-215. ",Cyanistes_caeruleus,Parus_caeruleus,Paridae,Passeriformes,Partial,10,36,12.00,Intermediate,Secondary,Cavity,Dlouha´Loucˇka,Czech_Republic,49.82,17.20,Europe,1980,2005,26,26,0,Breeding,Central,-0.173,standardized_scientist_observation_in_field_or_centre
2150,1,"Adamík, P., & Král, M. (2008). Climate_and resource_driven long_term changes in dormice populations negatively affect hole_nesting songbirds. Journal of Zoology, 275(3), 209-215. ",Ficedula_hypoleuca,Ficedula_hypoleuca,Muscicapidae,Passeriformes,Long,6,39,13.00,Specialist,Secondary,Cavity,Dlouha´Loucˇka,Czech_Republic,49.82,17.20,Europe,1980,2005,26,26,0,Breeding,Central,-0.345,standardized_scientist_observation_in_field_or_centre
4005,1,"Adamík, P., & Král, M. (2008). Climate_and resource_driven long_term changes in dormice populations negatively affect hole_nesting songbirds. Journal of Zoology, 275(3), 209-215. ",Parus_major,Parus_major,Paridae,Passeriformes,Partial,10,80,18.00,Intermediate,Secondary,Cavity,Dlouha´Loucˇka,Czech_Republic,49.82,17.20,Europe,1980,2005,26,26,0,Breeding,Central,-0.196,standardized_scientist_observation_in_field_or_centre
5514,1,"Adamík, P., & Král, M. (2008). Climate_and resource_driven long_term changes in dormice populations negatively affect hole_nesting songbirds. Journal of Zoology, 275(3), 209-215. ",Sitta_europaea,Sitta_europaea,Sittidae,Passeriformes,Resident,7,44,22.00,Specialist,Secondary,Cavity,Dlouha´Loucˇka,Czech_Republic,49.82,17.20,Europe,1980,2005,26,26,0,Breeding,Central,-0.088,standardized_scientist_observation_in_field_or_centre
196,2,"Adamík, P., & Pietruszková, J. (2008). Advances in spring but variable autumnal trends in timing of inland wader migration. Acta Ornithologica, 43(2), 119-128.",Actitis_hypoleucos,Actitis_hypoleucos,Scolopacidae,Charadriiformes,Long,4,43,50.00,Intermediate,Secondary,Non-cavity,CzechRepublic,Czech_Republic,49.82,15.47,Europe,1964,2005,42,26,0,Pre-breeding migration,Early,-0.340,standardized_capture_and_ringing
197,2,"Adamík, P., & Pietruszková, J. (2008). Advances in spring but variable autumnal trends in timing of inland wader migration. Acta Ornithologica, 43(2), 119-128.",Actitis_hypoleucos,Actitis_hypoleucos,Scolopacidae,Charadriiformes,Long,4,43,50.00,Intermediate,Secondary,Non-cavity,CzechRepublic,Czech_Republic,49.82,15.47,Europe,1964,2005,42,41,0,Post-breeding migration,Early,-0.060,standardized_capture_and_ringing
211,2,"Adamík, P., & Pietruszková, J. (2008). Advances in spring but variable autumnal trends in timing of inland wader migration. Acta Ornithologica, 43(2), 119-128.",Actitis_hypoleucos,Actitis_hypoleucos,Scolopacidae,Charadriiformes,Long,4,43,50.00,Intermediate,Secondary,Non-cavity,CzechRepublic,Czech_Republic,49.82,15.47,Europe,1964,2005,42,41,0,Post-breeding migration,Late,-0.160,standardized_capture_and_ringing
212,2,"Adamík, P., & Pietruszková, J. (2008). Advances in spring but variable autumnal trends in timing of inland wader migration. Acta Ornithologica, 43(2), 119-128.",Actitis_hypoleucos,Actitis_hypoleucos,Scolopacidae,Charadriiformes,Long,4,43,50.00,Intermediate,Secondary,Non-cavity,CzechRepublic,Czech_Republic,49.82,15.47,Europe,1964,2005,42,26,0,Pre-breeding migration,Central,-0.230,standardized_capture_and_ringing
213,2,"Adamík, P., & Pietruszková, J. (2008). Advances in spring but variable autumnal trends in timing of inland wader migration. Acta Ornithologica, 43(2), 119-128.",Actitis_hypoleucos,Actitis_hypoleucos,Scolopacidae,Charadriiformes,Long,4,43,50.00,Intermediate,Secondary,Non-cavity,CzechRepublic,Czech_Republic,49.82,15.47,Europe,1964,2005,42,41,0,Post-breeding migration,Central,-0.170,standardized_capture_and_ringing
902,2,"Adamík, P., & Pietruszková, J. (2008). Advances in spring but variable autumnal trends in timing of inland wader migration. Acta Ornithologica, 43(2), 119-128.",Calidris_alpina,Calidris_alpina,Scolopacidae,Charadriiformes,Short,4,26,48.00,Intermediate,Secondary,Non-cavity,CzechRepublic,Czech_Republic,49.82,15.47,Europe,1964,2005,42,31,0,Post-breeding migration,Early,-0.240,standardized_capture_and_ringing
