StudyID,Species,SampleSize,EffectSize,Var,BodyMass,RelativeBrainSize,HWI,Diet,MaxFlockSize,Longevity,ClutchSize,Area,Habitat
1,Anas platyrhynchos,188,0.353527283,0.073521462,843.42,-0.021717149,50.7,Omnivorous,200,29,10.515,NonTropical,Rural
1,Anas crecca,54,0.267825176,0.140028008,341.89,-0.198490201,53.1,Herbivore,120,21,9.5,NonTropical,Rural
2,Bucephala clangula,81,0.2649,0.0114,656,0.207160607,51.4,Invertebrate,24,16.92,9.5,NonTropical,Rural
2,Anas platyrhynchos,34,-0.342,0.0269,843.42,-0.021717149,50.7,Omnivorous,45,29,10.515,NonTropical,Rural
3,Anthus rufulus,27,0.082840297,0.045454545,22.7,NA,21.6,Invertebrate,4,5.42,3.5,Tropical,Urban
3,Calidris minuta,31,0.353263967,0.038461538,21.1,-0.306484527,50.6,Invertebrate,200,12,4,Tropical,Urban
3,Charadrius alexandrinus,33,-0.167224736,0.035714286,56,-0.311660872,53.9,Invertebrate,40,15,3,Tropical,Urban
3,Charadrius mongolus,36,-0.230191364,0.032258065,64,-0.1643026,58.5,Invertebrate,20,NA,3,Tropical,Urban
3,Bubulcus ibis,20,0.088189661,0.066666667,512,-0.101257748,29.9,Invertebrate,10,18.42,4.25,Tropical,Urban
3,Dinopium benghalense,20,-0.423339261,0.066666667,100,NA,21.4,Invertebrate,4,NA,3,Tropical,Urban
3,Himantopus himantopus,41,-0.051477262,0.027777778,208,NA,52.2,Invertebrate,40,10.23,3.955,Tropical,Urban
3,Tringa totanus,26,0.058449109,0.047619048,155,-0.345212147,47.2,Invertebrate,4,23.62,4,Tropical,Urban
3,Turdoides affinis,25,-0.191355504,0.05,63,NA,11.8,Omnivorous,8,NA,3.5,Tropical,Urban
3,Vanellus indicus,38,-0.134331738,0.03030303,181,NA,43.2,Invertebrate,3,NA,4,Tropical,Urban
4,Branta canadensis,46,0.5279,0.15430335,2811.68,-0.17084699,49.4,Herbivore,NA,27.42,5.15,NonTropical,Rural
5,Tadorna tadorna,40,0.613852073,0.164398987,1146.83,-0.212437272,51.8,Invertebrate,NA,24.75,8.95,NonTropical,Rural
5,Haematopus ostralegus,103,0.560186709,0.1,526,-0.026538625,51.2,Invertebrate,NA,36,2.9,NonTropical,Rural
5,Vanellus vanellus,30,0.394408229,0.19245009,218.37,-0.21082073,40.2,Invertebrate,NA,23.6,4,NonTropical,Rural
5,Pluvialis apricaria,36,0.703327259,0.174077656,214,-0.153454838,57.4,Invertebrate,NA,12.75,4,NonTropical,Rural
5,Charadrius hiaticula,44,0.556448166,0.156173762,64.04,-0.139912068,53.5,Invertebrate,NA,20.36,3.5,NonTropical,Rural
5,Numenius arquata,84,0.415614827,0.111111111,802.99,-0.212525233,53.2,Omnivorous,NA,31.5,4,NonTropical,Rural
5,Limosa lapponica,71,0.438603571,0.121267813,291.65,-0.108168571,56.6,Invertebrate,NA,10.96,4,NonTropical,Rural
5,Tringa totanus,43,0.598204185,0.164398987,129,-0.243459261,47.2,Invertebrate,NA,23.62,4,NonTropical,Rural
5,Tringa totanus,40,0.470175405,0.19245009,129,-0.243459261,47.2,Invertebrate,NA,23.62,4,NonTropical,Rural
5,Calidris alpina,245,0.604937612,0.064282435,51.89,-0.17027894,53.4,Invertebrate,NA,19.75,4,NonTropical,Rural
5,Calidris alpina,66,0.238788933,0.125988158,51.89,-0.17027894,53.4,Invertebrate,NA,19.75,4,NonTropical,Rural
6,Pycnonotus brunneus,58,-0.22145234,0.019230769,30,NA,12.3,Herbivore,5,NA,2,Tropical,Rural
6,Streptopelia capicola,68,-0.390435835,0.016129032,142,-0.329387545,32.6,Omnivorous,8,NA,2,Tropical,Rural
6,Anthreptes collaris,64,-0.080011526,0.017241379,6.98,NA,13.8,Omnivorous,3,NA,2.25,Tropical,Rural
6,Dicrurus adsimilis,37,0.185013778,0.032258065,40.3,NA,25.8,Invertebrate,2,NA,2.7,Tropical,Rural
6,Corythaixoides concolor,30,-0.198730963,0.041666667,258,0.186489361,18.3,Herbivore,10,NA,2.55,Tropical,Rural
6,Stigmatopelia senegalensis,25,-0.139945185,0.052631579,82.13,-0.209630396,34.2,Herbivore,13,5.75,2,Tropical,Rural
6,Sylvietta rufescens,32,-0.010786178,0.038461538,11.6,NA,9.5,Invertebrate,2,NA,1.955,Tropical,Rural
6,Nectarinia mariquensis,27,0.522722072,0.047619048,11.47,NA,19,Omnivorous,2,NA,1.85,Tropical,Rural
6,Passer diffusus,27,0.178641646,0.047619048,24.2,NA,22.9,Omnivorous,4,NA,3.3,Tropical,Rural
7,Haematopus longirostris,21,0.338390505,0.058823529,613.88,-0.092763238,49.9,Invertebrate,29,36,2.8,NonTropical,Rural
7,Charadrius ruficapillus,24,0.122231927,0.05,37.4,-0.187263519,52.7,Omnivorous,16,15,2.905,NonTropical,Rural
7,Vanellus miles,106,-0.069057397,0.009803922,387,-0.23645545,35.6,Invertebrate,68,NA,4,NonTropical,Rural
