authors,year,species,effect_id,study_id,experiment_id,measure_id,species_id,f_trait,physical_contact,f_available,f_quality_status,m_trait,m_trait_table1,m_quality_status,m_description,m_quality_cat,m_trait_cat,measure,equation_type,dependency,x1,x2,sd1,sd2,n1,n2
burley,1977,columba_livia,1,1,1_1,1_pairing_choice,8,morph,allowed,multiple_choice,assumed,morph,column2,verified,blue,high,NA,copula,binary,yes,0.9,NA,NA,NA,10,10
burley,1977,columba_livia,2,1,1_1,1_pairing_choice,8,morph,allowed,multiple_choice,assumed,morph,column2,verified,blue,high,NA,copula,binary,yes,0.888,NA,NA,NA,9,9
burley,1977,columba_livia,3,1,1_1,1_pairing_choice,8,morph,allowed,multiple_choice,assumed,morph,column2,verified,red,low,NA,copula,binary,yes,0.9,NA,NA,NA,10,10
burley,1977,columba_livia,4,1,1_2,1_pairing_choice,8,morph,allowed,multiple_choice,assumed,morph,column2,verified,blue,high,NA,copula,binary,yes,1,NA,NA,NA,10,10
burley,1977,columba_livia,5,1,1_2,1_pairing_choice,8,morph,allowed,multiple_choice,assumed,morph,column2,verified,blue,high,NA,copula,binary,yes,0.9,NA,NA,NA,10,10
burley,1977,columba_livia,6,1,1_2,1_pairing_choice,8,morph,allowed,multiple_choice,assumed,morph,column2,verified,red,low,NA,copula,binary,yes,0.888,NA,NA,NA,9,9
mclain_boromisa,1987,tetraopes_tetraophthalmus,7,2,2_1,2_copula_choice,47,body_length,allowed,multiple_choice,verified,body_length,column1,verified,large,high,high,copula,binary,yes,0.7,NA,NA,NA,10,10
mclain_boromisa,1987,tetraopes_tetraophthalmus,8,2,2_1,2_copula_choice,47,body_length,allowed,multiple_choice,verified,body_length,column1,verified,small,low,low,copula,binary,yes,1,NA,NA,NA,10,10
foote,1988,oncorhynchus_nerka,9,3,3_1,3_association_time,34,body_length,allowed,multiple_choice,verified,body_length,column1,verified,small,low,low,copula,difference,yes,181.4,NA,268.2,268.2,116,116
foote,1988,oncorhynchus_nerka,10,3,3_1,3_courtship_display,34,body_length,allowed,multiple_choice,verified,body_length,column1,verified,small,low,low,courtship,difference,yes,7.018,NA,11.345,11.345,116,116
foote,1988,oncorhynchus_nerka,11,3,3_2,3_association_time,34,body_length,allowed,multiple_choice,verified,body_length,column1,verified,small,low,low,copula,difference,yes,-44.47,NA,71.7,71.7,21,21
