"parameter","rhat","ess_bulk","ess_tail"
"b_Intercept",1.00053187577106,8304.92818494609,7781.33921632684
"b_environmentwild",1.00010476368721,8720.17334642788,11362.6360964391
"sd_phy__Intercept",1.00087412737393,1853.5336059444,2601.88110087881
"sd_species__Intercept",1.00297453261263,1202.92727474743,2347.42358051977
"sd_id__Intercept",NA,NA,NA
"sigma",1.0046705047257,1112.97337778057,3045.33992951265
"Intercept",1.00065040349561,7835.08167006168,7630.66495864148
"r_id[1,Intercept]",1.00020175144151,26527.863651999,11918.9101779369
"r_id[2,Intercept]",1.00015718928973,24730.1531754801,12479.2682385929
"r_id[3,Intercept]",0.999822089238823,26017.3923836186,10700.218341741
"r_id[4,Intercept]",1.00000891098975,25456.9586116737,12117.9553332192
"r_id[5,Intercept]",1.00026668559992,25356.4244550993,12607.7034562824
"r_id[6,Intercept]",0.999948288167796,26553.0846604605,12347.3172031295
"r_id[7,Intercept]",1.00020812930697,27321.6762958368,11269.1378670894
"r_id[8,Intercept]",1.00065527884772,29483.5995807966,12925.0654210813
"r_id[9,Intercept]",0.999998864846237,31190.2973082417,13091.5629644289
"r_id[10,Intercept]",1.00014118450401,28751.9779478103,12104.5657950893
"r_id[11,Intercept]",1.00066807741645,21915.8240714388,12519.0976020335
"r_id[12,Intercept]",1.00053226198649,29404.1124195049,11547.6629092314
"r_id[13,Intercept]",1.00007897808622,30500.5579197746,11606.4965519671
"r_id[14,Intercept]",1.00023895680275,28318.8851640198,11354.396293808
"r_id[15,Intercept]",1.00062109343917,30198.2757244146,11253.9363740357
"r_id[16,Intercept]",1.00025901195615,28765.3088691932,12450.2271727811
"r_id[17,Intercept]",1.00048535894908,27970.2618754953,12015.0455855354
"r_id[18,Intercept]",1.00036861364066,26429.8164208746,12144.3949732805
"r_id[19,Intercept]",1.00046840019213,25480.8646607693,11971.4256514389
"r_id[20,Intercept]",1.00005499975682,15914.8733208683,11654.9456514277
"r_id[21,Intercept]",1.00047165118939,24619.8085543159,12593.6624606508
"r_id[22,Intercept]",1.00009344034811,26196.1273307594,11926.1487400693
"r_id[23,Intercept]",0.999994285447812,31362.9696711465,12111.1151034055
"r_id[24,Intercept]",1.00052688546566,16966.2867868536,11790.3000214872
"r_id[25,Intercept]",1.00008096518242,30845.4182918538,10648.2308904837
"r_id[26,Intercept]",1.00047373321163,22525.0518315119,12656.1669260687
"r_id[27,Intercept]",0.999983061768826,22221.9993415557,12636.8537263071
"r_id[28,Intercept]",1.0002187122429,24487.1370688914,13892.6441964879
"r_id[29,Intercept]",1.00019244517815,23783.4659860198,12110.3707827658
"r_id[30,Intercept]",1.00006302068398,27828.660362598,12714.7920578086
"r_id[31,Intercept]",0.999990229249131,24721.8517278147,12154.9509415039
"r_id[32,Intercept]",0.999906677963729,16378.2205107997,12815.3471263487
"r_id[33,Intercept]",0.999832544295221,16348.2420951683,12011.6688442157
"r_id[34,Intercept]",1.00027900828303,20643.5348570139,11876.0900496681
"r_id[35,Intercept]",1.00019053480736,27660.8486482442,12601.6752099688
"r_id[36,Intercept]",0.999995282877771,26797.2610478546,12124.9397350105
"r_id[37,Intercept]",1.00013466314203,19131.9996707054,12476.5181422281
"r_id[38,Intercept]",1.00047351888472,28898.2685181161,11178.7618788566
"r_id[39,Intercept]",1.00040052401034,23369.0341995231,12737.3917079589
"r_id[40,Intercept]",1.00004471801007,24094.3117870982,12871.4782556892
"r_id[41,Intercept]",1.00012057362393,29744.7372662688,10865.745436435
"r_id[42,Intercept]",1.00024804172724,27086.2101137173,12916.8860306867
"r_id[43,Intercept]",1.0003258412873,24169.5543044101,12014.7761845309
"r_id[44,Intercept]",1.00067904115794,30445.5590397339,11772.4642513291
"r_id[45,Intercept]",1.00018629682729,22512.5293897608,12651.1845162897
"r_id[46,Intercept]",1.00019101741443,30048.8066046654,12095.0403992952
"r_id[47,Intercept]",1.00051179990305,31902.2221212893,11387.5448658532
"r_id[48,Intercept]",1.00023478474244,28453.8885276707,12551.8326249074
"r_id[49,Intercept]",1.0002543012764,23562.1927507254,12899.5000013404
"r_id[50,Intercept]",1.00001690820095,29089.722480546,11924.7284128181
"r_id[51,Intercept]",1.00041999507888,30298.981044412,11543.858973216
"r_id[52,Intercept]",1.00028662602472,32318.115727247,12210.4682636056
"r_id[53,Intercept]",1.0001337757083,25470.021056772,11513.5983779543
"r_id[54,Intercept]",1.00046470473441,20004.1000053461,12804.0930980985
"r_id[55,Intercept]",0.999864614245309,24185.4101271186,13225.0338926701
"r_id[56,Intercept]",1.00003162267342,24450.8389262276,12080.3717046937
"r_id[57,Intercept]",1.00052416915307,30864.281625772,11705.6112972179
"r_id[58,Intercept]",1.00057573098777,24292.8029230746,12413.2958574222
"r_id[59,Intercept]",1.00028687550454,23962.9435804972,12183.8191071806
"r_id[60,Intercept]",1.00010267777248,20699.4749642371,12037.9262563134
"r_id[61,Intercept]",1.00043552005097,27414.0453132734,12543.8177928908
"r_id[62,Intercept]",1.00010700666124,27261.3712751772,11918.1092738495
"r_id[63,Intercept]",1.00012631963835,27349.7920429673,11154.8954179032
"r_id[64,Intercept]",1.00009962607804,25001.4749765281,13110.2145434846
"r_id[65,Intercept]",1.00015551846553,34242.5646832897,11280.2648363841
"r_id[66,Intercept]",1.00030671743953,29066.1190374009,11291.4483336692
"r_id[67,Intercept]",1.00031242611795,25529.5537462007,12165.8425419248
"r_id[68,Intercept]",1.00051722135978,26146.4016421469,11580.6772599521
"r_id[69,Intercept]",1.00096286058988,31976.6097400999,11902.333665348
"r_id[70,Intercept]",1.00037611267663,24568.4314544134,11343.0542362489
"r_id[71,Intercept]",1.00069636765065,28174.2176221739,11874.0688042681
"r_id[72,Intercept]",1.00044105680794,23340.2770295598,13119.4563892353
"r_id[73,Intercept]",1.00003917504917,24658.1269059552,11912.8699681155
"r_id[74,Intercept]",0.999992566079354,25796.0304572899,12457.788311749
"r_id[75,Intercept]",0.999979262799933,25766.9325044689,12632.3218448581
"r_id[76,Intercept]",1.0001163954643,30747.9807734216,11797.1101769399
"r_id[77,Intercept]",1.00000589019006,21957.4536708222,12671.8570780288
"r_id[78,Intercept]",1.00033836865795,31418.4515713951,12021.510167021
"r_id[79,Intercept]",1.00062283494737,25684.3614542788,12491.0455347969
"r_id[80,Intercept]",1.0000276247422,29931.0707612744,11647.9760236025
"r_id[81,Intercept]",1.00023871974012,25706.3084034733,12820.044874151
"r_id[82,Intercept]",1.00017890543544,18195.6944927655,13117.4036090348
"r_id[83,Intercept]",1.00028579309735,19228.5913142293,13031.1530393839
"r_id[84,Intercept]",1.00035455321184,29185.2832368179,10795.5389069596
"r_id[85,Intercept]",1.00030117097559,20165.6975898085,11590.647489848
"r_id[86,Intercept]",1.00123274894392,25110.6400567745,12870.4038363703
"r_id[87,Intercept]",1.00020936874797,24507.3114739591,12270.8293130192
"r_id[88,Intercept]",1.00003592756962,29897.708021655,11979.184467102
"r_id[89,Intercept]",1.00049731485055,27760.2870745721,12697.181046635
"r_id[90,Intercept]",0.999974939369867,24607.9146719461,12248.6148166787
"r_id[91,Intercept]",1.00003198851045,23314.1676930688,12830.856074072
"r_id[92,Intercept]",1.00023010525586,30489.153009794,11413.6456010988
"r_id[93,Intercept]",1.00026271878789,29965.6032709317,12175.8718862236
"r_id[94,Intercept]",1.00030356498028,28080.6474469061,11485.0019378635
"r_id[95,Intercept]",1.0003003175169,25198.8366391035,12226.4892302268
"r_id[96,Intercept]",1.00039890064113,23046.5690796402,12091.1906450093
"r_id[97,Intercept]",1.00012036945171,31816.5111035993,11715.6116853132
"r_id[98,Intercept]",1.00011692031981,25172.8648748436,12905.9313146181
"r_id[99,Intercept]",1.00057870465042,28349.4557168914,12508.2905310968
"r_id[100,Intercept]",1.00018331320625,26513.2516866572,12750.0126817689
"r_id[101,Intercept]",1.00089175878791,26761.5257650649,11320.3528096929
"r_id[102,Intercept]",1.00001650227849,32780.1510317868,12163.3460116647
"r_id[103,Intercept]",1.00009936047882,27046.0840101419,12160.3265556287
"r_id[104,Intercept]",1.00051459855591,33178.7883587348,10867.3652580527
"r_id[105,Intercept]",1.00006635469801,29308.7713248234,11832.1474114274
"r_id[106,Intercept]",1.00044487797021,24246.5511940981,12297.4274078046
"r_id[107,Intercept]",1.00004646539221,23777.6659784861,12082.0055676672
"r_id[108,Intercept]",1.00007101402193,32628.8821077697,11105.5681879257
"r_id[109,Intercept]",1.00048694042891,30735.4832860179,11545.5252719621
"r_id[110,Intercept]",1.00070784437306,8952.20133873376,10804.067997752
"r_id[111,Intercept]",1.00037768872329,26469.4939540276,11723.4685363339
"r_id[112,Intercept]",1.00037269651729,26340.6463938937,11731.1128721069
"r_id[113,Intercept]",1.00046394507324,28026.9662499883,12565.7529193153
"r_id[114,Intercept]",1.00044774112434,28253.0585830727,11506.9712685999
"r_id[115,Intercept]",1.00026616748958,17350.9130409033,12110.4933362115
"r_id[116,Intercept]",1.00024409136205,18916.5045919459,10947.6584878868
"r_id[117,Intercept]",0.999960218218604,27686.2267332353,11839.8095435771
"r_id[118,Intercept]",1.00057339267584,25761.0426520116,12616.2549119637
"r_id[119,Intercept]",1.00022572481266,30912.0351444563,11162.4230053625
"r_id[120,Intercept]",1.00003683716143,28051.3264495059,11979.9481901352
"r_id[121,Intercept]",0.999971429569288,33112.6387797755,10753.2318615588
"r_id[122,Intercept]",0.999957154274936,25274.9385070203,12563.929185946
"r_id[123,Intercept]",0.999905831124959,21296.6400154362,12737.1902635737
"r_id[124,Intercept]",0.999990358649584,28955.3947792717,12326.023757961
"r_id[125,Intercept]",1.00009244461716,30003.8359118333,12342.1512881293
