"value","parameter","panel"
-0.192383,"Intercept (Fisher's Z)","Fixed effect"
-0.284261,"Intercept (Fisher's Z)","Fixed effect"
-0.235584,"Intercept (Fisher's Z)","Fixed effect"
-0.148367,"Intercept (Fisher's Z)","Fixed effect"
-0.0343797,"Intercept (Fisher's Z)","Fixed effect"
-0.0628076,"Intercept (Fisher's Z)","Fixed effect"
0.0416781,"Intercept (Fisher's Z)","Fixed effect"
0.0809153,"Intercept (Fisher's Z)","Fixed effect"
0.176061,"Intercept (Fisher's Z)","Fixed effect"
-0.1444,"Intercept (Fisher's Z)","Fixed effect"
-0.321831,"Intercept (Fisher's Z)","Fixed effect"
-0.38032,"Intercept (Fisher's Z)","Fixed effect"
-0.528588,"Intercept (Fisher's Z)","Fixed effect"
-0.0680698,"Intercept (Fisher's Z)","Fixed effect"
-0.0670649,"Intercept (Fisher's Z)","Fixed effect"
-0.194799,"Intercept (Fisher's Z)","Fixed effect"
-0.100215,"Intercept (Fisher's Z)","Fixed effect"
-0.161953,"Intercept (Fisher's Z)","Fixed effect"
-0.034771,"Intercept (Fisher's Z)","Fixed effect"
-0.106135,"Intercept (Fisher's Z)","Fixed effect"
0.00472594,"Intercept (Fisher's Z)","Fixed effect"
-0.126551,"Intercept (Fisher's Z)","Fixed effect"
-0.223023,"Intercept (Fisher's Z)","Fixed effect"
-0.213582,"Intercept (Fisher's Z)","Fixed effect"
-0.0929197,"Intercept (Fisher's Z)","Fixed effect"
-0.00829739,"Intercept (Fisher's Z)","Fixed effect"
0.118606,"Intercept (Fisher's Z)","Fixed effect"
-0.0329686,"Intercept (Fisher's Z)","Fixed effect"
-0.158497,"Intercept (Fisher's Z)","Fixed effect"
-0.144402,"Intercept (Fisher's Z)","Fixed effect"
-0.184786,"Intercept (Fisher's Z)","Fixed effect"
-0.196997,"Intercept (Fisher's Z)","Fixed effect"
-0.233929,"Intercept (Fisher's Z)","Fixed effect"
-0.0403937,"Intercept (Fisher's Z)","Fixed effect"
-0.0411324,"Intercept (Fisher's Z)","Fixed effect"
0.0830649,"Intercept (Fisher's Z)","Fixed effect"
-0.0758812,"Intercept (Fisher's Z)","Fixed effect"
0.0361428,"Intercept (Fisher's Z)","Fixed effect"
-0.224889,"Intercept (Fisher's Z)","Fixed effect"
-0.15705,"Intercept (Fisher's Z)","Fixed effect"
-0.036488,"Intercept (Fisher's Z)","Fixed effect"
-0.141749,"Intercept (Fisher's Z)","Fixed effect"
-0.159497,"Intercept (Fisher's Z)","Fixed effect"
-0.346404,"Intercept (Fisher's Z)","Fixed effect"
-0.383616,"Intercept (Fisher's Z)","Fixed effect"
-0.27334,"Intercept (Fisher's Z)","Fixed effect"
-0.123955,"Intercept (Fisher's Z)","Fixed effect"
-0.1902,"Intercept (Fisher's Z)","Fixed effect"
-0.152487,"Intercept (Fisher's Z)","Fixed effect"
-0.17885,"Intercept (Fisher's Z)","Fixed effect"
-0.0722749,"Intercept (Fisher's Z)","Fixed effect"
-0.165774,"Intercept (Fisher's Z)","Fixed effect"
0.0304857,"Intercept (Fisher's Z)","Fixed effect"
-0.260795,"Intercept (Fisher's Z)","Fixed effect"
-0.267518,"Intercept (Fisher's Z)","Fixed effect"
-0.303944,"Intercept (Fisher's Z)","Fixed effect"
-0.0840418,"Intercept (Fisher's Z)","Fixed effect"
-0.0206747,"Intercept (Fisher's Z)","Fixed effect"
-0.119961,"Intercept (Fisher's Z)","Fixed effect"
-0.080767,"Intercept (Fisher's Z)","Fixed effect"
0.16061,"Intercept (Fisher's Z)","Fixed effect"
-0.227722,"Intercept (Fisher's Z)","Fixed effect"
-0.230677,"Intercept (Fisher's Z)","Fixed effect"
-0.1272,"Intercept (Fisher's Z)","Fixed effect"
-0.107638,"Intercept (Fisher's Z)","Fixed effect"
-0.118489,"Intercept (Fisher's Z)","Fixed effect"
