"parameter","rhat","ess_bulk","ess_tail"
"b_Intercept",1.00036812574347,7337.23930925686,7065.44579331792
"b_environmentwild",1.00006553919544,7555.63896118575,11236.9388433024
"sd_phy__Intercept",1.00185631823303,1545.49261266194,2380.16516513158
"sd_species__Intercept",1.00163823822647,1253.64200180939,1773.72158083792
"sd_id__Intercept",NA,NA,NA
"sigma",1.0017227949178,1302.41503370075,2746.36156436562
"Intercept",1.00046962176505,6663.46195186865,6843.23946194369
"r_id[1,Intercept]",1.00036383503709,22736.330104469,11297.1128156829
"r_id[2,Intercept]",1.00050057499598,20597.1335760825,12215.9069905123
"r_id[3,Intercept]",1.00071997885041,23131.2156952807,12241.696170652
"r_id[4,Intercept]",1.00035870912492,22496.07769682,11670.2527377245
"r_id[5,Intercept]",1.0003406150412,22408.7231003549,11082.1821178348
"r_id[6,Intercept]",1.00011216039115,23129.3918581675,11873.9960476388
"r_id[7,Intercept]",0.99992165992185,25229.4068447824,11995.3367439048
"r_id[8,Intercept]",1.00025089126502,21639.7553717659,12458.0332102968
"r_id[9,Intercept]",0.999979167935675,21231.6759896334,11529.581930069
"r_id[10,Intercept]",1.00041522377703,25937.9196415019,10987.5489361095
"r_id[11,Intercept]",1.00048707496021,20988.2171044954,11394.7879099625
"r_id[12,Intercept]",1.00004569144953,22582.9579215104,11209.6307585016
"r_id[13,Intercept]",1.00013664473946,22930.1697786625,11478.9306260588
"r_id[14,Intercept]",1.00013827445393,19626.571557451,11769.8171400062
"r_id[15,Intercept]",1.00012430342434,23265.6209302214,12258.7925528849
"r_id[16,Intercept]",1.00026065791247,21156.8090738467,12086.0151122341
"r_id[17,Intercept]",1.00004064297401,23339.668723606,11715.7477615401
"r_id[18,Intercept]",1.00016925184753,23045.7955461502,12217.4356639743
"r_id[19,Intercept]",0.99998113172944,19811.5750190724,12778.239594267
"r_id[20,Intercept]",1.00018192565486,16295.8551595871,12161.0789250569
"r_id[21,Intercept]",1.00019410551489,19641.9005698288,12104.6267730774
"r_id[22,Intercept]",1.00019400156996,20349.8015030872,12493.7264183587
"r_id[23,Intercept]",1.00032054015279,23792.2420930456,11610.9355600986
"r_id[24,Intercept]",1.00028136216839,14708.3191046847,10911.7782610487
"r_id[25,Intercept]",0.999960377809261,23550.2877595164,11500.0913993686
"r_id[26,Intercept]",1.00029017578067,18880.7779894593,12401.1411959424
"r_id[27,Intercept]",1.00034378775914,18936.6138594721,12040.009109514
"r_id[28,Intercept]",1.00001510210238,21586.732250237,12489.0847844056
"r_id[29,Intercept]",1.00013803629464,20899.6082557204,12098.8563941119
"r_id[30,Intercept]",1.00032164960784,24317.6984246179,11774.5391477479
"r_id[31,Intercept]",1.00022879525077,20331.933417057,11985.6607297401
"r_id[32,Intercept]",1.00038284013556,15617.1464524247,13229.3104175979
"r_id[33,Intercept]",1.00023091131223,13438.5758580061,12304.5819878103
"r_id[34,Intercept]",1.00018338025954,19010.8814646559,11769.3360683201
"r_id[35,Intercept]",1.00030466245528,18572.9083896864,11288.258349761
"r_id[36,Intercept]",1.00002222784423,22607.2547900917,12551.5955428796
"r_id[37,Intercept]",1.00021410420762,16852.2886284258,12390.8415935789
"r_id[38,Intercept]",0.999988004317011,20662.0634677877,12360.0018302265
"r_id[39,Intercept]",1.00017287835194,23600.9636285635,11351.2950835897
"r_id[40,Intercept]",1.00011039646354,18557.0349748906,12219.2761708925
"r_id[41,Intercept]",1.00028362196682,26885.9917353335,12530.7864700172
"r_id[42,Intercept]",1.00033209215563,22279.9875761114,11967.6825944672
"r_id[43,Intercept]",1.00010544190734,20216.179377372,12463.5499279684
"r_id[44,Intercept]",1.00015261207544,23423.5830238978,11588.3042843076
"r_id[45,Intercept]",1.00010682179359,20319.5073292879,11473.3833975349
"r_id[46,Intercept]",1.00003843723022,26968.1320185686,12254.492418975
"r_id[47,Intercept]",0.999944590263158,25443.7356054574,12056.4083893821
"r_id[48,Intercept]",1.00014320797181,21358.7757991648,11952.3115851435
"r_id[49,Intercept]",1.0003208026555,18340.3862897756,12824.7197001544
"r_id[50,Intercept]",1.00007996630132,23684.952561341,12404.257568257
"r_id[51,Intercept]",0.999979397120387,25106.890090203,11517.3601664035
"r_id[52,Intercept]",1.00024730966111,24784.9299148369,12170.2498588926
"r_id[53,Intercept]",1.00007929830057,19084.0479419546,11909.8177781891
"r_id[54,Intercept]",1.00011685244257,17310.8211283264,12743.8238720751
"r_id[55,Intercept]",1.00042906966454,19124.9211098511,11823.2973105003
"r_id[56,Intercept]",0.999923734069489,19393.1789488843,12390.0698450348
"r_id[57,Intercept]",1.00066679222136,23487.7692963685,12124.1156341207
"r_id[58,Intercept]",1.00045002791153,21299.0564298484,12958.5566238066
"r_id[59,Intercept]",1.00010304933927,20133.3300298009,12459.8452045334
"r_id[60,Intercept]",0.999977993143049,16807.2922639596,11695.5594738582
"r_id[61,Intercept]",1.0002307350588,20908.3933291396,12645.9516206397
"r_id[62,Intercept]",1.00025132064112,20769.8023593522,12161.2398164058
"r_id[63,Intercept]",1.00029092658975,21991.3000633271,11811.039665223
"r_id[64,Intercept]",1.00013241158399,22523.2078095974,12905.4581610786
"r_id[65,Intercept]",1.00018420813541,24570.9201917151,12048.9060116442
"r_id[66,Intercept]",1.00031078021503,22050.9622517963,11491.5888541976
"r_id[67,Intercept]",1.00001427930142,24993.9604236583,11438.3101386247
"r_id[68,Intercept]",1.0000738713874,20555.8153326709,12712.1586159341
"r_id[69,Intercept]",1.00048294899412,22854.6449322179,11081.2403931824
"r_id[70,Intercept]",1.00017380436906,21489.3613333948,11463.4316947354
"r_id[71,Intercept]",1.00013157848713,22363.8748071808,12087.1895140395
"r_id[72,Intercept]",0.999913407050289,18557.7723793615,12886.6599653946
"r_id[73,Intercept]",1.00000507916999,21743.1524480482,12044.9363070334
"r_id[74,Intercept]",1.0006004020235,24128.1424227674,12539.3117173896
"r_id[75,Intercept]",1.00006220884932,19000.3574144367,11647.8562193829
