"value","parameter","panel"
-0.123011,"Intercept (Fisher's Z)","Fixed effect"
-0.173458,"Intercept (Fisher's Z)","Fixed effect"
-0.0972427,"Intercept (Fisher's Z)","Fixed effect"
-0.205994,"Intercept (Fisher's Z)","Fixed effect"
-0.0829633,"Intercept (Fisher's Z)","Fixed effect"
0.0893818,"Intercept (Fisher's Z)","Fixed effect"
-0.10177,"Intercept (Fisher's Z)","Fixed effect"
-0.366993,"Intercept (Fisher's Z)","Fixed effect"
0.146845,"Intercept (Fisher's Z)","Fixed effect"
-0.400965,"Intercept (Fisher's Z)","Fixed effect"
-0.383577,"Intercept (Fisher's Z)","Fixed effect"
-0.0818805,"Intercept (Fisher's Z)","Fixed effect"
0.180743,"Intercept (Fisher's Z)","Fixed effect"
0.129544,"Intercept (Fisher's Z)","Fixed effect"
0.0127702,"Intercept (Fisher's Z)","Fixed effect"
-0.0848697,"Intercept (Fisher's Z)","Fixed effect"
-0.144812,"Intercept (Fisher's Z)","Fixed effect"
-0.0947948,"Intercept (Fisher's Z)","Fixed effect"
-0.173604,"Intercept (Fisher's Z)","Fixed effect"
-0.142043,"Intercept (Fisher's Z)","Fixed effect"
-0.209066,"Intercept (Fisher's Z)","Fixed effect"
-0.220731,"Intercept (Fisher's Z)","Fixed effect"
0.0762656,"Intercept (Fisher's Z)","Fixed effect"
-0.127343,"Intercept (Fisher's Z)","Fixed effect"
-0.315895,"Intercept (Fisher's Z)","Fixed effect"
-0.143801,"Intercept (Fisher's Z)","Fixed effect"
-0.365677,"Intercept (Fisher's Z)","Fixed effect"
-0.122148,"Intercept (Fisher's Z)","Fixed effect"
-0.239554,"Intercept (Fisher's Z)","Fixed effect"
-0.0913224,"Intercept (Fisher's Z)","Fixed effect"
-0.308936,"Intercept (Fisher's Z)","Fixed effect"
-0.221309,"Intercept (Fisher's Z)","Fixed effect"
0.129845,"Intercept (Fisher's Z)","Fixed effect"
-0.159772,"Intercept (Fisher's Z)","Fixed effect"
-0.13176,"Intercept (Fisher's Z)","Fixed effect"
-0.249672,"Intercept (Fisher's Z)","Fixed effect"
-0.314262,"Intercept (Fisher's Z)","Fixed effect"
-0.199336,"Intercept (Fisher's Z)","Fixed effect"
-0.217541,"Intercept (Fisher's Z)","Fixed effect"
-0.0678055,"Intercept (Fisher's Z)","Fixed effect"
-0.0187394,"Intercept (Fisher's Z)","Fixed effect"
-0.0542052,"Intercept (Fisher's Z)","Fixed effect"
-0.251235,"Intercept (Fisher's Z)","Fixed effect"
-0.321675,"Intercept (Fisher's Z)","Fixed effect"
-0.374311,"Intercept (Fisher's Z)","Fixed effect"
0.148234,"Intercept (Fisher's Z)","Fixed effect"
-0.0925406,"Intercept (Fisher's Z)","Fixed effect"
-0.114254,"Intercept (Fisher's Z)","Fixed effect"
-0.127133,"Intercept (Fisher's Z)","Fixed effect"
-0.210607,"Intercept (Fisher's Z)","Fixed effect"
0.0198064,"Intercept (Fisher's Z)","Fixed effect"
-0.252297,"Intercept (Fisher's Z)","Fixed effect"
-0.0586129,"Intercept (Fisher's Z)","Fixed effect"
0.0892372,"Intercept (Fisher's Z)","Fixed effect"
-0.00545886,"Intercept (Fisher's Z)","Fixed effect"
-0.200826,"Intercept (Fisher's Z)","Fixed effect"
-0.185319,"Intercept (Fisher's Z)","Fixed effect"
-0.0386081,"Intercept (Fisher's Z)","Fixed effect"
-0.100437,"Intercept (Fisher's Z)","Fixed effect"
-0.271407,"Intercept (Fisher's Z)","Fixed effect"
-0.113079,"Intercept (Fisher's Z)","Fixed effect"
-0.0954793,"Intercept (Fisher's Z)","Fixed effect"
-0.126502,"Intercept (Fisher's Z)","Fixed effect"
0.179842,"Intercept (Fisher's Z)","Fixed effect"
-0.12844,"Intercept (Fisher's Z)","Fixed effect"
-0.0280209,"Intercept (Fisher's Z)","Fixed effect"
-0.199399,"Intercept (Fisher's Z)","Fixed effect"
-0.176211,"Intercept (Fisher's Z)","Fixed effect"
-0.224324,"Intercept (Fisher's Z)","Fixed effect"
-0.347618,"Intercept (Fisher's Z)","Fixed effect"
-0.11162,"Intercept (Fisher's Z)","Fixed effect"
-0.0300949,"Intercept (Fisher's Z)","Fixed effect"
-0.10307,"Intercept (Fisher's Z)","Fixed effect"
-0.154468,"Intercept (Fisher's Z)","Fixed effect"
-0.102222,"Intercept (Fisher's Z)","Fixed effect"
-0.281902,"Intercept (Fisher's Z)","Fixed effect"
-0.248719,"Intercept (Fisher's Z)","Fixed effect"
-0.045729,"Intercept (Fisher's Z)","Fixed effect"
-0.137468,"Intercept (Fisher's Z)","Fixed effect"
-0.108437,"Intercept (Fisher's Z)","Fixed effect"
-0.191747,"Intercept (Fisher's Z)","Fixed effect"
-0.0323807,"Intercept (Fisher's Z)","Fixed effect"
-0.0398163,"Intercept (Fisher's Z)","Fixed effect"
-0.210349,"Intercept (Fisher's Z)","Fixed effect"
-0.188944,"Intercept (Fisher's Z)","Fixed effect"
-0.131297,"Intercept (Fisher's Z)","Fixed effect"
-0.067776,"Intercept (Fisher's Z)","Fixed effect"
-0.14865,"Intercept (Fisher's Z)","Fixed effect"
-0.221162,"Intercept (Fisher's Z)","Fixed effect"
-0.129525,"Intercept (Fisher's Z)","Fixed effect"
-0.0791539,"Intercept (Fisher's Z)","Fixed effect"
-0.216647,"Intercept (Fisher's Z)","Fixed effect"
-0.199585,"Intercept (Fisher's Z)","Fixed effect"
-0.216921,"Intercept (Fisher's Z)","Fixed effect"
-0.337188,"Intercept (Fisher's Z)","Fixed effect"
-0.31685,"Intercept (Fisher's Z)","Fixed effect"
-0.186221,"Intercept (Fisher's Z)","Fixed effect"
-0.0592528,"Intercept (Fisher's Z)","Fixed effect"
-0.101017,"Intercept (Fisher's Z)","Fixed effect"
-0.336583,"Intercept (Fisher's Z)","Fixed effect"
-0.0300098,"Intercept (Fisher's Z)","Fixed effect"
-0.2966,"Intercept (Fisher's Z)","Fixed effect"
-0.0143466,"Intercept (Fisher's Z)","Fixed effect"
0.0125359,"Intercept (Fisher's Z)","Fixed effect"
-0.0130073,"Intercept (Fisher's Z)","Fixed effect"
-0.0318434,"Intercept (Fisher's Z)","Fixed effect"
-0.333849,"Intercept (Fisher's Z)","Fixed effect"
0.0723114,"Intercept (Fisher's Z)","Fixed effect"
-0.426049,"Intercept (Fisher's Z)","Fixed effect"
-0.495962,"Intercept (Fisher's Z)","Fixed effect"
-0.229024,"Intercept (Fisher's Z)","Fixed effect"
0.107946,"Intercept (Fisher's Z)","Fixed effect"
-0.406232,"Intercept (Fisher's Z)","Fixed effect"
0.0736915,"Intercept (Fisher's Z)","Fixed effect"
-0.132907,"Intercept (Fisher's Z)","Fixed effect"
-0.171142,"Intercept (Fisher's Z)","Fixed effect"
-0.181735,"Intercept (Fisher's Z)","Fixed effect"
-0.0624435,"Intercept (Fisher's Z)","Fixed effect"
-0.252166,"Intercept (Fisher's Z)","Fixed effect"
-0.108902,"Intercept (Fisher's Z)","Fixed effect"
-0.200633,"Intercept (Fisher's Z)","Fixed effect"
-0.0694757,"Intercept (Fisher's Z)","Fixed effect"
-0.18761,"Intercept (Fisher's Z)","Fixed effect"
-0.00221732,"Intercept (Fisher's Z)","Fixed effect"
-0.171858,"Intercept (Fisher's Z)","Fixed effect"
-0.284342,"Intercept (Fisher's Z)","Fixed effect"
-0.0650928,"Intercept (Fisher's Z)","Fixed effect"
-0.347128,"Intercept (Fisher's Z)","Fixed effect"
0.199179,"Intercept (Fisher's Z)","Fixed effect"
0.208168,"Intercept (Fisher's Z)","Fixed effect"
0.243614,"Intercept (Fisher's Z)","Fixed effect"
-0.555553,"Intercept (Fisher's Z)","Fixed effect"
-0.0743335,"Intercept (Fisher's Z)","Fixed effect"
-0.32157,"Intercept (Fisher's Z)","Fixed effect"
-0.11562,"Intercept (Fisher's Z)","Fixed effect"
0.211359,"Intercept (Fisher's Z)","Fixed effect"
-0.406962,"Intercept (Fisher's Z)","Fixed effect"
0.00693254,"Intercept (Fisher's Z)","Fixed effect"
-0.204207,"Intercept (Fisher's Z)","Fixed effect"
-0.161076,"Intercept (Fisher's Z)","Fixed effect"
-0.0128771,"Intercept (Fisher's Z)","Fixed effect"
-0.125818,"Intercept (Fisher's Z)","Fixed effect"
-0.206614,"Intercept (Fisher's Z)","Fixed effect"
-0.10159,"Intercept (Fisher's Z)","Fixed effect"
-0.27575,"Intercept (Fisher's Z)","Fixed effect"
-0.289897,"Intercept (Fisher's Z)","Fixed effect"
0.0388925,"Intercept (Fisher's Z)","Fixed effect"
-0.188627,"Intercept (Fisher's Z)","Fixed effect"
-0.0734426,"Intercept (Fisher's Z)","Fixed effect"
-0.137528,"Intercept (Fisher's Z)","Fixed effect"
-0.227307,"Intercept (Fisher's Z)","Fixed effect"
0.0531392,"Intercept (Fisher's Z)","Fixed effect"
-0.583467,"Intercept (Fisher's Z)","Fixed effect"
0.369658,"Intercept (Fisher's Z)","Fixed effect"
0.0906171,"Intercept (Fisher's Z)","Fixed effect"
0.0922837,"Intercept (Fisher's Z)","Fixed effect"
-0.406499,"Intercept (Fisher's Z)","Fixed effect"
-0.192677,"Intercept (Fisher's Z)","Fixed effect"
0.273906,"Intercept (Fisher's Z)","Fixed effect"
-0.216811,"Intercept (Fisher's Z)","Fixed effect"
-0.0330191,"Intercept (Fisher's Z)","Fixed effect"
-0.165889,"Intercept (Fisher's Z)","Fixed effect"
-0.299571,"Intercept (Fisher's Z)","Fixed effect"
0.167272,"Intercept (Fisher's Z)","Fixed effect"
-0.022873,"Intercept (Fisher's Z)","Fixed effect"
-0.0331388,"Intercept (Fisher's Z)","Fixed effect"
-0.0124489,"Intercept (Fisher's Z)","Fixed effect"
-0.0701475,"Intercept (Fisher's Z)","Fixed effect"
-0.0409983,"Intercept (Fisher's Z)","Fixed effect"
-0.0990654,"Intercept (Fisher's Z)","Fixed effect"
-0.0761365,"Intercept (Fisher's Z)","Fixed effect"
-0.193931,"Intercept (Fisher's Z)","Fixed effect"
-0.112948,"Intercept (Fisher's Z)","Fixed effect"
-0.0605994,"Intercept (Fisher's Z)","Fixed effect"
-0.0200321,"Intercept (Fisher's Z)","Fixed effect"
-0.165956,"Intercept (Fisher's Z)","Fixed effect"
-0.288643,"Intercept (Fisher's Z)","Fixed effect"
-0.163478,"Intercept (Fisher's Z)","Fixed effect"
-0.0185332,"Intercept (Fisher's Z)","Fixed effect"
-0.456019,"Intercept (Fisher's Z)","Fixed effect"
-0.274453,"Intercept (Fisher's Z)","Fixed effect"
-0.0385171,"Intercept (Fisher's Z)","Fixed effect"
-0.00791901,"Intercept (Fisher's Z)","Fixed effect"
-0.130809,"Intercept (Fisher's Z)","Fixed effect"
-0.305459,"Intercept (Fisher's Z)","Fixed effect"
-0.163331,"Intercept (Fisher's Z)","Fixed effect"
-0.231465,"Intercept (Fisher's Z)","Fixed effect"
-0.19521,"Intercept (Fisher's Z)","Fixed effect"
-0.0905984,"Intercept (Fisher's Z)","Fixed effect"
-0.115915,"Intercept (Fisher's Z)","Fixed effect"
-0.254698,"Intercept (Fisher's Z)","Fixed effect"
-0.121007,"Intercept (Fisher's Z)","Fixed effect"
-0.00470518,"Intercept (Fisher's Z)","Fixed effect"
-0.263963,"Intercept (Fisher's Z)","Fixed effect"
-0.22486,"Intercept (Fisher's Z)","Fixed effect"
-0.23953,"Intercept (Fisher's Z)","Fixed effect"
-0.38449,"Intercept (Fisher's Z)","Fixed effect"
-0.154428,"Intercept (Fisher's Z)","Fixed effect"
-0.00546598,"Intercept (Fisher's Z)","Fixed effect"
-0.2283,"Intercept (Fisher's Z)","Fixed effect"
-0.0452048,"Intercept (Fisher's Z)","Fixed effect"
0.100877,"Intercept (Fisher's Z)","Fixed effect"
-0.0966165,"Intercept (Fisher's Z)","Fixed effect"
0.245862,"Intercept (Fisher's Z)","Fixed effect"
-0.176405,"Intercept (Fisher's Z)","Fixed effect"
0.0530639,"Intercept (Fisher's Z)","Fixed effect"
-0.0979849,"Intercept (Fisher's Z)","Fixed effect"
0.151215,"Intercept (Fisher's Z)","Fixed effect"
-0.106515,"Intercept (Fisher's Z)","Fixed effect"
-0.24556,"Intercept (Fisher's Z)","Fixed effect"
-0.178145,"Intercept (Fisher's Z)","Fixed effect"
-0.276551,"Intercept (Fisher's Z)","Fixed effect"
-0.497183,"Intercept (Fisher's Z)","Fixed effect"
-0.444166,"Intercept (Fisher's Z)","Fixed effect"
-0.491336,"Intercept (Fisher's Z)","Fixed effect"
-0.0271173,"Intercept (Fisher's Z)","Fixed effect"
-0.0723218,"Intercept (Fisher's Z)","Fixed effect"
0.0138039,"Intercept (Fisher's Z)","Fixed effect"
0.288297,"Intercept (Fisher's Z)","Fixed effect"
-0.108964,"Intercept (Fisher's Z)","Fixed effect"
-0.376497,"Intercept (Fisher's Z)","Fixed effect"
-0.0993185,"Intercept (Fisher's Z)","Fixed effect"
-0.152654,"Intercept (Fisher's Z)","Fixed effect"
-0.527268,"Intercept (Fisher's Z)","Fixed effect"
-0.586237,"Intercept (Fisher's Z)","Fixed effect"
-0.36179,"Intercept (Fisher's Z)","Fixed effect"
0.355952,"Intercept (Fisher's Z)","Fixed effect"
0.260372,"Intercept (Fisher's Z)","Fixed effect"
-0.38108,"Intercept (Fisher's Z)","Fixed effect"
0.0880307,"Intercept (Fisher's Z)","Fixed effect"
-0.0784396,"Intercept (Fisher's Z)","Fixed effect"
-0.029936,"Intercept (Fisher's Z)","Fixed effect"
-0.198765,"Intercept (Fisher's Z)","Fixed effect"
0.0557149,"Intercept (Fisher's Z)","Fixed effect"
0.0906092,"Intercept (Fisher's Z)","Fixed effect"
0.133229,"Intercept (Fisher's Z)","Fixed effect"
-0.124098,"Intercept (Fisher's Z)","Fixed effect"
-0.0496914,"Intercept (Fisher's Z)","Fixed effect"
-0.216217,"Intercept (Fisher's Z)","Fixed effect"
-0.185052,"Intercept (Fisher's Z)","Fixed effect"
-0.116497,"Intercept (Fisher's Z)","Fixed effect"
-0.175759,"Intercept (Fisher's Z)","Fixed effect"
-0.305701,"Intercept (Fisher's Z)","Fixed effect"
-0.182,"Intercept (Fisher's Z)","Fixed effect"
-0.276605,"Intercept (Fisher's Z)","Fixed effect"
0.0275251,"Intercept (Fisher's Z)","Fixed effect"
-0.230559,"Intercept (Fisher's Z)","Fixed effect"
-0.169437,"Intercept (Fisher's Z)","Fixed effect"
-0.135891,"Intercept (Fisher's Z)","Fixed effect"
-0.143231,"Intercept (Fisher's Z)","Fixed effect"
-0.0413572,"Intercept (Fisher's Z)","Fixed effect"
-0.138437,"Intercept (Fisher's Z)","Fixed effect"
0.100962,"Intercept (Fisher's Z)","Fixed effect"
-0.200052,"Intercept (Fisher's Z)","Fixed effect"
-0.0182175,"Intercept (Fisher's Z)","Fixed effect"
0.150177,"Intercept (Fisher's Z)","Fixed effect"
-0.028384,"Intercept (Fisher's Z)","Fixed effect"
-0.184077,"Intercept (Fisher's Z)","Fixed effect"
-0.0266621,"Intercept (Fisher's Z)","Fixed effect"
-0.205322,"Intercept (Fisher's Z)","Fixed effect"
-0.159545,"Intercept (Fisher's Z)","Fixed effect"
-0.0841867,"Intercept (Fisher's Z)","Fixed effect"
-0.0382989,"Intercept (Fisher's Z)","Fixed effect"
-0.234831,"Intercept (Fisher's Z)","Fixed effect"
-0.146359,"Intercept (Fisher's Z)","Fixed effect"
-0.225432,"Intercept (Fisher's Z)","Fixed effect"
-0.205008,"Intercept (Fisher's Z)","Fixed effect"
0.18929,"Intercept (Fisher's Z)","Fixed effect"
-0.214176,"Intercept (Fisher's Z)","Fixed effect"
-0.108473,"Intercept (Fisher's Z)","Fixed effect"
-0.0672747,"Intercept (Fisher's Z)","Fixed effect"
-0.111856,"Intercept (Fisher's Z)","Fixed effect"
-0.0430907,"Intercept (Fisher's Z)","Fixed effect"
-0.145096,"Intercept (Fisher's Z)","Fixed effect"
-0.204525,"Intercept (Fisher's Z)","Fixed effect"
0.120254,"Intercept (Fisher's Z)","Fixed effect"
0.093037,"Intercept (Fisher's Z)","Fixed effect"
-0.134054,"Intercept (Fisher's Z)","Fixed effect"
-0.0867886,"Intercept (Fisher's Z)","Fixed effect"
0.0911924,"Intercept (Fisher's Z)","Fixed effect"
-0.292491,"Intercept (Fisher's Z)","Fixed effect"
0.0174171,"Intercept (Fisher's Z)","Fixed effect"
0.250254,"Intercept (Fisher's Z)","Fixed effect"
-0.0665728,"Intercept (Fisher's Z)","Fixed effect"
-0.153136,"Intercept (Fisher's Z)","Fixed effect"
-0.339937,"Intercept (Fisher's Z)","Fixed effect"
-0.0612437,"Intercept (Fisher's Z)","Fixed effect"
-0.35641,"Intercept (Fisher's Z)","Fixed effect"
-0.186905,"Intercept (Fisher's Z)","Fixed effect"
-0.200771,"Intercept (Fisher's Z)","Fixed effect"
-0.100525,"Intercept (Fisher's Z)","Fixed effect"
-0.178307,"Intercept (Fisher's Z)","Fixed effect"
-0.192714,"Intercept (Fisher's Z)","Fixed effect"
-0.170757,"Intercept (Fisher's Z)","Fixed effect"
-0.13171,"Intercept (Fisher's Z)","Fixed effect"
0.0760694,"Intercept (Fisher's Z)","Fixed effect"
-0.0715709,"Intercept (Fisher's Z)","Fixed effect"
0.0234518,"Intercept (Fisher's Z)","Fixed effect"
-0.192474,"Intercept (Fisher's Z)","Fixed effect"
-0.282298,"Intercept (Fisher's Z)","Fixed effect"
-0.201578,"Intercept (Fisher's Z)","Fixed effect"
-0.242639,"Intercept (Fisher's Z)","Fixed effect"
-0.212105,"Intercept (Fisher's Z)","Fixed effect"
-0.339341,"Intercept (Fisher's Z)","Fixed effect"
-0.185845,"Intercept (Fisher's Z)","Fixed effect"
-0.335473,"Intercept (Fisher's Z)","Fixed effect"
-0.368613,"Intercept (Fisher's Z)","Fixed effect"
-0.136596,"Intercept (Fisher's Z)","Fixed effect"
-0.0795151,"Intercept (Fisher's Z)","Fixed effect"
0.0240686,"Intercept (Fisher's Z)","Fixed effect"
0.0721541,"Intercept (Fisher's Z)","Fixed effect"
-0.386782,"Intercept (Fisher's Z)","Fixed effect"
-0.208241,"Intercept (Fisher's Z)","Fixed effect"
-0.0391113,"Intercept (Fisher's Z)","Fixed effect"
-0.0308717,"Intercept (Fisher's Z)","Fixed effect"
-0.279513,"Intercept (Fisher's Z)","Fixed effect"
-0.12143,"Intercept (Fisher's Z)","Fixed effect"
