"parameter","rhat","ess_bulk","ess_tail"
"b_Intercept",1.00044588356933,10057.2426999377,8330.20100579621
"sd_phy__Intercept",1.00164312842523,2631.13251862713,4344.52718927143
"sd_species__Intercept",1.00245726304316,1511.14748773441,1969.68868149102
"sigma",1.0016345015952,1936.35012231965,3027.22319543559
"Intercept",1.00044588356933,10057.2426999377,8330.20100579621
"r_phy[Hogna_helluo,Intercept]",1.00021687110841,12190.6803831007,9806.76282509502
"r_phy[Centruroides_vittatus,Intercept]",1.00008302348862,12328.419514247,9949.34791042165
"r_phy[Chorthippus_brunneus,Intercept]",1.00021010809869,12455.2151610729,9468.83059654463
"r_phy[Prostephanus_truncatus,Intercept]",1.00005339758736,12466.2220901283,9625.81831758916
"r_phy[Nicrophorus_pustulatus,Intercept]",1.00006776957097,12530.8356534474,9008.25000036169
"r_phy[Copidosoma_bakeri,Intercept]",1.00040163927255,12059.2071801712,9380.19711949574
"r_phy[Wyeomyia_smithii,Intercept]",1.00027322673071,12340.9706034237,8856.88987637162
"r_phy[Araschnia_levana,Intercept]",1.0001231758175,12318.8331529856,10012.3544536056
"r_phy[Bicyclus_anynana,Intercept]",1.00011561882152,12524.3847378535,9482.10892107752
"r_phy[Lernanthropus_cynoscicola,Intercept]",1.00018637665586,10587.3463178499,9889.87101020226
"r_phy[Daphnia_magna,Intercept]",1.00016827376892,10460.469216785,9591.24385447167
"r_phy[Austropotamobius_italicus,Intercept]",1.00032054708874,10876.3252984806,8923.3941283461
"r_phy[Galaxias_pullus,Intercept]",1.00001352113569,10746.3570200659,10053.805607418
"r_phy[Galaxias_eldoni,Intercept]",0.999935528091995,10797.5906510069,10137.5445779357
"r_phy[Galaxias_gollumoides,Intercept]",0.999965879672283,11616.7257331109,10641.6422373162
"r_phy[Galaxias_anomalus,Intercept]",1.00000978468244,11529.929705832,10535.8446452428
"r_phy[Galaxias_depressiceps,Intercept]",0.999901878746723,11166.7552968083,10197.6312927931
"r_phy[Galaxias_southern,Intercept]",0.999972573464452,11256.5787612205,9379.10770054285
"r_phy[Galaxias_D.,Intercept]",0.999951347600373,11345.0098996533,9729.28169634323
"r_phy[Galaxias_vulgaris,Intercept]",0.999987776567633,11409.078935456,9806.97198711554
"r_phy[Gambusia_geiseri,Intercept]",1.00045555767552,11903.6502588724,9395.45984970464
"r_phy[Gambusia_affinis,Intercept]",1.00008422061967,11852.3606597643,9133.73261819546
"r_phy[Gambusia_holbrooki,Intercept]",1.00012882783373,12013.311646918,8774.75220183804
"r_phy[Neolamprologus_pulcher,Intercept]",1.00017814710108,11852.4458356351,9729.13705554537
"r_phy[Plethodon_albagula,Intercept]",1.00055616906633,9796.37508240197,8818.42677641844
"r_phy[Hynobius_retardatus,Intercept]",1.00055322144374,9658.5560701248,8871.70907429771
"r_phy[Alytes_obstetricans,Intercept]",1.0002286316046,11077.6610980839,10070.1533012891
"r_phy[Rana_arvalis,Intercept]",1.00022962434034,10827.9301951886,9729.2739296815
"r_phy[Epidalea_calamita,Intercept]",1.00029922849928,10865.4714194493,9594.29352074579
"r_phy[Hyla_labialis,Intercept]",1.00034435606742,10641.2268051226,9444.29027051008
"r_phy[Cavia_aperea,Intercept]",1.00027005232624,7287.14101823108,8248.00235894254
"r_phy[Marmota_marmota,Intercept]",1.00036736694002,7475.12674372543,8957.8185665273
"r_phy[Urocitellus_columbianus,Intercept]",1.0003390762113,7380.95329110645,8839.23703135294
"r_phy[Urocitellus_richardsonii,Intercept]",1.00032605721444,7206.74947184462,8536.23457511053
"r_phy[Onychomys_leucogaster,Intercept]",1.00037558687006,7503.08297665959,8370.23152406292
"r_phy[Myodes_glareolus,Intercept]",1.00044390338712,7206.54859520127,8600.46496198409
"r_phy[Crocidura_russula,Intercept]",1.00037938534424,7708.75027063147,8995.38498696352
"r_phy[Canis_lupus,Intercept]",1.00034780851716,7781.05545295491,9418.86858557797
"r_phy[Carettochelys_insculpta,Intercept]",1.00042580589968,11890.2060065658,9099.53422361828
"r_phy[Apalone_ferox,Intercept]",1.00013785062994,11963.1150750703,9763.88992201044
"r_phy[Apalone_mutica,Intercept]",1.00024774285224,11938.097138977,9537.18293802944
"r_phy[Dermochelys_coriacea,Intercept]",1.00022962651237,12561.7362354049,9814.1138003152
"r_phy[Sternotherus_odoratus,Intercept]",1.00009858174369,11871.0234841779,9502.20702320683
"r_phy[Kinosternon_subrubrum,Intercept]",1.00005718797333,12065.956536581,9727.73147486775
"r_phy[Kinosternon_integrum,Intercept]",0.999959813073177,12013.7284090447,9754.86875148121
"r_phy[Kinosternon_hirtipes,Intercept]",1.00007610253677,12035.1820296856,9551.53596294884
"r_phy[Emydoidea_blandingii,Intercept]",1.00028442745861,11475.7304673718,9952.00564403622
"r_phy[Terrapene_ornata,Intercept]",1.00037222978045,11004.1844194407,9738.84150104772
"r_phy[Clemmys_insculpta,Intercept]",1.00025157644886,11066.4526907252,10019.4028217983
"r_phy[Chrysemys_picta,Intercept]",1.00010056604272,11217.8235597506,10008.8565234978
"r_phy[Pseudemys_floridana,Intercept]",1.00012586726518,11195.9198290792,9592.25825116967
"r_phy[Malaclemys_terrapin,Intercept]",0.999963268494437,11455.9071209388,10301.0048320034
"r_phy[Caiman_crocodilus,Intercept]",1.00000602989091,11821.6263248177,10324.0395982399
"r_phy[Alectoris_rufa,Intercept]",1.00014773966176,10928.050112016,10312.1355769155
"r_phy[Cygnus_olor,Intercept]",1.00033810340463,10913.3141517227,10980.1343670436
"r_phy[Cygnus_buccinator,Intercept]",1.00020010802734,11075.5808839484,10254.4100362327
"r_phy[Branta_bernicla,Intercept]",1.00033676955824,11025.1243606789,10526.3627447752
"r_phy[Branta_canadensis,Intercept]",1.00027396606069,11199.4365560534,10510.236184471
"r_phy[Chen_canagica,Intercept]",1.00045577107987,11328.7071852145,10402.1918656381
"r_phy[Somateria_fischeri,Intercept]",1.00007602004773,11416.7689752631,10180.4741296095
"r_phy[Bucephala_clangula,Intercept]",1.00007613736689,11506.430249541,9984.36538991082
"r_phy[Anas_platyrhynchos,Intercept]",1.00000813463503,11442.1726075315,10328.5551023122
"r_phy[Aythya_ferina,Intercept]",0.999960101978015,11244.9991581211,10592.1286645156
"r_phy[Fulica_atra,Intercept]",0.99992974607774,11079.5531951233,10183.388798504
"r_phy[Porphyrio_porphyrio,Intercept]",0.999928820602981,10669.4587823251,9938.11852878352
"r_phy[Bubulcus_ibis,Intercept]",1.00006174335663,11196.7065148478,9743.37593005178
"r_phy[Ciconia_ciconia,Intercept]",1.00021893746665,11030.2592172866,9400.11790506492
"r_phy[Falco_tinnunculus,Intercept]",1.00008728845668,11820.7607635592,10123.5036691974
"r_phy[Aphrastura_spinicauda,Intercept]",1.00021092082232,12080.8284539695,9968.88007730192
"r_phy[Sayornis_phoebe,Intercept]",1.00018417069621,12010.3574164742,9700.22966944943
"r_phy[Petroica_australis,Intercept]",1.00026450463102,12074.6791964853,8558.43305569746
"r_phy[Parus_caeruleus,Intercept]",1.00018066640269,11189.763871172,8385.11235035295
"r_phy[Parus_major,Intercept]",1.0003179888128,11089.2621872482,8496.72244866731
"r_phy[Hirundo_rustica,Intercept]",1.00024177009363,11367.5864062096,8046.00541124509
"r_phy[Tachycineta_bicolor,Intercept]",1.00016508047702,11436.5887164265,8559.57114413748
"r_phy[Sturnus_vulgaris,Intercept]",1.00009804871357,10761.5649790592,9768.89175356401
"r_phy[Phoenicurus_phoenicurus,Intercept]",1.00007726767903,10949.7775696289,10325.9413249681
"r_phy[Ficedula_hypoleuca,Intercept]",1.00011547252921,10895.2864076669,9780.86378232119
"r_phy[Taeniopygia_guttata,Intercept]",1.00029813246242,10945.8245160215,9670.51254784834
"r_phy[Protonotaria_citrea,Intercept]",1.00026810609832,11625.8066996181,9607.37970726028
"r_phy[Quiscalus_quiscula,Intercept]",1.00004790072274,11339.4432975264,9667.67842684572
"r_phy[Sphenodon_punctatus,Intercept]",1.00000019716198,13450.2392099963,9641.66521572974
"r_phy[Eulamprus_tympanum,Intercept]",1.0002775024066,13987.5198799086,10283.5499267897
"r_phy[Psammodromus_algirus,Intercept]",1.00050810667374,12415.8643366949,9661.94020616911
"r_phy[Zootoca_vivipara,Intercept]",1.0007481469614,13044.3902275329,10543.6293186606
"r_phy[Podarcis_atrata,Intercept]",1.00029885504751,11805.8097099659,9927.22235160881
"r_phy[Podarcis_melisellensis,Intercept]",1.00016324702521,11722.7801866272,9123.68421143554
"r_phy[Podarcis_milensis,Intercept]",1.00016810778036,11769.6000730011,9009.53421874175
"r_phy[Podarcis_muralis,Intercept]",1.00055408703179,11881.0097598226,9571.829727509
"r_phy[Podarcis_lilfordi,Intercept]",1.00036413107891,11722.5406691303,8966.36724220588
"r_phy[Iberolacerta_monticola,Intercept]",1.00049549958565,12569.3475684425,9808.9835505201
"r_phy[Anguis_fragilis,Intercept]",1.00012434090698,6121.69575763194,7839.10399253712
"r_phy[Chamaeleo_montium,Intercept]",1.00010851534205,11571.8056426307,9896.64333945035
"r_phy[Leiolepis_reevesii,Intercept]",1.00005484029962,12044.6350734606,10313.8625465126
"r_phy[Rankinia_diemensis,Intercept]",1.00042103649001,11846.6256378853,9822.54748378771
"r_phy[Ctenophorus_fordi,Intercept]",1.00025396955279,11651.5851405051,10344.0846693019
"r_phy[Sitana_ponticeriana,Intercept]",1.0004053966454,11867.5362063348,9321.18270627736
"r_phy[Calotes_versicolor,Intercept]",1.0003823813773,11853.8704295449,9537.8484118308
"r_phy[Cyclura_cychlura,Intercept]",1.0001628186327,11531.5676773203,10123.7434153964
"r_phy[Ctenosaura_pectinata,Intercept]",1.00012255013689,11589.3850319587,9384.13428419901
"r_phy[Iguana_iguana,Intercept]",1.00019603254041,11500.5959535601,9719.80073452184
"r_phy[Uta_stansburiana,Intercept]",1.00049309822565,11606.021883352,9224.53387862339
"r_phy[Sceloporus_spinosus,Intercept]",1.00023862596663,11610.7435382944,9393.24771147016
"r_phy[Sceloporus_virgatus,Intercept]",1.00022059433835,11530.5319563279,9389.89541834427
"r_phy[Oplurus_cuvieri,Intercept]",1.00038683262559,12403.8659127826,9996.30282841411
"r_phy[Eurolophosaurus_nanuzae,Intercept]",1.00026490666706,12348.8391476166,9711.86103680458
"r_phy[Ramphotyphlops_braminus,Intercept]",1.000297315458,13515.6406317137,10254.57794784
"r_phy[Vipera_aspis,Intercept]",1.00102040508077,12080.8589490272,10147.6504082644
"r_phy[Vipera_ursinii,Intercept]",1.00096330745021,12109.382358356,9778.86520244805
"r_phy[Diadophis_punctatus,Intercept]",1.00062124724372,12460.5305769114,9769.46747334877
"r_phy[Natrix_natrix,Intercept]",1.00038074852745,11152.6099833699,8382.46038479937
"r_phy[Tropidonophis_mairii,Intercept]",1.00019305306652,10886.7968545089,8801.18662358242
"r_phy[Storeria_dekayi,Intercept]",1.00014348340456,10455.5902471408,8261.36958804173
"r_phy[Thamnophis_ordinoides,Intercept]",1.0003178400028,10531.7312146757,8639.07314334641
"r_phy[Nerodia_sipedon,Intercept]",1.00053779016108,10556.3967868091,8201.43912573925
"r_phy[Spalerosophis_diadema,Intercept]",1.00016518960254,11197.0650249078,9772.29575447887
"r_phy[Elaphe_quadrivirgata,Intercept]",1.00008784853077,10576.9451141671,8616.34008580576
"r_phy[Coronella_austriaca,Intercept]",1.00022489500228,11350.4733634694,9438.38353167309
"r_phy[Pituophis_catenifer,Intercept]",1.00009088478983,11276.8506296869,9394.98979127036
"r_phy[Pantherophis_obsoletus,Intercept]",1.00004789599936,11095.7430222829,8785.68721411801
"r_species[Alectoris_rufa,Intercept]",1.0000809161701,9654.72632403755,10891.2779740643
"r_species[Alytes_obstetricans,Intercept]",1.00031616139493,21480.9741645365,13173.3064956026
"r_species[Anas_platyrhynchos,Intercept]",0.99997773384668,11396.5891583851,11737.0724593708
"r_species[Anguis_fragilis,Intercept]",1.00136265916744,2393.84741592906,2792.92414385383
"r_species[Apalone_ferox,Intercept]",1.00052108062884,32678.1495168105,10837.3765718822
"r_species[Apalone_mutica,Intercept]",1.00028174800245,36047.4688963747,12115.9189368677
"r_species[Aphrastura_spinicauda,Intercept]",1.00023452847555,12946.7212127855,11150.7141321964
"r_species[Araschnia_levana,Intercept]",1.00016149298504,7276.03858972513,11483.527390217
"r_species[Austropotamobius_italicus,Intercept]",1.00001507723773,29813.6949126609,12097.7758453932
"r_species[Aythya_ferina,Intercept]",1.0013245214628,32707.1890339968,11469.9884801739
"r_species[Bicyclus_anynana,Intercept]",1.00064165955655,24242.771715287,11805.554079945
"r_species[Branta_bernicla,Intercept]",1.00013606479574,20009.6418234804,11427.8041787706
"r_species[Branta_canadensis,Intercept]",1.00069567956888,27502.8709549762,12362.4809978189
"r_species[Bubulcus_ibis,Intercept]",1.00053748605172,19988.5528790953,11645.1299010148
"r_species[Bucephala_clangula,Intercept]",1.000830256864,22876.891566868,11038.1357097856
"r_species[Caiman_crocodilus,Intercept]",1.00014891655906,12659.958244478,11545.8116965
"r_species[Calotes_versicolor,Intercept]",1.00000788581103,11770.3659872041,11958.8566756184
"r_species[Canis_lupus,Intercept]",1.00058764531625,25773.4324490307,11728.9079521098
"r_species[Carettochelys_insculpta,Intercept]",1.00003454191892,22721.6485470908,13657.1887848221
"r_species[Cavia_aperea,Intercept]",1.0002472854994,7218.52769676436,10048.7843286994
"r_species[Centruroides_vittatus,Intercept]",1.00000183547717,18103.331468585,10601.7671829898
"r_species[Chamaeleo_montium,Intercept]",1.00034580715859,14254.4362311569,11802.1487233385
"r_species[Chen_canagica,Intercept]",1.00052846766513,30337.8771450475,12666.409487437
"r_species[Chorthippus_brunneus,Intercept]",1.00004757736683,11818.3497254429,11798.1184218476
"r_species[Chrysemys_picta,Intercept]",1.00008426119894,25030.6378721087,12407.4899258811
"r_species[Ciconia_ciconia,Intercept]",0.999989048386856,23117.7274052717,12537.0716206715
"r_species[Clemmys_insculpta,Intercept]",1.00051409621582,10231.5908609397,10621.6738382286
"r_species[Copidosoma_bakeri,Intercept]",1.00096115319799,5252.96951039525,10488.4327330245
"r_species[Coronella_austriaca,Intercept]",1.00019534896698,9682.74231989198,10647.0018024668
"r_species[Crocidura_russula,Intercept]",1.0001359056955,11104.7281064422,9498.0320301149
