"value","parameter","panel"
-0.286355,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0179996,"Pooled mean (Fisher's Z)","Fixed effect"
-0.274068,"Pooled mean (Fisher's Z)","Fixed effect"
-0.33926,"Pooled mean (Fisher's Z)","Fixed effect"
-0.243907,"Pooled mean (Fisher's Z)","Fixed effect"
-0.222313,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0280372,"Pooled mean (Fisher's Z)","Fixed effect"
-0.178849,"Pooled mean (Fisher's Z)","Fixed effect"
-0.17584,"Pooled mean (Fisher's Z)","Fixed effect"
0.0327316,"Pooled mean (Fisher's Z)","Fixed effect"
-0.387562,"Pooled mean (Fisher's Z)","Fixed effect"
-0.368724,"Pooled mean (Fisher's Z)","Fixed effect"
0.311014,"Pooled mean (Fisher's Z)","Fixed effect"
0.214724,"Pooled mean (Fisher's Z)","Fixed effect"
0.213698,"Pooled mean (Fisher's Z)","Fixed effect"
0.166273,"Pooled mean (Fisher's Z)","Fixed effect"
-0.122675,"Pooled mean (Fisher's Z)","Fixed effect"
-0.132468,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0698629,"Pooled mean (Fisher's Z)","Fixed effect"
-0.3596,"Pooled mean (Fisher's Z)","Fixed effect"
-0.00860071,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0892916,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0824754,"Pooled mean (Fisher's Z)","Fixed effect"
-0.1767,"Pooled mean (Fisher's Z)","Fixed effect"
-0.218958,"Pooled mean (Fisher's Z)","Fixed effect"
-0.237857,"Pooled mean (Fisher's Z)","Fixed effect"
0.13443,"Pooled mean (Fisher's Z)","Fixed effect"
0.171485,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0474793,"Pooled mean (Fisher's Z)","Fixed effect"
0.200624,"Pooled mean (Fisher's Z)","Fixed effect"
0.0363886,"Pooled mean (Fisher's Z)","Fixed effect"
-0.303164,"Pooled mean (Fisher's Z)","Fixed effect"
-0.458504,"Pooled mean (Fisher's Z)","Fixed effect"
-0.205476,"Pooled mean (Fisher's Z)","Fixed effect"
-0.157302,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0823516,"Pooled mean (Fisher's Z)","Fixed effect"
-0.334611,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0734874,"Pooled mean (Fisher's Z)","Fixed effect"
-0.214603,"Pooled mean (Fisher's Z)","Fixed effect"
-0.278913,"Pooled mean (Fisher's Z)","Fixed effect"
0.0858433,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0232643,"Pooled mean (Fisher's Z)","Fixed effect"
0.0778436,"Pooled mean (Fisher's Z)","Fixed effect"
-0.120327,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0929422,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0324473,"Pooled mean (Fisher's Z)","Fixed effect"
-0.163535,"Pooled mean (Fisher's Z)","Fixed effect"
-0.200171,"Pooled mean (Fisher's Z)","Fixed effect"
-0.228852,"Pooled mean (Fisher's Z)","Fixed effect"
-0.1888,"Pooled mean (Fisher's Z)","Fixed effect"
0.172946,"Pooled mean (Fisher's Z)","Fixed effect"
0.015777,"Pooled mean (Fisher's Z)","Fixed effect"
-0.105247,"Pooled mean (Fisher's Z)","Fixed effect"
