"parameter","rhat","ess_bulk","ess_tail"
"b_Intercept",1.00006641225469,9206.70922038673,8577.38356281985
"sd_phy__Intercept",1.00096305080412,2501.98883929315,3201.4930972323
"sd_species__Intercept",1.00168601703472,1396.82167620959,1932.59851729403
"sigma",1.00142522189461,1739.91759843502,3273.00824174902
"Intercept",1.00006641225469,9206.70922038673,8577.38356281985
"r_phy[Hogna_helluo,Intercept]",1.00048143453275,11025.7907143991,10507.3132821234
"r_phy[Centruroides_vittatus,Intercept]",1.00041008555916,11084.4531641714,10503.266146244
"r_phy[Chorthippus_brunneus,Intercept]",1.00042334526489,11756.9920185578,9837.54954965324
"r_phy[Prostephanus_truncatus,Intercept]",1.00032679612824,10696.7786507366,9774.02123105718
"r_phy[Nicrophorus_pustulatus,Intercept]",1.00033008010216,10702.0472995692,10376.6485970017
"r_phy[Copidosoma_bakeri,Intercept]",1.0002270576937,10783.2578203371,11122.1989754564
"r_phy[Wyeomyia_smithii,Intercept]",1.00031957497951,10727.6825127696,10229.9451214745
"r_phy[Araschnia_levana,Intercept]",1.00045508768998,10873.0158466341,10994.423131035
"r_phy[Bicyclus_anynana,Intercept]",1.00039000698123,11232.4081724946,10700.9147532365
"r_phy[Lernanthropus_cynoscicola,Intercept]",1.00026650775891,9263.64849313198,9115.9027782148
"r_phy[Daphnia_magna,Intercept]",1.00009346759826,9088.29390784019,8605.16392627085
"r_phy[Austropotamobius_italicus,Intercept]",1.00018890545771,9894.08884574566,9627.8120489103
"r_phy[Galaxias_pullus,Intercept]",1.00011119962298,9124.55941738367,9677.24638431589
"r_phy[Galaxias_eldoni,Intercept]",1.00005405429969,9184.58681632475,9387.69108615755
"r_phy[Galaxias_gollumoides,Intercept]",0.999972502603026,10159.4990603509,11035.3201000383
"r_phy[Galaxias_anomalus,Intercept]",1.00003970864072,10112.5553772559,11026.8112254898
"r_phy[Galaxias_depressiceps,Intercept]",1.00008975289648,9525.99041600492,9769.02723197097
"r_phy[Galaxias_southern,Intercept]",1.00014514485691,9542.93147186546,10261.8391710344
"r_phy[Galaxias_D.,Intercept]",1.00030809260386,9604.5822889509,10336.2975520804
"r_phy[Galaxias_vulgaris,Intercept]",1.00037181688505,9740.60672010579,10540.5316134793
"r_phy[Gambusia_geiseri,Intercept]",1.00007695254998,10789.7146641729,11217.87150496
"r_phy[Gambusia_affinis,Intercept]",1.00047469318742,11270.4724419557,11040.396650512
"r_phy[Gambusia_holbrooki,Intercept]",1.00029486271861,11188.550138864,10938.6911005241
"r_phy[Neolamprologus_pulcher,Intercept]",1.00024899511143,10785.4617723346,10572.4977609023
"r_phy[Plethodon_albagula,Intercept]",1.00050303370398,9094.84699637212,10444.9833534381
"r_phy[Hynobius_retardatus,Intercept]",1.00049562470916,9126.86897557216,10882.2393486531
"r_phy[Alytes_obstetricans,Intercept]",1.00092553104983,10839.7259942548,11791.3438643767
"r_phy[Rana_arvalis,Intercept]",1.00057745471368,10377.1726829626,11488.9931796855
"r_phy[Epidalea_calamita,Intercept]",1.00069163294402,10538.0756219596,11201.9058776533
"r_phy[Hyla_labialis,Intercept]",1.00092893876295,10437.0421552247,11064.253828969
"r_phy[Cavia_aperea,Intercept]",1.00058660455271,6144.77146435646,6219.84150391226
"r_phy[Marmota_marmota,Intercept]",1.00071488338737,6206.80463140466,6676.30250027022
"r_phy[Urocitellus_columbianus,Intercept]",1.00062171178882,6213.31291503317,6725.25901858487
