"value","parameter","panel"
-0.0934409,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0100741,"Pooled mean (Fisher's Z)","Fixed effect"
-0.117547,"Pooled mean (Fisher's Z)","Fixed effect"
-0.294861,"Pooled mean (Fisher's Z)","Fixed effect"
-0.164762,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0580478,"Pooled mean (Fisher's Z)","Fixed effect"
-0.158658,"Pooled mean (Fisher's Z)","Fixed effect"
-0.029309,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0168718,"Pooled mean (Fisher's Z)","Fixed effect"
-0.322653,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0981288,"Pooled mean (Fisher's Z)","Fixed effect"
-0.142099,"Pooled mean (Fisher's Z)","Fixed effect"
-0.173827,"Pooled mean (Fisher's Z)","Fixed effect"
-0.159333,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0697575,"Pooled mean (Fisher's Z)","Fixed effect"
-0.130185,"Pooled mean (Fisher's Z)","Fixed effect"
0.11779,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0332025,"Pooled mean (Fisher's Z)","Fixed effect"
-0.109401,"Pooled mean (Fisher's Z)","Fixed effect"
-0.251925,"Pooled mean (Fisher's Z)","Fixed effect"
-0.343633,"Pooled mean (Fisher's Z)","Fixed effect"
0.0980943,"Pooled mean (Fisher's Z)","Fixed effect"
-0.477727,"Pooled mean (Fisher's Z)","Fixed effect"
-0.31198,"Pooled mean (Fisher's Z)","Fixed effect"
-0.144012,"Pooled mean (Fisher's Z)","Fixed effect"
0.089237,"Pooled mean (Fisher's Z)","Fixed effect"
0.115155,"Pooled mean (Fisher's Z)","Fixed effect"
-0.276862,"Pooled mean (Fisher's Z)","Fixed effect"
-0.264341,"Pooled mean (Fisher's Z)","Fixed effect"
-0.169354,"Pooled mean (Fisher's Z)","Fixed effect"
-0.106569,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0613316,"Pooled mean (Fisher's Z)","Fixed effect"
-0.244484,"Pooled mean (Fisher's Z)","Fixed effect"
0.0113873,"Pooled mean (Fisher's Z)","Fixed effect"
0.0523422,"Pooled mean (Fisher's Z)","Fixed effect"
-0.134454,"Pooled mean (Fisher's Z)","Fixed effect"
-0.290307,"Pooled mean (Fisher's Z)","Fixed effect"
-0.339309,"Pooled mean (Fisher's Z)","Fixed effect"
0.151025,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0342572,"Pooled mean (Fisher's Z)","Fixed effect"
-0.108363,"Pooled mean (Fisher's Z)","Fixed effect"
-0.125459,"Pooled mean (Fisher's Z)","Fixed effect"
-0.225323,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0538104,"Pooled mean (Fisher's Z)","Fixed effect"
0.0110976,"Pooled mean (Fisher's Z)","Fixed effect"
-0.318405,"Pooled mean (Fisher's Z)","Fixed effect"
-0.280734,"Pooled mean (Fisher's Z)","Fixed effect"
0.0955036,"Pooled mean (Fisher's Z)","Fixed effect"
0.170108,"Pooled mean (Fisher's Z)","Fixed effect"
-0.215938,"Pooled mean (Fisher's Z)","Fixed effect"
-0.389686,"Pooled mean (Fisher's Z)","Fixed effect"
-0.266696,"Pooled mean (Fisher's Z)","Fixed effect"
0.218623,"Pooled mean (Fisher's Z)","Fixed effect"
0.0133693,"Pooled mean (Fisher's Z)","Fixed effect"
0.0414072,"Pooled mean (Fisher's Z)","Fixed effect"
-0.194219,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0319755,"Pooled mean (Fisher's Z)","Fixed effect"
-0.185279,"Pooled mean (Fisher's Z)","Fixed effect"
-0.249578,"Pooled mean (Fisher's Z)","Fixed effect"
-0.00306377,"Pooled mean (Fisher's Z)","Fixed effect"
-0.146509,"Pooled mean (Fisher's Z)","Fixed effect"
0.0101289,"Pooled mean (Fisher's Z)","Fixed effect"
-0.194734,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0325178,"Pooled mean (Fisher's Z)","Fixed effect"
-0.205357,"Pooled mean (Fisher's Z)","Fixed effect"
-0.142654,"Pooled mean (Fisher's Z)","Fixed effect"
-0.116166,"Pooled mean (Fisher's Z)","Fixed effect"
-0.263939,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0877471,"Pooled mean (Fisher's Z)","Fixed effect"
-0.254949,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0716163,"Pooled mean (Fisher's Z)","Fixed effect"
-0.131378,"Pooled mean (Fisher's Z)","Fixed effect"
-0.130169,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0497449,"Pooled mean (Fisher's Z)","Fixed effect"
-0.119929,"Pooled mean (Fisher's Z)","Fixed effect"
0.00281716,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0538242,"Pooled mean (Fisher's Z)","Fixed effect"
