"parameter","rhat","ess_bulk","ess_tail"
"b_Intercept",1.00093076554347,9220.22249568145,8577.57208019945
"sd_phy__Intercept",1.0005988252235,2546.63735774264,4081.24953589898
"sd_species__Intercept",1.00156678934609,1144.13494351754,1319.32471666944
"sd_id__Intercept",NA,NA,NA
"sigma",1.0026259208648,1157.56513745576,2111.64078425479
"Intercept",1.00093076554347,9220.22249568145,8577.57208019945
"r_id[1,Intercept]",1.00010864153907,25361.0302273925,11315.3964488103
"r_id[2,Intercept]",1.00031541208484,23684.2140323089,11585.8398732817
"r_id[3,Intercept]",1.00015129171763,23443.3222096567,11741.7282091032
"r_id[4,Intercept]",0.999881708092789,23462.333362605,11242.169821226
"r_id[5,Intercept]",1.00000589328468,28067.7871615836,11645.0043717534
"r_id[6,Intercept]",1.00044759273015,31026.3348198748,11225.2473382781
"r_id[7,Intercept]",1.00090385823887,30635.7216294901,11377.0474426605
"r_id[8,Intercept]",1.00025494650887,25475.0315024461,10880.1783175748
"r_id[9,Intercept]",1.00086638411642,31531.289783466,11543.759362033
"r_id[10,Intercept]",1.00049886275969,29342.9390500497,11357.7603827925
"r_id[11,Intercept]",1.0006660035347,19769.5401817108,10794.7680697608
"r_id[12,Intercept]",1.00031354118295,31351.0646228238,11108.8079882672
"r_id[13,Intercept]",0.999887058198006,28317.0615687955,10909.9867171826
"r_id[14,Intercept]",1.00031367319011,24283.3097414234,11231.3836724664
"r_id[15,Intercept]",1.0001973154654,29210.8344122516,11237.5216773544
"r_id[16,Intercept]",1.00006726689379,28949.5399358561,12428.5992328978
"r_id[17,Intercept]",1.00003801869036,26243.1846945875,12439.9785722889
"r_id[18,Intercept]",1.00023172817177,29803.682231254,11694.6007027362
"r_id[19,Intercept]",1.00009655424378,21833.7755156272,11347.743598825
"r_id[20,Intercept]",1.00027632129603,16475.1513261195,11494.4742190916
"r_id[21,Intercept]",1.00010984596377,24128.8696532587,11809.5513722831
"r_id[22,Intercept]",1.00043442526074,24055.1152449509,11788.6887358777
"r_id[23,Intercept]",1.00034057594933,29464.07288117,11432.1035410964
"r_id[24,Intercept]",1.00012947577888,16525.0232158354,11149.9924449174
"r_id[25,Intercept]",1.00007070286321,30063.6931191809,10307.5743486664
"r_id[26,Intercept]",1.0004370794563,24652.4646848044,11819.8692358848
"r_id[27,Intercept]",1.00011927496894,21475.6701760466,11396.051956074
"r_id[28,Intercept]",1.00025829809494,22974.8863036312,11881.0654884913
"r_id[29,Intercept]",1.00071689462317,23227.5482502419,11982.4635857044
"r_id[30,Intercept]",0.999980445699196,31997.6207086135,11283.8945295599
