"value","parameter","panel"
-0.172554,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0703597,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0449951,"Pooled mean (Fisher's Z)","Fixed effect"
-0.245247,"Pooled mean (Fisher's Z)","Fixed effect"
-0.119477,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0958876,"Pooled mean (Fisher's Z)","Fixed effect"
-0.194721,"Pooled mean (Fisher's Z)","Fixed effect"
-0.174966,"Pooled mean (Fisher's Z)","Fixed effect"
-0.158784,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0762156,"Pooled mean (Fisher's Z)","Fixed effect"
-0.241767,"Pooled mean (Fisher's Z)","Fixed effect"
0.0860635,"Pooled mean (Fisher's Z)","Fixed effect"
-0.304442,"Pooled mean (Fisher's Z)","Fixed effect"
-0.338109,"Pooled mean (Fisher's Z)","Fixed effect"
-0.13148,"Pooled mean (Fisher's Z)","Fixed effect"
-0.202932,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0701358,"Pooled mean (Fisher's Z)","Fixed effect"
0.180821,"Pooled mean (Fisher's Z)","Fixed effect"
-0.146409,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0771472,"Pooled mean (Fisher's Z)","Fixed effect"
-0.093358,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0171231,"Pooled mean (Fisher's Z)","Fixed effect"
0.107718,"Pooled mean (Fisher's Z)","Fixed effect"
-0.223369,"Pooled mean (Fisher's Z)","Fixed effect"
-0.306295,"Pooled mean (Fisher's Z)","Fixed effect"
-0.386857,"Pooled mean (Fisher's Z)","Fixed effect"
-0.310069,"Pooled mean (Fisher's Z)","Fixed effect"
-0.232351,"Pooled mean (Fisher's Z)","Fixed effect"
-0.232383,"Pooled mean (Fisher's Z)","Fixed effect"
-0.213031,"Pooled mean (Fisher's Z)","Fixed effect"
0.212582,"Pooled mean (Fisher's Z)","Fixed effect"
0.15791,"Pooled mean (Fisher's Z)","Fixed effect"
0.30037,"Pooled mean (Fisher's Z)","Fixed effect"
0.127744,"Pooled mean (Fisher's Z)","Fixed effect"
-0.347669,"Pooled mean (Fisher's Z)","Fixed effect"
-0.308392,"Pooled mean (Fisher's Z)","Fixed effect"
-0.361713,"Pooled mean (Fisher's Z)","Fixed effect"
-0.257001,"Pooled mean (Fisher's Z)","Fixed effect"
-0.462897,"Pooled mean (Fisher's Z)","Fixed effect"
-0.298592,"Pooled mean (Fisher's Z)","Fixed effect"
-0.313233,"Pooled mean (Fisher's Z)","Fixed effect"
0.0787616,"Pooled mean (Fisher's Z)","Fixed effect"
-0.232687,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0764658,"Pooled mean (Fisher's Z)","Fixed effect"
-0.156461,"Pooled mean (Fisher's Z)","Fixed effect"
-0.124816,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0712357,"Pooled mean (Fisher's Z)","Fixed effect"
0.113902,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0577508,"Pooled mean (Fisher's Z)","Fixed effect"
0.115434,"Pooled mean (Fisher's Z)","Fixed effect"
-0.00648619,"Pooled mean (Fisher's Z)","Fixed effect"
0.0148463,"Pooled mean (Fisher's Z)","Fixed effect"
-0.285702,"Pooled mean (Fisher's Z)","Fixed effect"
-0.290339,"Pooled mean (Fisher's Z)","Fixed effect"
0.0539935,"Pooled mean (Fisher's Z)","Fixed effect"
-0.141738,"Pooled mean (Fisher's Z)","Fixed effect"
-0.168309,"Pooled mean (Fisher's Z)","Fixed effect"
-0.157581,"Pooled mean (Fisher's Z)","Fixed effect"
-0.103427,"Pooled mean (Fisher's Z)","Fixed effect"
-0.201021,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0131126,"Pooled mean (Fisher's Z)","Fixed effect"
-0.21247,"Pooled mean (Fisher's Z)","Fixed effect"
-0.193202,"Pooled mean (Fisher's Z)","Fixed effect"
-0.130257,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0672776,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0369919,"Pooled mean (Fisher's Z)","Fixed effect"
-0.167457,"Pooled mean (Fisher's Z)","Fixed effect"
-0.266217,"Pooled mean (Fisher's Z)","Fixed effect"
-0.313422,"Pooled mean (Fisher's Z)","Fixed effect"
-0.112249,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0371542,"Pooled mean (Fisher's Z)","Fixed effect"
-0.124447,"Pooled mean (Fisher's Z)","Fixed effect"
-0.194507,"Pooled mean (Fisher's Z)","Fixed effect"
-0.132159,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0613488,"Pooled mean (Fisher's Z)","Fixed effect"
-0.222497,"Pooled mean (Fisher's Z)","Fixed effect"
-0.206253,"Pooled mean (Fisher's Z)","Fixed effect"
-0.186435,"Pooled mean (Fisher's Z)","Fixed effect"
-0.19979,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0728806,"Pooled mean (Fisher's Z)","Fixed effect"
-0.117848,"Pooled mean (Fisher's Z)","Fixed effect"
-0.019307,"Pooled mean (Fisher's Z)","Fixed effect"
0.00716912,"Pooled mean (Fisher's Z)","Fixed effect"
-0.124484,"Pooled mean (Fisher's Z)","Fixed effect"
-0.131064,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0758402,"Pooled mean (Fisher's Z)","Fixed effect"
-0.165656,"Pooled mean (Fisher's Z)","Fixed effect"
-0.138844,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0412657,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0885739,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0541427,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0792747,"Pooled mean (Fisher's Z)","Fixed effect"
-0.131549,"Pooled mean (Fisher's Z)","Fixed effect"
-0.273027,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0883074,"Pooled mean (Fisher's Z)","Fixed effect"
-0.143895,"Pooled mean (Fisher's Z)","Fixed effect"
-0.174596,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0422743,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0943417,"Pooled mean (Fisher's Z)","Fixed effect"
-0.050628,"Pooled mean (Fisher's Z)","Fixed effect"
-0.41716,"Pooled mean (Fisher's Z)","Fixed effect"
-0.23931,"Pooled mean (Fisher's Z)","Fixed effect"
-0.164121,"Pooled mean (Fisher's Z)","Fixed effect"
-0.108994,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0107186,"Pooled mean (Fisher's Z)","Fixed effect"
-0.209902,"Pooled mean (Fisher's Z)","Fixed effect"
-0.265607,"Pooled mean (Fisher's Z)","Fixed effect"
-0.284032,"Pooled mean (Fisher's Z)","Fixed effect"
0.0718249,"Pooled mean (Fisher's Z)","Fixed effect"
-0.338189,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0161093,"Pooled mean (Fisher's Z)","Fixed effect"
-0.279599,"Pooled mean (Fisher's Z)","Fixed effect"
-0.241687,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0962348,"Pooled mean (Fisher's Z)","Fixed effect"
0.118408,"Pooled mean (Fisher's Z)","Fixed effect"
0.142134,"Pooled mean (Fisher's Z)","Fixed effect"
-0.196835,"Pooled mean (Fisher's Z)","Fixed effect"
-0.19144,"Pooled mean (Fisher's Z)","Fixed effect"
-0.197883,"Pooled mean (Fisher's Z)","Fixed effect"
-0.677875,"Pooled mean (Fisher's Z)","Fixed effect"
-0.698612,"Pooled mean (Fisher's Z)","Fixed effect"
-0.23073,"Pooled mean (Fisher's Z)","Fixed effect"
0.220731,"Pooled mean (Fisher's Z)","Fixed effect"
-0.189944,"Pooled mean (Fisher's Z)","Fixed effect"
-0.256328,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0253764,"Pooled mean (Fisher's Z)","Fixed effect"
0.0372628,"Pooled mean (Fisher's Z)","Fixed effect"
0.016986,"Pooled mean (Fisher's Z)","Fixed effect"
0.0334538,"Pooled mean (Fisher's Z)","Fixed effect"
-0.156404,"Pooled mean (Fisher's Z)","Fixed effect"
-0.205011,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0734741,"Pooled mean (Fisher's Z)","Fixed effect"
-0.156524,"Pooled mean (Fisher's Z)","Fixed effect"
-0.111492,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0905073,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0935231,"Pooled mean (Fisher's Z)","Fixed effect"
-0.293167,"Pooled mean (Fisher's Z)","Fixed effect"
-0.313318,"Pooled mean (Fisher's Z)","Fixed effect"
0.0579177,"Pooled mean (Fisher's Z)","Fixed effect"
-0.370202,"Pooled mean (Fisher's Z)","Fixed effect"
-0.27742,"Pooled mean (Fisher's Z)","Fixed effect"
-0.172098,"Pooled mean (Fisher's Z)","Fixed effect"
-0.183437,"Pooled mean (Fisher's Z)","Fixed effect"
-0.381479,"Pooled mean (Fisher's Z)","Fixed effect"
-0.368285,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0734387,"Pooled mean (Fisher's Z)","Fixed effect"
0.0177397,"Pooled mean (Fisher's Z)","Fixed effect"
-0.485458,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0946214,"Pooled mean (Fisher's Z)","Fixed effect"
-0.198829,"Pooled mean (Fisher's Z)","Fixed effect"
0.0167817,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0834109,"Pooled mean (Fisher's Z)","Fixed effect"
-0.152516,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0124699,"Pooled mean (Fisher's Z)","Fixed effect"
-0.204911,"Pooled mean (Fisher's Z)","Fixed effect"
