"parameter","rhat","ess_bulk","ess_tail"
"b_Intercept",1.00034610396935,8657.51430474501,8439.52711174829
"sd_phy__Intercept",1.00117085467021,2472.02875047036,3536.91160775558
"sd_species__Intercept",1.00136939496824,1224.4995470535,1764.25320795386
"sd_id__Intercept",NA,NA,NA
"sigma",1.00141309919401,1201.94264695591,2684.5666449191
"Intercept",1.00034610396935,8657.51430474501,8439.52711174829
"r_id[1,Intercept]",1.00017667919114,26342.3609355212,12686.5047880683
"r_id[2,Intercept]",1.00002684360233,25921.211523358,11435.10828909
"r_id[3,Intercept]",1.0003663698037,24132.9795648949,12037.6961601896
"r_id[4,Intercept]",1.00004636462266,25390.7422279324,12514.2315850878
"r_id[5,Intercept]",1.0012548254613,26293.9547820339,11693.6672842626
"r_id[6,Intercept]",1.00024744970551,29504.2694654522,12719.0270404152
"r_id[7,Intercept]",1.00113413369938,30185.6263635845,12710.0689984586
"r_id[8,Intercept]",1.00046632352843,27176.1953944642,12028.660911963
"r_id[9,Intercept]",1.0000638667495,30437.7890890472,11678.7828602656
"r_id[10,Intercept]",1.00020434547875,27614.8063578626,12718.9995483637
"r_id[11,Intercept]",1.00081154657071,23032.757559472,11553.6429120598
"r_id[12,Intercept]",1.00013733735978,28280.0524410284,11703.0376697782
"r_id[13,Intercept]",0.999858384200254,25178.1815403893,12523.2987014825
"r_id[14,Intercept]",1.00048538224172,26220.9244609757,12302.5779429642
"r_id[15,Intercept]",1.0003767328421,27264.3899080405,11737.117732731
"r_id[16,Intercept]",1.00008752192846,27100.4022743519,11569.3993015416
"r_id[17,Intercept]",1.00086377944576,26530.2491202045,12464.0487861496
"r_id[18,Intercept]",1.00005440275808,29382.7270317463,12663.1818776205
"r_id[19,Intercept]",1.00039750173275,24755.3070141976,13173.7386833538
"r_id[20,Intercept]",1.0003323587583,16119.7464658748,11398.2958287921
"r_id[21,Intercept]",1.00096997990652,24375.7037118395,11606.1583751279
"r_id[22,Intercept]",1.000000665352,28136.4868288388,12517.0732511987
"r_id[23,Intercept]",1.00052550777937,31750.9495990589,11919.1560269298
"r_id[24,Intercept]",0.999940408191553,13804.5419283082,11344.9122896055
"r_id[25,Intercept]",1.00053816721518,29753.9883855358,11831.1642719672
"r_id[26,Intercept]",1.00075770650376,23650.1651685508,12512.4238515761
"r_id[27,Intercept]",0.999996208331818,23583.3625289548,12405.2729408641
"r_id[28,Intercept]",1.00022158455502,22081.1211016737,12694.5722028741
"r_id[29,Intercept]",1.00015801106607,25361.6513213175,11960.9573875368
