"value","parameter","panel"
-0.0372224,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0202808,"Pooled mean (Fisher's Z)","Fixed effect"
0.11004,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0101635,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0344896,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0986239,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0945868,"Pooled mean (Fisher's Z)","Fixed effect"
0.0397546,"Pooled mean (Fisher's Z)","Fixed effect"
0.0489948,"Pooled mean (Fisher's Z)","Fixed effect"
-0.068444,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0191744,"Pooled mean (Fisher's Z)","Fixed effect"
-0.015894,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0175509,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0831015,"Pooled mean (Fisher's Z)","Fixed effect"
-0.11661,"Pooled mean (Fisher's Z)","Fixed effect"
-0.199472,"Pooled mean (Fisher's Z)","Fixed effect"
-0.129266,"Pooled mean (Fisher's Z)","Fixed effect"
0.137976,"Pooled mean (Fisher's Z)","Fixed effect"
-0.00933568,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0506363,"Pooled mean (Fisher's Z)","Fixed effect"
-0.122355,"Pooled mean (Fisher's Z)","Fixed effect"
0.155079,"Pooled mean (Fisher's Z)","Fixed effect"
0.0980499,"Pooled mean (Fisher's Z)","Fixed effect"
0.0527864,"Pooled mean (Fisher's Z)","Fixed effect"
-0.134581,"Pooled mean (Fisher's Z)","Fixed effect"
-0.149574,"Pooled mean (Fisher's Z)","Fixed effect"
-0.221842,"Pooled mean (Fisher's Z)","Fixed effect"
-0.194982,"Pooled mean (Fisher's Z)","Fixed effect"
-0.23298,"Pooled mean (Fisher's Z)","Fixed effect"
0.0694771,"Pooled mean (Fisher's Z)","Fixed effect"
-0.017945,"Pooled mean (Fisher's Z)","Fixed effect"
-0.304737,"Pooled mean (Fisher's Z)","Fixed effect"
0.0278048,"Pooled mean (Fisher's Z)","Fixed effect"
