"parameter","rhat","ess_bulk","ess_tail"
"b_Intercept",1.00100848944794,5447.80526601674,5342.67635677771
"b_temporally.pooledyes",1.00036885027409,6365.00187656294,9895.83035175624
"sd_species.id__Intercept",1.00233099740993,1241.66076202343,1658.63786630556
"sd_species.id.phy__Intercept",1.00429563019424,1564.09330912748,1708.18097216352
"sd_study.id__Intercept",1.00297496471819,1107.393566281,1614.22540154131
"sigma",1.00014393578743,10594.8063403688,10917.6167038398
"Intercept",1.00092693393749,5471.98913721996,5415.91568165061
"r_species.id[Acanthurus_leucosternon_ott388125,Intercept]",1.00010183775622,23127.6526234635,11506.5877728798
"r_species.id[Acanthurus_nigricans_ott467313,Intercept]",1.00032068099734,19853.4545041847,11158.2789818733
"r_species.id[Acanthurus_nigrofuscus_ott605289,Intercept]",1.00015196857704,22517.9397481449,12177.5095725899
"r_species.id[Achatina_fulica_ott997087,Intercept]",0.999908875336242,10825.0582522905,12836.0429500062
"r_species.id[Aegithalos_glaucogularis_vinaceus_ott5560982,Intercept]",1.0003203617467,11735.8662111787,11508.8588795397
"r_species.id[Aethia_pusilla_ott855484,Intercept]",1.00038915836322,18387.7359082713,12828.4547475071
"r_species.id[Agalychnis_callidryas_ott9483,Intercept]",0.999914049587433,14540.2344367475,12329.4057337569
"r_species.id[Agalychnis_moreletii_ott375954,Intercept]",0.999881111819439,14723.3226850741,12662.2014332078
"r_species.id[Agelena_limbata_ott980314,Intercept]",1.0001379260468,12093.0273414011,11587.5742841592
"r_species.id[Alca_torda_ott855485,Intercept]",1.00004172441108,12860.7360878037,12309.4436114318
"r_species.id[Alpheus_brasileiro_ott1028047,Intercept]",1.00016201069313,9524.29973387249,12021.2670957499
"r_species.id[Alpheus_heterochaelis_ott307247,Intercept]",1.00049111518153,4193.73182904435,8907.37536924513
"r_species.id[Alytes_cisternasii_ott385874,Intercept]",1.00014431417382,19454.1026271981,12235.006534099
"r_species.id[Alytes_obstetricans_obstetricans_ott233453,Intercept]",1.00011691472832,18326.8055269781,12350.4555192247
"r_species.id[Amatitlania_nigrofasciata_ott170115,Intercept]",1.00032649047259,10718.9681446991,11035.9720988194
"r_species.id[Amatitlania_siquia_ott4135111,Intercept]",1.00039333435734,11841.2062847546,12212.5789914511
"r_species.id[Amphilophus_citrinellus_ott358037,Intercept]",1.00050010851342,9478.85572997816,10694.1341889073
"r_species.id[Amphiprion_clarkii_ott674637,Intercept]",1.00029537802646,9835.05380689336,11362.8600233456
"r_species.id[Amphiprion_frenatus_ott674634,Intercept]",1.00012103699394,12415.5358767471,12190.5829863524
"r_species.id[Amphiprion_perideraion_ott674640,Intercept]",1.000657273924,16420.0512079691,12192.4714605772
"r_species.id[Anas_platyrhynchos_platyrhynchos_ott190881,Intercept]",0.99998619955445,13039.320075994,12478.7027628231
"r_species.id[Anaxyrus_americanus_charlesmithi_ott738656,Intercept]",1.00023694413365,7589.71244614045,9986.05611816015
"r_species.id[Anaxyrus_boreas_boreas_ott205884,Intercept]",1.00000128807099,12743.8616188614,12187.3057242495
"r_species.id[Anaxyrus_cognatus_ott436344,Intercept]",1.00061819991222,20508.6713014,12586.006314233
"r_species.id[Anaxyrus_fowleri_ott635213,Intercept]",0.999956970396066,14740.8592889309,12364.8683491054
"r_species.id[Anaxyrus_quercicus_ott931345,Intercept]",1.00034892013845,12704.4738721822,12409.5409917498
"r_species.id[Anaxyrus_terrestris_ott931329,Intercept]",1.0000428329939,25629.394193522,11415.2564575901
"r_species.id[Anaxyrus_woodhousii_ott355919,Intercept]",1.00004247226944,11166.935235554,11962.6963389812
"r_species.id[Anolis_limifrons_ott245842,Intercept]",1.00007375215402,16240.8408470438,12083.697188982
"r_species.id[Anopheles_gambiae_S_ott553555,Intercept]",1.00000756117349,14933.0789443667,13718.6755813122
"r_species.id[Anous_stolidus_ott915882,Intercept]",1.00010807748225,13792.8059314064,13035.8947315086
"r_species.id[Aplysia_californica_ott51009,Intercept]",1.0000026547385,6790.49868369212,10823.4035314534
"r_species.id[Aplysia_kurodai_ott925102,Intercept]",1.00001640205456,14699.1778917437,11630.6951234535
"r_species.id[Aplysia_vaccaria_ott640603,Intercept]",1.00017349589364,8904.28802857221,11596.9347805507
"r_species.id[Aptenodytes_patagonicus_ott494361,Intercept]",1.00037028207694,11445.0184762375,11813.55039684
"r_species.id[Aquarius_remigis_ott436657,Intercept]",1.00020443713209,7449.47867599278,10751.5152935294
"r_species.id[Argiope_bruennichi_ott1043550,Intercept]",1.00069372064844,10052.6507948302,12010.941331597
"r_species.id[Arianta_arbustorum_styriaca_ott69183,Intercept]",1.00042499984743,17496.4944660745,11798.760283368
"r_species.id[Artemia_franciscana_ott59094,Intercept]",1.00030309520823,15552.026550148,12763.4027318412
"r_species.id[Artemia_salina_ott558087,Intercept]",1.00025965837187,13492.5594538259,12860.0981898296
"r_species.id[Ascidonia_flavomaculata_ott4665759,Intercept]",0.999985247104894,17812.0888039549,12668.6899352822
"r_species.id[Asellus_aquaticus_ott335971,Intercept]",1.00024043547877,9597.38829647757,11381.8427549215
"r_species.id[Athene_cunicularia_cunicularia_ott649947,Intercept]",1.00020685943182,13876.7654662278,13302.1644396356
"r_species.id[Athripsodes_cinereus_ott190993,Intercept]",1.00075372603695,12992.2493344646,12218.2948611566
"r_species.id[Brachinus_lateralis_ott3422831,Intercept]",1.00035192101766,14570.5150227423,11987.2126260602
"r_species.id[Bradybaena_pellucida_ott5517787,Intercept]",1.00010834419886,15598.402304454,13173.8834920333
"r_species.id[Branta_bernicla_nigricans_ott799107,Intercept]",0.999954714156196,15207.7389423869,12665.8722289217
"r_species.id[Buccinanops_globulosus_ott440289,Intercept]",1.00029326950363,12482.8562563655,12425.027276957
"r_species.id[Bufo_bufo_ott889350,Intercept]",1.00054311035587,9503.10684073709,11446.4294921036
"r_species.id[Bufo_gargarizans_andrewsi_ott138156,Intercept]",1.00063774838685,9193.48801374746,11486.5159359006
"r_species.id[Bufo_gargarizans_miyakonis_ott857965,Intercept]",1.0002324526142,6742.70730385274,9674.44238813069
"r_species.id[Bufo_japonicus_japonicus_ott4133422,Intercept]",1.00007836464317,11051.3223730943,10976.6205262757
"r_species.id[Bufo_minshanicus_ott3619694,Intercept]",1.00019510669214,10480.4649051607,12081.613342596
"r_species.id[Bufo_stejnegeri_ott563550,Intercept]",1.00042545842905,11449.2456127619,11831.2509401562
"r_species.id[Bulla_gouldiana_ott848010,Intercept]",1.00014381937749,12258.2213291015,12121.1687399637
"r_species.id[Caecidotea_intermedia_ott3000549,Intercept]",1.00014777618416,11551.0376067766,11862.9926091217
"r_species.id[Calidris_mauri_ott234671,Intercept]",0.999936396397962,10223.7771103258,12124.8362704102
"r_species.id[Calidris_pusilla_ott1092981,Intercept]",1.00011899357774,8430.65556752605,11638.0287652628
"r_species.id[Calodromus_ito_ott4606589,Intercept]",0.999961977604014,17545.434233649,12753.3807059826
"r_species.id[Calonectris_borealis_ott3595600,Intercept]",1.00026278707622,10286.2666341113,12367.7592016241
"r_species.id[Calopteryx_splendens_ancilla_ott841780,Intercept]",1.00009481580263,9201.65976481536,10806.4245678405
"r_species.id[Calopteryx_virgo_meridionalis_ott48548,Intercept]",1.00030890055837,9325.92087588712,11056.9492014635
"r_species.id[Camarhynchus_parvulus_ott419367,Intercept]",1.00025337596112,14324.6263521094,12886.5609941538
"r_species.id[Caprella_penantis_ott1062,Intercept]",0.999976808157079,18767.0616414414,14154.7844369267
"r_species.id[Cepphus_grylle_grylle_ott544140,Intercept]",1.00041438103993,12391.3293349061,11909.2277360236
"r_species.id[Ceratophrys_stolzmanni_ott3620341,Intercept]",1.0002778763228,14829.974329748,12718.6880015278
"r_species.id[Chaetodon_lunulatus_ott1044083,Intercept]",1.00072572517897,22619.2810290638,12269.3182923736
"r_species.id[Chaetodon_melannotus_ott955781,Intercept]",1.00031245936099,20561.2798415413,11779.1143999553
"r_species.id[Chamaeleo_chamaeleon_recticrista_ott113623,Intercept]",1.00027446230937,12035.7834602136,11874.8898571096
"r_species.id[Charadrius_dubius_ott274628,Intercept]",1.00034266866534,11008.8820166554,12552.7267988851
"r_species.id[Chauliognathus_arizonensis_ott3413984,Intercept]",1.00016714758839,10660.5576211622,12762.3468080897
"r_species.id[Chauliognathus_basalis_ott3413950,Intercept]",1.00050819507613,8539.18858191388,11872.4503485326
"r_species.id[Chauliognathus_deceptus_ott3413977,Intercept]",1.00052715092715,9594.73394637218,11974.2630650798
"r_species.id[Chauliognathus_lewisi_ott3413978,Intercept]",1.00011532726793,15568.2688275903,11484.130562514
"r_species.id[Chauliognathus_limbicollis_ott3413962,Intercept]",1.00057165999782,19063.852455737,11992.7992924981
"r_species.id[Chauliognathus_obscurus_ott3413960,Intercept]",1.00034125815223,22077.6350361721,11864.5857120312
"r_species.id[Chauliognathus_pennsylvanicus_ott536547,Intercept]",1.00044334439021,8325.72898053129,10426.6307584596
