"value","parameter","panel"
0.268299,"Pooled mean (Fisher's Z)","Fixed effect"
0.364472,"Pooled mean (Fisher's Z)","Fixed effect"
0.255707,"Pooled mean (Fisher's Z)","Fixed effect"
0.251261,"Pooled mean (Fisher's Z)","Fixed effect"
0.501001,"Pooled mean (Fisher's Z)","Fixed effect"
0.598786,"Pooled mean (Fisher's Z)","Fixed effect"
0.398235,"Pooled mean (Fisher's Z)","Fixed effect"
0.207506,"Pooled mean (Fisher's Z)","Fixed effect"
0.137534,"Pooled mean (Fisher's Z)","Fixed effect"
0.133839,"Pooled mean (Fisher's Z)","Fixed effect"
0.0837956,"Pooled mean (Fisher's Z)","Fixed effect"
0.15712,"Pooled mean (Fisher's Z)","Fixed effect"
0.214014,"Pooled mean (Fisher's Z)","Fixed effect"
0.319425,"Pooled mean (Fisher's Z)","Fixed effect"
0.315204,"Pooled mean (Fisher's Z)","Fixed effect"
0.328621,"Pooled mean (Fisher's Z)","Fixed effect"
0.238898,"Pooled mean (Fisher's Z)","Fixed effect"
0.237698,"Pooled mean (Fisher's Z)","Fixed effect"
0.308094,"Pooled mean (Fisher's Z)","Fixed effect"
0.503501,"Pooled mean (Fisher's Z)","Fixed effect"
0.231081,"Pooled mean (Fisher's Z)","Fixed effect"
0.0590182,"Pooled mean (Fisher's Z)","Fixed effect"
0.360714,"Pooled mean (Fisher's Z)","Fixed effect"
0.3988,"Pooled mean (Fisher's Z)","Fixed effect"
0.355102,"Pooled mean (Fisher's Z)","Fixed effect"
0.463196,"Pooled mean (Fisher's Z)","Fixed effect"
0.526483,"Pooled mean (Fisher's Z)","Fixed effect"
0.863763,"Pooled mean (Fisher's Z)","Fixed effect"
0.742873,"Pooled mean (Fisher's Z)","Fixed effect"
0.522864,"Pooled mean (Fisher's Z)","Fixed effect"
0.466287,"Pooled mean (Fisher's Z)","Fixed effect"
0.342722,"Pooled mean (Fisher's Z)","Fixed effect"
0.32158,"Pooled mean (Fisher's Z)","Fixed effect"
0.445787,"Pooled mean (Fisher's Z)","Fixed effect"
0.12827,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0427605,"Pooled mean (Fisher's Z)","Fixed effect"
0.0104879,"Pooled mean (Fisher's Z)","Fixed effect"
0.0724089,"Pooled mean (Fisher's Z)","Fixed effect"
-0.139667,"Pooled mean (Fisher's Z)","Fixed effect"
0.0333728,"Pooled mean (Fisher's Z)","Fixed effect"
0.169713,"Pooled mean (Fisher's Z)","Fixed effect"
0.477444,"Pooled mean (Fisher's Z)","Fixed effect"
0.375343,"Pooled mean (Fisher's Z)","Fixed effect"
0.366732,"Pooled mean (Fisher's Z)","Fixed effect"
0.45387,"Pooled mean (Fisher's Z)","Fixed effect"
0.377544,"Pooled mean (Fisher's Z)","Fixed effect"
0.279059,"Pooled mean (Fisher's Z)","Fixed effect"
0.386525,"Pooled mean (Fisher's Z)","Fixed effect"
0.504964,"Pooled mean (Fisher's Z)","Fixed effect"
0.354255,"Pooled mean (Fisher's Z)","Fixed effect"
0.451703,"Pooled mean (Fisher's Z)","Fixed effect"
0.343903,"Pooled mean (Fisher's Z)","Fixed effect"
0.463138,"Pooled mean (Fisher's Z)","Fixed effect"
0.61136,"Pooled mean (Fisher's Z)","Fixed effect"
0.577094,"Pooled mean (Fisher's Z)","Fixed effect"
0.339089,"Pooled mean (Fisher's Z)","Fixed effect"
0.274823,"Pooled mean (Fisher's Z)","Fixed effect"
0.284764,"Pooled mean (Fisher's Z)","Fixed effect"
0.210903,"Pooled mean (Fisher's Z)","Fixed effect"
0.49523,"Pooled mean (Fisher's Z)","Fixed effect"
0.437927,"Pooled mean (Fisher's Z)","Fixed effect"
0.232189,"Pooled mean (Fisher's Z)","Fixed effect"
0.0403541,"Pooled mean (Fisher's Z)","Fixed effect"
0.0906577,"Pooled mean (Fisher's Z)","Fixed effect"
0.0577038,"Pooled mean (Fisher's Z)","Fixed effect"
0.0121015,"Pooled mean (Fisher's Z)","Fixed effect"
0.176361,"Pooled mean (Fisher's Z)","Fixed effect"
0.191342,"Pooled mean (Fisher's Z)","Fixed effect"
0.185244,"Pooled mean (Fisher's Z)","Fixed effect"
0.212017,"Pooled mean (Fisher's Z)","Fixed effect"
0.492334,"Pooled mean (Fisher's Z)","Fixed effect"
0.546275,"Pooled mean (Fisher's Z)","Fixed effect"
0.545411,"Pooled mean (Fisher's Z)","Fixed effect"
0.656804,"Pooled mean (Fisher's Z)","Fixed effect"
0.488626,"Pooled mean (Fisher's Z)","Fixed effect"
0.464817,"Pooled mean (Fisher's Z)","Fixed effect"
0.0951877,"Pooled mean (Fisher's Z)","Fixed effect"
0.286082,"Pooled mean (Fisher's Z)","Fixed effect"
0.296946,"Pooled mean (Fisher's Z)","Fixed effect"
0.183774,"Pooled mean (Fisher's Z)","Fixed effect"
0.28879,"Pooled mean (Fisher's Z)","Fixed effect"
0.523949,"Pooled mean (Fisher's Z)","Fixed effect"
0.281674,"Pooled mean (Fisher's Z)","Fixed effect"
0.447905,"Pooled mean (Fisher's Z)","Fixed effect"
0.524568,"Pooled mean (Fisher's Z)","Fixed effect"
0.201431,"Pooled mean (Fisher's Z)","Fixed effect"
0.105888,"Pooled mean (Fisher's Z)","Fixed effect"
0.027063,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0250201,"Pooled mean (Fisher's Z)","Fixed effect"
0.465938,"Pooled mean (Fisher's Z)","Fixed effect"
0.299474,"Pooled mean (Fisher's Z)","Fixed effect"
0.37833,"Pooled mean (Fisher's Z)","Fixed effect"
0.422331,"Pooled mean (Fisher's Z)","Fixed effect"
0.470466,"Pooled mean (Fisher's Z)","Fixed effect"
0.380724,"Pooled mean (Fisher's Z)","Fixed effect"
0.296419,"Pooled mean (Fisher's Z)","Fixed effect"
0.286726,"Pooled mean (Fisher's Z)","Fixed effect"
0.217286,"Pooled mean (Fisher's Z)","Fixed effect"
0.19893,"Pooled mean (Fisher's Z)","Fixed effect"
0.202047,"Pooled mean (Fisher's Z)","Fixed effect"
0.335632,"Pooled mean (Fisher's Z)","Fixed effect"
0.285034,"Pooled mean (Fisher's Z)","Fixed effect"
0.271606,"Pooled mean (Fisher's Z)","Fixed effect"
0.249521,"Pooled mean (Fisher's Z)","Fixed effect"
0.0489784,"Pooled mean (Fisher's Z)","Fixed effect"
0.313092,"Pooled mean (Fisher's Z)","Fixed effect"
0.411931,"Pooled mean (Fisher's Z)","Fixed effect"
0.290473,"Pooled mean (Fisher's Z)","Fixed effect"
0.184321,"Pooled mean (Fisher's Z)","Fixed effect"
0.748162,"Pooled mean (Fisher's Z)","Fixed effect"
0.807319,"Pooled mean (Fisher's Z)","Fixed effect"
0.626975,"Pooled mean (Fisher's Z)","Fixed effect"
0.704198,"Pooled mean (Fisher's Z)","Fixed effect"
0.703229,"Pooled mean (Fisher's Z)","Fixed effect"
0.376026,"Pooled mean (Fisher's Z)","Fixed effect"
0.273069,"Pooled mean (Fisher's Z)","Fixed effect"
0.35848,"Pooled mean (Fisher's Z)","Fixed effect"
0.0454699,"Pooled mean (Fisher's Z)","Fixed effect"
0.100369,"Pooled mean (Fisher's Z)","Fixed effect"
0.404402,"Pooled mean (Fisher's Z)","Fixed effect"
0.335917,"Pooled mean (Fisher's Z)","Fixed effect"
0.224059,"Pooled mean (Fisher's Z)","Fixed effect"
0.244549,"Pooled mean (Fisher's Z)","Fixed effect"
0.335826,"Pooled mean (Fisher's Z)","Fixed effect"
0.334598,"Pooled mean (Fisher's Z)","Fixed effect"
0.362449,"Pooled mean (Fisher's Z)","Fixed effect"
0.439529,"Pooled mean (Fisher's Z)","Fixed effect"
0.321421,"Pooled mean (Fisher's Z)","Fixed effect"
0.417144,"Pooled mean (Fisher's Z)","Fixed effect"
0.401399,"Pooled mean (Fisher's Z)","Fixed effect"
0.333581,"Pooled mean (Fisher's Z)","Fixed effect"
0.3159,"Pooled mean (Fisher's Z)","Fixed effect"
0.48736,"Pooled mean (Fisher's Z)","Fixed effect"
0.480771,"Pooled mean (Fisher's Z)","Fixed effect"
0.0876887,"Pooled mean (Fisher's Z)","Fixed effect"
0.0176069,"Pooled mean (Fisher's Z)","Fixed effect"
0.267157,"Pooled mean (Fisher's Z)","Fixed effect"
0.184854,"Pooled mean (Fisher's Z)","Fixed effect"
0.184648,"Pooled mean (Fisher's Z)","Fixed effect"
0.233187,"Pooled mean (Fisher's Z)","Fixed effect"
0.363286,"Pooled mean (Fisher's Z)","Fixed effect"
0.255819,"Pooled mean (Fisher's Z)","Fixed effect"
0.0971418,"Pooled mean (Fisher's Z)","Fixed effect"
0.0661322,"Pooled mean (Fisher's Z)","Fixed effect"
0.149564,"Pooled mean (Fisher's Z)","Fixed effect"
0.17449,"Pooled mean (Fisher's Z)","Fixed effect"
0.177666,"Pooled mean (Fisher's Z)","Fixed effect"
0.319839,"Pooled mean (Fisher's Z)","Fixed effect"
0.406269,"Pooled mean (Fisher's Z)","Fixed effect"
0.272471,"Pooled mean (Fisher's Z)","Fixed effect"
0.186665,"Pooled mean (Fisher's Z)","Fixed effect"
0.276572,"Pooled mean (Fisher's Z)","Fixed effect"
0.285259,"Pooled mean (Fisher's Z)","Fixed effect"
0.119783,"Pooled mean (Fisher's Z)","Fixed effect"
0.120435,"Pooled mean (Fisher's Z)","Fixed effect"
0.185855,"Pooled mean (Fisher's Z)","Fixed effect"
0.442989,"Pooled mean (Fisher's Z)","Fixed effect"
0.340318,"Pooled mean (Fisher's Z)","Fixed effect"
0.390573,"Pooled mean (Fisher's Z)","Fixed effect"
0.264252,"Pooled mean (Fisher's Z)","Fixed effect"
0.299768,"Pooled mean (Fisher's Z)","Fixed effect"
0.220838,"Pooled mean (Fisher's Z)","Fixed effect"
0.274406,"Pooled mean (Fisher's Z)","Fixed effect"
0.332419,"Pooled mean (Fisher's Z)","Fixed effect"
0.308351,"Pooled mean (Fisher's Z)","Fixed effect"
0.294391,"Pooled mean (Fisher's Z)","Fixed effect"
0.182501,"Pooled mean (Fisher's Z)","Fixed effect"
0.191343,"Pooled mean (Fisher's Z)","Fixed effect"
0.075436,"Pooled mean (Fisher's Z)","Fixed effect"
0.195935,"Pooled mean (Fisher's Z)","Fixed effect"
0.404501,"Pooled mean (Fisher's Z)","Fixed effect"
-0.00290214,"Pooled mean (Fisher's Z)","Fixed effect"
-0.00389643,"Pooled mean (Fisher's Z)","Fixed effect"
0.00563463,"Pooled mean (Fisher's Z)","Fixed effect"
0.0601923,"Pooled mean (Fisher's Z)","Fixed effect"
0.0159905,"Pooled mean (Fisher's Z)","Fixed effect"
-0.073911,"Pooled mean (Fisher's Z)","Fixed effect"
0.167382,"Pooled mean (Fisher's Z)","Fixed effect"
0.242361,"Pooled mean (Fisher's Z)","Fixed effect"
0.290374,"Pooled mean (Fisher's Z)","Fixed effect"
0.163036,"Pooled mean (Fisher's Z)","Fixed effect"
0.32146,"Pooled mean (Fisher's Z)","Fixed effect"
0.404773,"Pooled mean (Fisher's Z)","Fixed effect"
0.431559,"Pooled mean (Fisher's Z)","Fixed effect"
0.438787,"Pooled mean (Fisher's Z)","Fixed effect"
0.352507,"Pooled mean (Fisher's Z)","Fixed effect"
0.138449,"Pooled mean (Fisher's Z)","Fixed effect"
0.264595,"Pooled mean (Fisher's Z)","Fixed effect"
0.380196,"Pooled mean (Fisher's Z)","Fixed effect"
0.326722,"Pooled mean (Fisher's Z)","Fixed effect"
0.17436,"Pooled mean (Fisher's Z)","Fixed effect"
0.306153,"Pooled mean (Fisher's Z)","Fixed effect"
0.315642,"Pooled mean (Fisher's Z)","Fixed effect"
0.460471,"Pooled mean (Fisher's Z)","Fixed effect"
0.643673,"Pooled mean (Fisher's Z)","Fixed effect"
0.316079,"Pooled mean (Fisher's Z)","Fixed effect"
0.325065,"Pooled mean (Fisher's Z)","Fixed effect"
