"parameter","rhat","ess_bulk","ess_tail"
"b_Intercept",0.999974386320077,15328.3867105435,10786.2576407773
"sd_effect.size.id__Intercept",1.00079148985228,4994.18669075581,8837.40115224993
"sd_species.id__Intercept",1.00094210947592,2431.07238859154,3459.82516518696
"sd_species.id.phy__Intercept",1.00068645620908,3669.40027330273,4227.80227519209
"sd_study.id__Intercept",1.00085859899965,2059.71920219741,3710.53777056373
"sigma",NA,NA,NA
"Intercept",0.999974386320077,15328.3867105435,10786.2576407773
"r_effect.size.id[1,Intercept]",1.00012022358165,31379.9922072545,12193.8422597446
"r_effect.size.id[2,Intercept]",1.00078289674194,40536.9172710858,11194.9166560076
"r_effect.size.id[3,Intercept]",1.00007904254855,37698.4928518857,11510.5454558754
"r_effect.size.id[4,Intercept]",1.00004575697831,38209.9987113918,10989.4886285003
"r_effect.size.id[5,Intercept]",1.00025923692646,37128.8158605023,10805.6341456952
"r_effect.size.id[6,Intercept]",1.00067341152107,39976.5544157445,10597.3924395693
"r_effect.size.id[7,Intercept]",1.0000245558069,40984.936494889,10216.1482429228
"r_effect.size.id[8,Intercept]",1.00041907005051,39572.4608437583,11859.4140031179
"r_effect.size.id[9,Intercept]",0.99992584280491,37618.6923332009,11091.5599829359
"r_effect.size.id[10,Intercept]",1.00007093074461,44191.7838323535,10799.5045031862
"r_effect.size.id[11,Intercept]",0.999922681844433,39400.1933215023,10015.442730049
"r_effect.size.id[12,Intercept]",1.00025809580068,39290.9548106874,12208.7159438505
"r_effect.size.id[13,Intercept]",1.00044507448416,37163.5057984743,11555.4640577963
"r_effect.size.id[14,Intercept]",1.00019905576518,24839.461340385,11785.528710749
"r_effect.size.id[15,Intercept]",1.00059078064957,32064.9637844946,11943.6014716868
"r_effect.size.id[16,Intercept]",1.00019010206504,41820.3335343454,11310.6832328423
"r_effect.size.id[17,Intercept]",1.00017156257661,36701.1248533627,10912.2646429945
"r_effect.size.id[18,Intercept]",1.0004727385341,35580.5314660512,12084.9493767265
"r_effect.size.id[19,Intercept]",1.00014649193481,28427.6306373235,12009.3461829862
"r_effect.size.id[20,Intercept]",1.00048214670082,33111.182540221,12129.3542299616
"r_effect.size.id[21,Intercept]",1.00027007027443,29854.4600020278,12639.871680091
"r_effect.size.id[22,Intercept]",1.00015542042454,32731.1757364601,12785.1868729313
"r_effect.size.id[23,Intercept]",0.999967407039544,34529.7219899409,11869.9219789703
"r_effect.size.id[24,Intercept]",1.00094049306998,35539.7142591247,10695.0684975266
"r_effect.size.id[25,Intercept]",0.999999051668664,33442.5125479706,12052.2172107327
"r_effect.size.id[26,Intercept]",1.00001929911621,41061.1998051162,11096.3697093372
"r_effect.size.id[27,Intercept]",0.999880397239411,36822.325525123,11555.7946591706
"r_effect.size.id[28,Intercept]",1.00014847336169,20717.7859737273,12379.9670964317
"r_effect.size.id[29,Intercept]",1.00033388904349,20330.4488219365,12859.1848480127
"r_effect.size.id[30,Intercept]",1.00036900217652,38628.7509570782,11735.203853851
"r_effect.size.id[31,Intercept]",1.00040403445622,37638.3315895213,10640.3856230249
"r_effect.size.id[32,Intercept]",1.00028500450959,34722.9366572419,12876.3322454878
"r_effect.size.id[33,Intercept]",1.00069116030248,35601.5566824725,12067.9793172017
"r_effect.size.id[34,Intercept]",1.00028110856033,42657.4517731031,11193.6624546583
"r_effect.size.id[35,Intercept]",0.999882806849415,35213.9623800509,10819.3084639643
"r_effect.size.id[36,Intercept]",0.999935000832995,43671.2520953076,11355.5971760715
"r_effect.size.id[37,Intercept]",1.00056076578597,42131.739803494,11478.7082849419
"r_effect.size.id[38,Intercept]",1.00070165911485,41901.4284230342,10168.8644731065
"r_effect.size.id[39,Intercept]",1.00027992096498,38955.2574456042,9981.11810925316
"r_effect.size.id[40,Intercept]",1.00015568759252,40460.714741034,10892.7133146931
"r_effect.size.id[41,Intercept]",0.999923418642957,38350.6003145024,12178.3778886306
"r_effect.size.id[42,Intercept]",1.00039853494441,34871.7827160031,10635.3775908321
"r_effect.size.id[43,Intercept]",1.00048097418118,35384.0772327448,13008.2153516913
"r_effect.size.id[44,Intercept]",1.00022842402118,39733.5841986724,12210.9623358906
"r_effect.size.id[45,Intercept]",1.00047278072614,35423.2168066839,11605.5057290796
"r_effect.size.id[46,Intercept]",1.00018078085098,32597.6725793543,12801.8015498547
"r_effect.size.id[47,Intercept]",1.00023035500027,38153.3014014711,11760.0799738213
"r_effect.size.id[48,Intercept]",1.00024388309378,36033.656571349,12591.8690283763
"r_effect.size.id[49,Intercept]",0.99987083227965,34493.8620934181,12221.7294038206
"r_effect.size.id[50,Intercept]",0.999968331639007,34167.7013672932,11224.421102365
"r_effect.size.id[51,Intercept]",1.0000649781543,42041.1484177685,10633.519765901
"r_effect.size.id[52,Intercept]",1.00057750548084,40701.3997081086,10215.6861935188
"r_effect.size.id[53,Intercept]",1.00095699237276,44275.2014627268,11200.7904250674
"r_effect.size.id[54,Intercept]",1.00038650221721,42018.1331115446,9822.18589237641
"r_effect.size.id[55,Intercept]",1.00039207908467,39979.5479677249,9888.93370411667
"r_effect.size.id[56,Intercept]",1.0000589831988,38174.2913362008,11448.7236319481
"r_effect.size.id[57,Intercept]",1.00059519071825,38210.9487915846,10519.3862165035
"r_effect.size.id[58,Intercept]",1.00016441726821,43788.2037347268,10683.5018800084
"r_effect.size.id[59,Intercept]",1.00087130168445,41633.8984764092,11248.5464611447
"r_effect.size.id[60,Intercept]",1.00071520199953,39339.3107767394,10834.6951580204
"r_effect.size.id[61,Intercept]",1.000653203887,40246.5534079141,10803.7226618628
"r_effect.size.id[62,Intercept]",0.999910045655198,38983.4554180314,11266.1086671839
"r_effect.size.id[63,Intercept]",1.0007612586352,40499.8243073778,11040.9502737976
"r_effect.size.id[64,Intercept]",1.00033153115415,40660.9334994186,11014.0921571887
"r_effect.size.id[65,Intercept]",1.00026253629058,42409.3734217776,10646.141373439
"r_effect.size.id[66,Intercept]",1.00024803083604,35785.8888663404,12743.9277835072
"r_effect.size.id[67,Intercept]",1.000114049249,36832.5700690826,10927.6095162471
"r_effect.size.id[68,Intercept]",1.00080519345909,43032.8512319279,11082.1100770235
"r_effect.size.id[69,Intercept]",1.00004783418878,36511.3857369253,12414.363581947
"r_effect.size.id[70,Intercept]",1.00063572508052,36674.5320132591,12137.299274019
"r_effect.size.id[71,Intercept]",1.00043788426839,39286.1573857769,12071.4106101998
"r_effect.size.id[72,Intercept]",1.00116521582288,40120.8314038894,11764.0277380354
"r_effect.size.id[73,Intercept]",1.00015974305795,38448.6370901551,12888.8838100675
"r_effect.size.id[74,Intercept]",1.00006877591919,36533.345530937,10890.4593364436
"r_effect.size.id[75,Intercept]",1.00015372965207,45889.4284847734,11107.2415177817
"r_effect.size.id[76,Intercept]",1.00059879731926,38494.2056396632,11453.4526700444
"r_effect.size.id[77,Intercept]",1.00015465974675,39457.6831184634,11684.1008140289
"r_effect.size.id[78,Intercept]",1.00006247343883,42059.6579233891,11196.9833887072
"r_effect.size.id[79,Intercept]",1.00019080311064,36840.8672461657,12117.2960893749
"r_effect.size.id[80,Intercept]",1.0004087703919,37149.9155504731,11325.128594843
"r_effect.size.id[81,Intercept]",1.00031116438051,35581.1525290512,11718.6579541485
"r_effect.size.id[82,Intercept]",1.00009507760496,36943.2265582809,11656.4530810182
"r_effect.size.id[83,Intercept]",0.999945363596202,35264.4482591145,11093.1848694905
