"value","parameter","panel"
0.437036,"Pooled mean (Fisher's Z)","Fixed effect"
0.337019,"Pooled mean (Fisher's Z)","Fixed effect"
0.340877,"Pooled mean (Fisher's Z)","Fixed effect"
0.622782,"Pooled mean (Fisher's Z)","Fixed effect"
0.574287,"Pooled mean (Fisher's Z)","Fixed effect"
0.209182,"Pooled mean (Fisher's Z)","Fixed effect"
0.332613,"Pooled mean (Fisher's Z)","Fixed effect"
0.300853,"Pooled mean (Fisher's Z)","Fixed effect"
0.378772,"Pooled mean (Fisher's Z)","Fixed effect"
0.293307,"Pooled mean (Fisher's Z)","Fixed effect"
0.254216,"Pooled mean (Fisher's Z)","Fixed effect"
0.343821,"Pooled mean (Fisher's Z)","Fixed effect"
0.413134,"Pooled mean (Fisher's Z)","Fixed effect"
0.507362,"Pooled mean (Fisher's Z)","Fixed effect"
0.325847,"Pooled mean (Fisher's Z)","Fixed effect"
0.416806,"Pooled mean (Fisher's Z)","Fixed effect"
0.28392,"Pooled mean (Fisher's Z)","Fixed effect"
0.411535,"Pooled mean (Fisher's Z)","Fixed effect"
0.0602408,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0506288,"Pooled mean (Fisher's Z)","Fixed effect"
0.45041,"Pooled mean (Fisher's Z)","Fixed effect"
0.391626,"Pooled mean (Fisher's Z)","Fixed effect"
0.457999,"Pooled mean (Fisher's Z)","Fixed effect"
0.72401,"Pooled mean (Fisher's Z)","Fixed effect"
0.376698,"Pooled mean (Fisher's Z)","Fixed effect"
0.0779732,"Pooled mean (Fisher's Z)","Fixed effect"
0.552683,"Pooled mean (Fisher's Z)","Fixed effect"
-0.00839769,"Pooled mean (Fisher's Z)","Fixed effect"
0.451148,"Pooled mean (Fisher's Z)","Fixed effect"
0.76763,"Pooled mean (Fisher's Z)","Fixed effect"
0.932948,"Pooled mean (Fisher's Z)","Fixed effect"
0.531111,"Pooled mean (Fisher's Z)","Fixed effect"
0.294812,"Pooled mean (Fisher's Z)","Fixed effect"
0.443659,"Pooled mean (Fisher's Z)","Fixed effect"
0.277897,"Pooled mean (Fisher's Z)","Fixed effect"
0.27037,"Pooled mean (Fisher's Z)","Fixed effect"
0.294943,"Pooled mean (Fisher's Z)","Fixed effect"
0.405905,"Pooled mean (Fisher's Z)","Fixed effect"
0.39056,"Pooled mean (Fisher's Z)","Fixed effect"
0.290721,"Pooled mean (Fisher's Z)","Fixed effect"
0.334653,"Pooled mean (Fisher's Z)","Fixed effect"
0.267866,"Pooled mean (Fisher's Z)","Fixed effect"
0.37424,"Pooled mean (Fisher's Z)","Fixed effect"
0.311739,"Pooled mean (Fisher's Z)","Fixed effect"
0.37529,"Pooled mean (Fisher's Z)","Fixed effect"
0.414111,"Pooled mean (Fisher's Z)","Fixed effect"
0.727094,"Pooled mean (Fisher's Z)","Fixed effect"
0.284096,"Pooled mean (Fisher's Z)","Fixed effect"
0.411622,"Pooled mean (Fisher's Z)","Fixed effect"
0.439038,"Pooled mean (Fisher's Z)","Fixed effect"
0.123036,"Pooled mean (Fisher's Z)","Fixed effect"
0.0958316,"Pooled mean (Fisher's Z)","Fixed effect"
0.351977,"Pooled mean (Fisher's Z)","Fixed effect"
0.497375,"Pooled mean (Fisher's Z)","Fixed effect"
0.27789,"Pooled mean (Fisher's Z)","Fixed effect"
0.289866,"Pooled mean (Fisher's Z)","Fixed effect"
0.307484,"Pooled mean (Fisher's Z)","Fixed effect"
0.496139,"Pooled mean (Fisher's Z)","Fixed effect"
0.294149,"Pooled mean (Fisher's Z)","Fixed effect"
0.30507,"Pooled mean (Fisher's Z)","Fixed effect"
0.345309,"Pooled mean (Fisher's Z)","Fixed effect"
0.414376,"Pooled mean (Fisher's Z)","Fixed effect"
0.390905,"Pooled mean (Fisher's Z)","Fixed effect"
0.247305,"Pooled mean (Fisher's Z)","Fixed effect"
-0.00437405,"Pooled mean (Fisher's Z)","Fixed effect"
0.319409,"Pooled mean (Fisher's Z)","Fixed effect"
0.285014,"Pooled mean (Fisher's Z)","Fixed effect"
0.222778,"Pooled mean (Fisher's Z)","Fixed effect"
0.0948772,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0164669,"Pooled mean (Fisher's Z)","Fixed effect"
0.0293002,"Pooled mean (Fisher's Z)","Fixed effect"
0.697073,"Pooled mean (Fisher's Z)","Fixed effect"
0.0311477,"Pooled mean (Fisher's Z)","Fixed effect"
0.276762,"Pooled mean (Fisher's Z)","Fixed effect"
0.377073,"Pooled mean (Fisher's Z)","Fixed effect"
0.353859,"Pooled mean (Fisher's Z)","Fixed effect"
0.364949,"Pooled mean (Fisher's Z)","Fixed effect"
0.32277,"Pooled mean (Fisher's Z)","Fixed effect"
0.179804,"Pooled mean (Fisher's Z)","Fixed effect"
0.313593,"Pooled mean (Fisher's Z)","Fixed effect"
0.270619,"Pooled mean (Fisher's Z)","Fixed effect"
0.473776,"Pooled mean (Fisher's Z)","Fixed effect"
0.0869424,"Pooled mean (Fisher's Z)","Fixed effect"
0.516804,"Pooled mean (Fisher's Z)","Fixed effect"
0.305287,"Pooled mean (Fisher's Z)","Fixed effect"
0.455869,"Pooled mean (Fisher's Z)","Fixed effect"
0.41287,"Pooled mean (Fisher's Z)","Fixed effect"
0.258888,"Pooled mean (Fisher's Z)","Fixed effect"
0.339088,"Pooled mean (Fisher's Z)","Fixed effect"
0.69983,"Pooled mean (Fisher's Z)","Fixed effect"
0.348521,"Pooled mean (Fisher's Z)","Fixed effect"
0.364761,"Pooled mean (Fisher's Z)","Fixed effect"
0.129426,"Pooled mean (Fisher's Z)","Fixed effect"
0.25829,"Pooled mean (Fisher's Z)","Fixed effect"
0.619215,"Pooled mean (Fisher's Z)","Fixed effect"
0.273944,"Pooled mean (Fisher's Z)","Fixed effect"
0.452099,"Pooled mean (Fisher's Z)","Fixed effect"
0.421938,"Pooled mean (Fisher's Z)","Fixed effect"
0.372764,"Pooled mean (Fisher's Z)","Fixed effect"
0.050026,"Pooled mean (Fisher's Z)","Fixed effect"
0.681621,"Pooled mean (Fisher's Z)","Fixed effect"
0.359289,"Pooled mean (Fisher's Z)","Fixed effect"
0.365195,"Pooled mean (Fisher's Z)","Fixed effect"
0.354544,"Pooled mean (Fisher's Z)","Fixed effect"
0.408739,"Pooled mean (Fisher's Z)","Fixed effect"
0.264782,"Pooled mean (Fisher's Z)","Fixed effect"
0.38728,"Pooled mean (Fisher's Z)","Fixed effect"
0.502291,"Pooled mean (Fisher's Z)","Fixed effect"
0.400876,"Pooled mean (Fisher's Z)","Fixed effect"
0.506211,"Pooled mean (Fisher's Z)","Fixed effect"
0.435468,"Pooled mean (Fisher's Z)","Fixed effect"
0.40906,"Pooled mean (Fisher's Z)","Fixed effect"
0.282865,"Pooled mean (Fisher's Z)","Fixed effect"
0.29068,"Pooled mean (Fisher's Z)","Fixed effect"
0.38084,"Pooled mean (Fisher's Z)","Fixed effect"
0.266049,"Pooled mean (Fisher's Z)","Fixed effect"
0.482396,"Pooled mean (Fisher's Z)","Fixed effect"
0.332706,"Pooled mean (Fisher's Z)","Fixed effect"
0.438542,"Pooled mean (Fisher's Z)","Fixed effect"
0.279228,"Pooled mean (Fisher's Z)","Fixed effect"
0.32867,"Pooled mean (Fisher's Z)","Fixed effect"
0.369918,"Pooled mean (Fisher's Z)","Fixed effect"
0.553286,"Pooled mean (Fisher's Z)","Fixed effect"
0.236902,"Pooled mean (Fisher's Z)","Fixed effect"
0.589327,"Pooled mean (Fisher's Z)","Fixed effect"
0.35152,"Pooled mean (Fisher's Z)","Fixed effect"
0.341607,"Pooled mean (Fisher's Z)","Fixed effect"
0.072646,"Pooled mean (Fisher's Z)","Fixed effect"
0.485915,"Pooled mean (Fisher's Z)","Fixed effect"
0.288309,"Pooled mean (Fisher's Z)","Fixed effect"
0.386933,"Pooled mean (Fisher's Z)","Fixed effect"
0.457538,"Pooled mean (Fisher's Z)","Fixed effect"
0.365108,"Pooled mean (Fisher's Z)","Fixed effect"
0.362761,"Pooled mean (Fisher's Z)","Fixed effect"
0.391309,"Pooled mean (Fisher's Z)","Fixed effect"
0.13729,"Pooled mean (Fisher's Z)","Fixed effect"
0.428762,"Pooled mean (Fisher's Z)","Fixed effect"
0.209108,"Pooled mean (Fisher's Z)","Fixed effect"
0.539079,"Pooled mean (Fisher's Z)","Fixed effect"
0.65954,"Pooled mean (Fisher's Z)","Fixed effect"
0.360546,"Pooled mean (Fisher's Z)","Fixed effect"
0.256878,"Pooled mean (Fisher's Z)","Fixed effect"
0.402848,"Pooled mean (Fisher's Z)","Fixed effect"
0.247994,"Pooled mean (Fisher's Z)","Fixed effect"
-0.0813607,"Pooled mean (Fisher's Z)","Fixed effect"
0.445292,"Pooled mean (Fisher's Z)","Fixed effect"
0.26263,"Pooled mean (Fisher's Z)","Fixed effect"
0.468248,"Pooled mean (Fisher's Z)","Fixed effect"
0.357475,"Pooled mean (Fisher's Z)","Fixed effect"
