"check","value"
"tree_is_ultrametric",1
"tree_height_constructed_branch_length_units",1
"taxa_missing_from_tree",0
"taxa_missing_from_data",0
"duplicated_tree_tips",0
"factor_order_matches_tree",1
"direct_patristic_symmetric_max_abs",0
"direct_patristic_diagonal_max_abs",0
"direct_patristic_missing_values",0
"raw_patristic_vs_old_normalised_max_abs",6.66133814775094e-16
"old_distance_proportionality_constant",0.5
"literal_identity_minus_A_min_offdiagonal",-0.997058823529412
"direct_vs_old_equivalent_rho_ratio",1.00000004488074
"direct_vs_old_fitted_logLik_abs_diff",1.37690676638158e-08
"direct_vs_old_equivalent_matrix_max_abs",9.88098491916389e-15
"direct_vs_old_fitted_matrix_max_abs",1.65028237741893e-08
"corMartins_names_and_order_identical",1
"corMartins_direct_raw_max_abs",5.55111512312578e-17
"corMartins_direct_raw_mean_abs",1.77439143310408e-19
