"model","component","marginal_variance","generalized_v_tilde","denominator","I2_percent"
"BM","study",0.0191584508703,0.00389078664311631,0.144384789320162,13.2690229770794
"BM","effect_size",0.0144501380509337,0.00389078664311631,0.144384789320162,10.0080750326765
"BM","species_nonphylogenetic",0.0556617542807465,0.00389078664311631,0.144384789320162,38.5509820964041
"BM","species_phylogenetic",0.0512236594750657,0.00389078664311631,0.144384789320162,35.4771854544049
"BM","total",0.140494002677046,0.00389078664311631,0.144384789320162,97.3052655605648
"OU_Model_A","study",0.0157332991878589,0.00389078664311631,0.136982192054056,11.4856529538163
"OU_Model_A","effect_size",0.0144193530012275,0.00389078664311631,0.136982192054056,10.5264434632038
"OU_Model_A","species_nonphylogenetic",6.42492680617396e-09,0.00389078664311631,0.136982192054056,4.69033726926969e-06
"OU_Model_A","species_phylogenetic",0.102938746796926,0.00389078664311631,0.136982192054056,75.1475394380495
"OU_Model_A","total",0.133091405410939,0.00389078664311631,0.136982192054056,97.1596405454068
