"value","parameter","panel"
-0.138126,"Pooled mean (Hedges' d)","Fixed effect"
-0.178139,"Pooled mean (Hedges' d)","Fixed effect"
-0.17851,"Pooled mean (Hedges' d)","Fixed effect"
-0.220192,"Pooled mean (Hedges' d)","Fixed effect"
-0.188035,"Pooled mean (Hedges' d)","Fixed effect"
-0.301109,"Pooled mean (Hedges' d)","Fixed effect"
-0.0744464,"Pooled mean (Hedges' d)","Fixed effect"
-0.271559,"Pooled mean (Hedges' d)","Fixed effect"
-0.38656,"Pooled mean (Hedges' d)","Fixed effect"
-0.533042,"Pooled mean (Hedges' d)","Fixed effect"
-0.162008,"Pooled mean (Hedges' d)","Fixed effect"
-0.465265,"Pooled mean (Hedges' d)","Fixed effect"
0.145494,"Pooled mean (Hedges' d)","Fixed effect"
-0.107729,"Pooled mean (Hedges' d)","Fixed effect"
0.0963053,"Pooled mean (Hedges' d)","Fixed effect"
-0.00538212,"Pooled mean (Hedges' d)","Fixed effect"
-0.264603,"Pooled mean (Hedges' d)","Fixed effect"
0.034822,"Pooled mean (Hedges' d)","Fixed effect"
-0.226023,"Pooled mean (Hedges' d)","Fixed effect"
-0.0529038,"Pooled mean (Hedges' d)","Fixed effect"
-0.465812,"Pooled mean (Hedges' d)","Fixed effect"
-0.17363,"Pooled mean (Hedges' d)","Fixed effect"
-0.0433049,"Pooled mean (Hedges' d)","Fixed effect"
-0.0445648,"Pooled mean (Hedges' d)","Fixed effect"
-0.178438,"Pooled mean (Hedges' d)","Fixed effect"
0.28722,"Pooled mean (Hedges' d)","Fixed effect"
0.0615335,"Pooled mean (Hedges' d)","Fixed effect"
-0.0814599,"Pooled mean (Hedges' d)","Fixed effect"
0.105819,"Pooled mean (Hedges' d)","Fixed effect"
0.244937,"Pooled mean (Hedges' d)","Fixed effect"
0.149525,"Pooled mean (Hedges' d)","Fixed effect"
0.0975325,"Pooled mean (Hedges' d)","Fixed effect"
0.123151,"Pooled mean (Hedges' d)","Fixed effect"
-0.0271422,"Pooled mean (Hedges' d)","Fixed effect"
-0.229809,"Pooled mean (Hedges' d)","Fixed effect"
-0.316493,"Pooled mean (Hedges' d)","Fixed effect"
-0.213544,"Pooled mean (Hedges' d)","Fixed effect"
-0.167318,"Pooled mean (Hedges' d)","Fixed effect"
-0.227367,"Pooled mean (Hedges' d)","Fixed effect"
-0.0579079,"Pooled mean (Hedges' d)","Fixed effect"
-0.378519,"Pooled mean (Hedges' d)","Fixed effect"
-0.128851,"Pooled mean (Hedges' d)","Fixed effect"
-0.0900629,"Pooled mean (Hedges' d)","Fixed effect"
-0.0619842,"Pooled mean (Hedges' d)","Fixed effect"
-0.101157,"Pooled mean (Hedges' d)","Fixed effect"
0.100113,"Pooled mean (Hedges' d)","Fixed effect"
0.0185843,"Pooled mean (Hedges' d)","Fixed effect"
-0.160769,"Pooled mean (Hedges' d)","Fixed effect"
-0.186981,"Pooled mean (Hedges' d)","Fixed effect"
-0.0236461,"Pooled mean (Hedges' d)","Fixed effect"
0.132811,"Pooled mean (Hedges' d)","Fixed effect"
-0.00924619,"Pooled mean (Hedges' d)","Fixed effect"
0.0859942,"Pooled mean (Hedges' d)","Fixed effect"
0.181672,"Pooled mean (Hedges' d)","Fixed effect"
0.141212,"Pooled mean (Hedges' d)","Fixed effect"
-0.0897259,"Pooled mean (Hedges' d)","Fixed effect"
-0.0918175,"Pooled mean (Hedges' d)","Fixed effect"
-0.0320256,"Pooled mean (Hedges' d)","Fixed effect"
0.0989733,"Pooled mean (Hedges' d)","Fixed effect"
-0.021704,"Pooled mean (Hedges' d)","Fixed effect"
-0.0901242,"Pooled mean (Hedges' d)","Fixed effect"
-0.0785102,"Pooled mean (Hedges' d)","Fixed effect"
