"site_key","latitude","longitude","site_id","x_km","y_km"
"37.06000000_-6.66000000",37.06,-6.66,"37.06000000_-6.66000000",-281.229975720532,-376.706885135428
"38.37000000_-1.61000000",38.37,-1.61,"38.37000000_-1.61000000",165.110696103279,-234.542259392248
"38.42972200_-1.75916700",38.429722,-1.759167,"38.42972200_-1.75916700",151.950397674503,-228.184239753262
"38.48000000_-1.83000000",38.48,-1.83,"38.48000000_-1.83000000",145.662778677931,-222.725415739332
"38.67000000_-0.57000000",38.67,-0.57,"38.67000000_-0.57000000",254.831989718446,-198.787776224681
"39.20000000_-0.91666700",39.2,-0.916667,"39.20000000_-0.91666700",222.968177152056,-140.951362329237
"39.75000000_-0.71666700",39.75,-0.716667,"39.75000000_-0.71666700",238.299411292544,-79.4407338943844
"40.18000000_0.10000000",40.18,0.1,"40.18000000_0.10000000",306.238603431546,-29.2486206073046
"40.19314100_-5.00000000",40.193141,-5,"40.19314100_-5.00000000",-127.603913082859,-32.9567310249138
"40.38305600_-5.11555600",40.383056,-5.115556,"40.38305600_-5.11555600",-137.047203984561,-11.7182599762006
"41.28333300_1.90000000",41.283333,1.9,"41.28333300_1.90000000",451.708097276413,100.743700696706
"41.29346100_1.87723500",41.293461,1.877235,"41.29346100_1.87723500",449.737699125606,101.749106980877
"41.68000000_2.22000000",41.68,2.22,"41.68000000_2.22000000",475.586502593209,146.35830641318
"41.70000000_1.91666700",41.7,1.916667,"41.70000000_1.91666700",450.262399774426,146.981413390096
"41.75000000_1.98333300",41.75,1.983333,"41.75000000_1.98333300",455.45213377746,152.862508020594
"41.77000000_2.86000000",41.77,2.86,"41.77000000_2.86000000",527.991645031298,159.965194181212
"41.97000000_1.41000000",41.97,1.41,"41.97000000_1.41000000",406.523725365691,174.437578381273
"42.00000000_1.56666700",42,1.566667,"42.00000000_1.56666700",419.289717985116,178.495868571688
"42.13000000_-7.44000000",42.13,-7.44,"42.13000000_-7.44000000",-325.479325763685,188.151412779211
"42.15000000_-6.25000000",42.15,-6.25,"42.15000000_-6.25000000",-227.144195482508,186.641842355123
"42.15000000_1.63000000",42.15,1.63,"42.15000000_1.63000000",423.556902090122,195.42229114523
"42.19000000_-4.23000000",42.19,-4.23,"42.19000000_-4.23000000",-60.2687861141531,187.790367235538
"42.22500000_-6.56222200",42.225,-6.562222,"42.22500000_-6.56222200",-252.634189807904,195.813018253928
"42.23000000_-6.77000000",42.23,-6.77,"42.23000000_-6.77000000",-269.747750689986,196.983118329018
"42.25000000_-6.20000000",42.25,-6.2,"42.25000000_-6.20000000",-222.675775272526,197.611039407945
"42.26000000_-8.86000000",42.26,-8.86,"42.26000000_-8.86000000",-441.782153589675,208.741315477103
"42.31666700_-6.21666700",42.316667,-6.216667,"42.31666700_-6.21666700",-223.821946541942,205.051547739178
"42.42000000_-1.25000000",42.42,-1.25,"42.42000000_-1.25000000",185.090511118352,215.438604997566
"42.73333300_-7.90000000",42.733333,-7.9,"42.73333300_-7.90000000",-360.108630800033,256.858393974731
"42.95000000_-9.10000000",42.95,-9.1,"42.95000000_-9.10000000",-456.675095829229,286.443752059457
"43.50000000_-8.63333300",43.5,-8.633333,"43.50000000_-8.63333300",-415.108571214623,345.139102868281
"44.55555600_-0.11111100",44.555556,-0.111111,"44.55555600_-0.11111100",269.620849679953,455.635750162793
