"","37.06000000_-6.66000000","38.37000000_-1.61000000","38.42972200_-1.75916700","38.48000000_-1.83000000","38.67000000_-0.57000000","39.20000000_-0.91666700","39.75000000_-0.71666700","40.18000000_0.10000000","40.19314100_-5.00000000","40.38305600_-5.11555600","41.28333300_1.90000000","41.29346100_1.87723500","41.68000000_2.22000000","41.70000000_1.91666700","41.75000000_1.98333300","41.77000000_2.86000000","41.97000000_1.41000000","42.00000000_1.56666700","42.13000000_-7.44000000","42.15000000_-6.25000000","42.15000000_1.63000000","42.19000000_-4.23000000","42.22500000_-6.56222200","42.23000000_-6.77000000","42.25000000_-6.20000000","42.26000000_-8.86000000","42.31666700_-6.21666700","42.42000000_-1.25000000","42.73333300_-7.90000000","42.95000000_-9.10000000","43.50000000_-8.63333300","44.55555600_-0.11111100"
"37.06000000_-6.66000000",0,468.326153810243,457.838871111063,453.727976430045,564.751879321586,556.624712629084,598.687001427483,682.739156435297,376.627206384307,392.564409912319,875.148918189915,874.048956949466,920.446388507708,900.081053624002,907.732070927424,971.503483170375,881.792849275972,894.312871880471,566.872179839072,566.222173497598,908.241072175469,606.506113880356,573.520481340594,574.092067185354,577.584056024853,607.368220042667,584.876431418141,754.097445824622,638.767870923183,686.291681310479,734.462615565753,998.330927239641
"38.37000000_-1.61000000",468.326153810243,0,14.6197112632017,22.7631685423749,96.6168596643907,110.08454625668,171.606374315189,249.292214342114,355.655268989875,375.697953021064,441.424455035318,440.913398322865,491.788201722611,476.680252877834,484.50404238595,536.43689134312,475.280488615556,485.354043901986,648.064640630094,575.989357840132,502.042253773262,479.0697540194,600.2167477373,613.09305186947,581.070667019593,752.111161240668,587.390279039222,450.757382339517,719.765123405471,811.748634130445,820.650915072672,698.269145423426
"38.42972200_-1.75916700",457.838871111063,14.6197112632017,0,8.32922590603594,107.03830460171,112.542966440622,172.097503153096,251.928174296644,341.212376075158,361.337161287925,445.374680482056,444.795361036011,495.386334731889,479.687630135128,487.526710816372,540.856160066804,476.722729153831,487.059053075947,633.949740242444,562.386375454958,503.588446875623,467.338666892884,586.503638019113,599.28595138623,567.570276012013,737.732741066513,573.929787647883,445.191100326618,705.818927447434,797.580350749638,806.856323072874,694.092526163656
"38.48000000_-1.83000000",453.727976430045,22.7631685423749,8.32922590603594,0,111.805609370761,112.589062354735,170.730633215054,251.60810865907,332.930957184927,353.030404019217,445.656910444097,445.037704847096,495.440553667163,479.403715624063,487.248498853769,541.378716785422,475.542637281851,486.023937734905,625.620526248411,554.113002971029,502.456731560256,459.626201319434,578.211276024545,590.979906346407,559.316712008184,729.43122921159,565.684408294533,440.265285247823,697.497473846765,789.251887296091,798.551194940179,689.814482002005
"38.67000000_-0.57000000",564.751879321586,96.6168596643907,107.03830460171,111.805609370761,0,66.0705583111568,120.568310038122,177.292712192002,417.1533832216,434.573874769144,358.73405311606,358.498568846811,410.040367389541,397.501392988054,405.183813739768,451.277785758662,403.198845137476,411.900360021575,698.039106107026,617.626737719796,429.1409494161,499.124329337922,643.338149343339,657.647130312494,621.089327377249,807.697524953509,626.744307489253,420.380215766728,765.913021506557,861.816039616806,863.458147628295,654.799295010551
"39.20000000_-0.91666700",556.624712629084,110.08454625668,112.542966440622,112.589062354735,66.0705583111568,0,63.4420169403114,139.44126137189,367.136654797987,382.834910938281,333.067883430699,332.449903667094,382.907084856767,367.154021300674,374.99174474341,428.844978767022,365.225391664512,375.269741952868,640.146020157009,557.167336875001,391.9683777344,434.2892085924,583.239914178862,597.961390158325,560.123880136202,751.733531311391,565.561884659485,358.685356377278,706.387001960586,803.43081324793,802.614966207837,598.58431213005
"39.75000000_-0.71666700",598.687001427483,171.606374315189,172.097503153096,170.730633215054,120.568310038122,63.4420169403114,0,84.5449251556435,369.177569402367,381.756282652208,279.558942984505,278.70858935607,327.845383736793,310.430902997216,318.276755070876,376.148372099019,304.819152591544,315.373675775283,624.588305568466,536.584640666506,331.747055494244,401.030497315177,563.30159520358,578.860306965567,538.271679037774,739.229349635917,543.116551718257,299.883792769766,686.944540521162,785.953294135844,779.676389933829,536.120107496007
"40.18000000_0.10000000",682.739156435297,249.292214342114,251.928174296644,251.60810865907,177.292712192002,139.44126137189,84.5449251556435,0,434.263806914993,444.05003303267,195.268862957087,194.479640579979,244.178132801052,227.798882414271,235.642688381721,291.764611066939,227.230958848247,236.715382387404,668.634026856842,575.895243553481,253.668922217759,426.302224987066,602.979921725415,619.327020420487,575.981623109212,785.599625821561,579.999884179326,273.251977187297,725.692605690796,826.197150638672,813.135312320669,486.349337215154
"40.19314100_-5.00000000",376.627206384307,355.655268989875,341.212376075158,332.930957184927,417.1533832216,367.136654797987,369.177569402367,434.263806914993,0,23.2651116453202,595.089668441793,593.395585391774,629.838776353878,605.770143279571,612.489700441552,683.991643239957,573.468586866178,586.847338893299,296.969520776122,241.306553749149,597.097102043216,230.979627371731,260.921532552132,270.550107407455,249.603808545816,396.71420366675,256.928745328971,399.661608058662,371.822775863258,458.900223895545,475.243041769254,629.791934182994
"40.38305600_-5.11555600",392.564409912319,375.697953021064,361.337161287925,353.030404019217,434.573874769144,382.834910938281,381.756282652208,444.05003303267,23.2651116453202,0,599.951462204613,598.204178657739,633.256455319362,608.908100656845,615.469425834991,687.438440992988,575.048563516147,588.449385678362,274.916680146741,218.042099980106,598.136246306175,213.946916498999,237.741662006939,247.517230534173,226.348282628204,376.42123498014,233.678645957858,394.47854747386,349.375226834882,437.394589135536,452.629483027715,619.592373334963
