"","37.06000000_-6.66000000","38.37000000_-1.61000000","38.42972200_-1.75916700","38.48000000_-1.83000000","38.67000000_-0.57000000","39.20000000_-0.91666700","39.75000000_-0.71666700","40.18000000_0.10000000","40.19314100_-5.00000000","40.38305600_-5.11555600","41.28333300_1.90000000","41.29346100_1.87723500","41.68000000_2.22000000","41.70000000_1.91666700","41.75000000_1.98333300","41.77000000_2.86000000","41.97000000_1.41000000","42.00000000_1.56666700","42.13000000_-7.44000000","42.15000000_-6.25000000","42.15000000_1.63000000","42.19000000_-4.23000000","42.22500000_-6.56222200","42.23000000_-6.77000000","42.25000000_-6.20000000","42.26000000_-8.86000000","42.31666700_-6.21666700","42.42000000_-1.25000000","42.73333300_-7.90000000","42.95000000_-9.10000000","43.50000000_-8.63333300","44.55555600_-0.11111100"
"37.06000000_-6.66000000",0,468.434388294486,457.934724699906,453.814628097516,564.816465859393,556.593607485525,598.563236963185,682.52954300884,376.517111925284,392.435177017925,874.732691031907,873.632576122232,919.982813131309,899.627995017838,907.272986824831,971.008008314177,881.342937240045,893.855658925656,566.588829489485,565.939096006964,907.775488480315,606.202107590065,573.233598761376,573.804898520994,577.295134954309,607.06391543146,584.58408807877,753.718168767676,638.456580450922,685.966294931419,734.156052027443,998.113668065708
"38.37000000_-1.61000000",468.434388294486,0,14.6156720154828,22.756521836621,96.5830916597666,110.030650849519,171.502394277222,249.123592524712,355.413235091395,375.43299175919,441.083603630837,440.572824793558,491.406621288794,476.310620288784,484.12870628058,536.021188032633,474.915527649822,484.981927824903,647.571239362297,575.551863464725,501.661196533964,478.707382979334,599.763665707472,612.630410904431,580.63312086548,751.544582015854,586.950863176208,450.424212631871,719.256521334538,811.199109453094,820.173688872756,698.045884647977
"38.42972200_-1.75916700",457.934724699906,14.6156720154828,0,8.32663871325727,106.998944151256,112.485998709161,171.99064709454,251.754306816613,340.975648437394,361.077739781248,445.026143590785,444.447173680653,494.997421504187,479.311295397206,487.144668252196,540.432236989345,476.352713448474,486.681644087112,633.462324366576,561.954970578847,503.20233133475,466.981643779935,586.056621177446,598.829366942458,567.138774210429,737.171813924022,573.496383809102,444.858961361788,705.316103017699,797.036361341096,806.384231859936,693.870386948428
"38.48000000_-1.83000000",453.814628097516,22.756521836621,8.32663871325727,0,111.762816825374,112.530531165371,170.622524168361,251.431632357316,332.696315765785,352.773233225358,445.304397377746,444.685589084881,495.047934608436,479.024079433451,486.863156346087,540.950519889213,475.170366716695,485.644129892252,625.135705900032,553.684560000037,502.068370443556,459.272269410191,577.767164032828,590.526173407696,558.888205146694,728.872477593637,565.254007198268,439.934375962733,696.997381046142,788.710438946205,798.081836877505,689.593702676172
"38.67000000_-0.57000000",564.816465859393,96.5830916597666,106.998944151256,111.762816825374,0,66.0329714881218,120.486690810223,177.161410078213,416.841882856674,434.239917979404,358.440102937552,358.20476508056,409.705227346241,397.176758712677,404.853510065113,450.910069820677,402.874109349823,411.569305242102,697.483447017627,617.136155138749,428.800272003901,498.729545877779,642.831012293448,657.128986594575,620.60106885311,807.063334094783,626.255371455727,420.056387569343,765.353120579673,861.215402106527,862.94658292569,654.590606614835
"39.20000000_-0.91666700",556.593607485525,110.030650849519,112.485998709161,112.530531165371,66.0329714881218,0,63.3924613082737,139.325038672037,366.829157568253,382.507868414147,332.773879007369,332.15649007578,382.573998203707,366.83504054404,374.66702616877,428.474141505862,364.914816364731,374.951571173312,639.611835442868,556.703202572148,391.641508683694,433.928913668476,582.758834757122,597.46857554771,559.66332040134,751.117814415694,565.101255003305,358.397162928728,705.854918649874,802.858370020541,802.13831548065,598.408434637726
"39.75000000_-0.71666700",598.563236963185,171.502394277222,171.99064709454,170.622524168361,120.486690810223,63.3924613082737,0,84.4688230338462,368.844147726029,381.407151314155,279.302162043676,278.452703341482,327.55208792152,310.153667183036,317.993869574273,375.814832978006,304.554785365978,315.101225018901,624.060911544779,536.132155789358,331.466469541856,400.693685892098,562.832505068051,578.378824713119,537.825071671698,738.620219377048,542.671178224769,299.641471700933,686.432289629938,785.40500546588,779.23682497011,535.992421862144
"40.18000000_0.10000000",682.52954300884,249.123592524712,251.754306816613,251.431632357316,177.161410078213,139.325038672037,84.4688230338462,0,433.858363084568,443.632303377928,195.08812684909,194.299755785437,243.96004543377,227.595867264194,235.433941496162,291.506911008237,227.035621301506,236.512848035884,668.079573541333,575.418023853547,253.457297760112,425.950218729194,602.487792664854,618.822333013577,575.513444970792,784.96768252716,579.534947630759,273.036075721387,725.172986508129,825.650644449412,812.716379716345,486.26506445243
"40.19314100_-5.00000000",376.517111925284,355.413235091395,340.975648437394,332.696315765785,416.841882856674,366.829157568253,368.844147726029,433.858363084568,0,23.2432440838449,594.54033571243,592.848209898885,629.279397577017,605.233187582101,611.950278519288,683.391838584754,572.978824851926,586.348740579252,296.721233146724,241.105373749216,596.603069007809,230.788432800046,260.707054532564,270.327958026154,249.399590502051,396.391110509367,256.721348397399,399.347024383866,371.552486789285,458.589698868852,474.989882055242,629.690499233657
"40.38305600_-5.11555600",392.435177017925,375.43299175919,361.077739781248,352.773233225358,434.239917979404,382.507868414147,381.407151314155,443.632303377928,23.2432440838449,0,599.400114582317,597.6548886123,632.699185455991,608.373369727923,614.932756033413,686.841960811771,574.563618226277,587.955938354165,274.689917189434,217.862796442794,597.648869878196,213.772350369723,237.549116469745,247.317003868348,226.165885582851,376.119414441586,233.493052322466,394.173754575867,349.127224920132,437.107051723281,452.399493105562,619.514872028333
