"model","component","value","mean","effect_variance","study_variance","spatial_variance","rho_km","logLik_REML","AIC_REML","status","elapsed_seconds","warnings","free_logLik_REML","delta_logLik_from_free","profile_group_max","delta_logLik_from_grid_max"
"combined","rho",0.1,-0.363933760291397,0.751559625528843,1.13830086119741,7.64654148353559e-08,0.1,-3969.18751484752,7946.37502969504,"completed_no_explicit_optimizer_status",145.204,NA,-3968.25434208591,-0.933172761609967,-3968.23700991103,-0.950504936490233
"combined","rho",1,-0.363933755009993,0.751559627122493,1.13830060572938,4.18529595781796e-08,1,-3969.1875147599,7946.3750295198,"completed_no_explicit_optimizer_status",197.412,NA,-3968.25434208591,-0.933172673989702,-3968.23700991103,-0.950504848869969
"combined","rho",10,-0.363933750372264,0.751559627450055,1.13830059170579,9.3959675182239e-08,10,-3969.18751490299,7946.37502980597,"completed_no_explicit_optimizer_status",1585.125,NA,-3968.25434208591,-0.933172817080049,-3968.23700991103,-0.950504991960315
"combined","rho",30,-0.363933737480008,0.751559625658708,1.13830053707912,4.33667357063996e-07,30,-3969.18751484766,7946.37502969533,"completed_no_explicit_optimizer_status",1630.347,"Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",-3968.25434208591,-0.933172761750029,-3968.23700991103,-0.950504936630296
"combined","rho",100,-0.364304223102385,0.751249510650888,1.07331512079305,0.0527599497025138,100,-3968.92534401087,7945.85068802175,"completed_no_explicit_optimizer_status",484.257,"Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",-3968.25434208591,-0.67100192495991,-3968.23700991103,-0.688334099840176
"combined","rho",200,-0.368300661451839,0.751392539170323,1.03931233371024,0.0816398777670994,200,-3968.40055885159,7944.80111770318,"completed_no_explicit_optimizer_status",439.423,"Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",-3968.25434208591,-0.146216765680037,-3968.23700991103,-0.163548940560304
"combined","rho",385,-0.371562107380074,0.751383511419058,1.05817213553567,0.0677836054378168,385,-3968.23700991103,7944.47401982206,"completed_no_explicit_optimizer_status",452.873,"Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",-3968.25434208591,0.0173321748802664,-3968.23700991103,0
"combined","rho",700,-0.371209254539764,0.751367667508774,1.07818082006566,0.053586091679842,700,-3968.26400949124,7944.52801898249,"completed_no_explicit_optimizer_status",426.824,"Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",-3968.25434208591,-0.00966740532976473,-3968.23700991103,-0.0269995802100311
"combined","rho",1500,-0.366048948241315,0.751373732379145,1.09178168956618,0.0468083186369435,1500,-3968.26421705098,7944.52843410196,"completed_no_explicit_optimizer_status",432.836,"Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",-3968.25434208591,-0.00987496506968455,-3968.23700991103,-0.0272071399499509
"combined","rho",2058.90694724748,-0.362424403130106,0.751387406684054,1.09425214958119,0.0478456429326594,2058.90694724748,-3968.25434208572,7944.50868417144,"completed_no_explicit_optimizer_status",400.79,"Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",-3968.25434208591,1.90084392670542e-10,-3968.23700991103,-0.017332174690182
