"model","component","value"
"spatial_only","tau2",0
"spatial_only","tau2",0.5
"spatial_only","tau2",0.8
"spatial_only","tau2",1
"spatial_only","tau2",1.14948139553663
"spatial_only","tau2",1.3
"spatial_only","tau2",1.5
"spatial_only","tau2",2
"spatial_only","tau2",3
"spatial_only","rho",0.005
"spatial_only","rho",0.02
"spatial_only","rho",0.05
"spatial_only","rho",0.1
"spatial_only","rho",0.136938581658506
"spatial_only","rho",0.2
"spatial_only","rho",0.3
"spatial_only","rho",0.5
"spatial_only","rho",1
"spatial_only","rho",3
"spatial_only","rho",10
"combined","tau2",0
"combined","tau2",0.005
"combined","tau2",0.01
"combined","tau2",0.02
"combined","tau2",0.04
"combined","tau2",0.0478459017885566
"combined","tau2",0.06
"combined","tau2",0.1
"combined","tau2",0.2
"combined","tau2",0.4
"combined","rho",0.1
"combined","rho",1
"combined","rho",10
"combined","rho",30
"combined","rho",100
"combined","rho",200
"combined","rho",385
"combined","rho",700
"combined","rho",1500
"combined","rho",2058.90694724748
"combined","rho",3000
"combined","rho",6000
"combined","rho",12000
