"effect_uid","study_id","study_num","ES_num","response","d_Hedges","var_Hedges","imputed","source","absolute_effect_rank_spatial"
"Jean_2020-4","Jean_2020",168,4,"abundance",-18.39557409,7.216607214,"no","Tab1",1
"Catry_2013a-2","Catry_2013a",204,2,"fitness",-14.89038519,2.530533307,"no","TabA5",2
"Shenoy_2013-5","Shenoy_2013",384,5,"fitness",14.81636439,11.37623269,"no","Fig2",3
"Fuentes-Ramirez_2020-5","Fuentes-Ramirez_2020",330,5,"abundance",-12.572997,8.304012673,"no","Fig3",4
"Dunn_2016-4","Dunn_2016",32,4,"fitness",-11.0282952,2.700485313,"no","Fig3",5
"Johnstone_2006b-6","Johnstone_2006b",361,6,"abundance",10.88745785,5.272364102,"no","Fig1",6
"Schimmel_1996-1","Schimmel_1996",216,1,"abundance",10.52337089,6.652296388,"no","Fig9",7
"Dunn_2016-5","Dunn_2016",32,5,"fitness",-10.36665563,2.405573935,"no","Fig3",8
"Nolan_2014-2","Nolan_2014",157,2,"fitness",-10.3187908,3.57742011,"no","Table 3",9
"Dunn_2016-1","Dunn_2016",32,1,"fitness",-10.27656632,2.366829486,"no","Fig3",10
"Dunn_2016-6","Dunn_2016",32,6,"fitness",-10.07978593,2.283376757,"no","Fig3",11
"Heydari_2017-3","Heydari_2017",319,3,"diversity",-10.00830308,1.802768843,"no","Fig3",12
"Fidelis_2021-1","Fidelis_2021",3,1,"abundance",9.744491218,3.676968182,"no","Tab1",13
"Verma_2015-3","Verma_2015",98,3,"abundance",-9.445785026,4.050952282,"no","Fig5",14
"Williams_1999-2","Williams_1999",389,2,"fitness",-9.423766897,15.46789709,"no","Fig2",15
"Heydari_2017-1","Heydari_2017",319,1,"diversity",-9.381832074,1.600312885,"no","Fig3",16
"Gagnon_2015-2","Gagnon_2015",24,2,"abundance",-9.375232111,0.79912481,"no","Fig5",17
"Verma_2015-5","Verma_2015",98,5,"diversity",-9.106823454,17.38684669,"no","Fig2",18
"Johnston_2019-3","Johnston_2019",289,3,"fitness",-8.933356088,1.567943768,"no","Fig3",19
"Cai_2016-3","Cai_2016",147,3,"abundance",-8.864744891,0.901913562,"no","Fig2",20
"Catry_2013a-1","Catry_2013a",204,1,"fitness",-8.615868913,1.444305178,"no","TabA5",21
"Verma_2015-4","Verma_2015",98,4,"diversity",-8.321897448,14.65079543,"no","Fig5",22
"Fuentes-Ramirez_2020-7","Fuentes-Ramirez_2020",330,7,"abundance",-8.275188513,3.823937247,"no","Fig4",23
"Vivian_2008-3","Vivian_2008",68,3,"abundance",8.241253163,6.326521141,"no","Fig4",24
"Van-Leeuwen_2008-5","Van-Leeuwen_2008",52,5,"abundance",-8.024428774,1.646775541,"no","Fig11",25
"Moradizadeh_2020-10","Moradizadeh_2020",156,10,"diversity",7.990112291,0.997804089,"no","Fig6",26
"Dunn_2016-3","Dunn_2016",32,3,"fitness",-7.97586114,1.491965853,"no","Fig3",27
"Heydari_2017-2","Heydari_2017",319,2,"diversity",-7.924605713,1.179989595,"no","Fig3",28
"Dunn_2016-2","Dunn_2016",32,2,"fitness",-7.571627367,1.361032104,"no","Fig3",29
"Ansley_2015-1","Ansley_2015",83,1,"fitness",7.435582691,1.862225521,"no","Fig4",30
