"model","component","marginal_variance","generalized_v_tilde","I2_percent"
"unstructured_only","total",0.706965762567668,0.000725865052242371,99.8974320136182
"unstructured_only","effect_size",0.230604313039123,0.000725865052242371,32.5854233735512
"unstructured_only","study",0.476361449528544,0.000725865052242371,67.312008640067
"spatial_only","total",0.602991660782136,0.000725865052242371,99.879767437389
"spatial_only","effect_size",0.280333288569452,0.000725865052242371,46.4345122633326
"spatial_only","spatial",0.322658372212684,0.000725865052242371,53.4452551740564
"combined","total",0.694493112095774,0.000725865052242371,99.8955918816802
"combined","effect_size",0.225482834372111,0.000725865052242371,32.433354350755
"combined","study",0.4485942950592,0.000725865052242371,64.5256113260112
"combined","spatial",0.0204159826644641,0.000725865052242371,2.93662620491405
