"model","parameter","fixed_value","estimated_tau2","estimated_rho_km","logLik_REML","AIC_REML","elapsed_seconds","convergence_status","warnings","delta_logLik_from_grid_max"
"combined","rho",10,5.96956975182609e-10,10,-825.239289997317,1658.47857999463,232.098,"completed_no_explicit_optimizer_status",NA,1.69436801710197
"combined","rho",30,1.09352791804901e-09,30,-825.239290045868,1658.47858009174,108.596,"completed_no_explicit_optimizer_status","Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",1.69436806565295
"combined","rho",100,0.00188759532464815,100,-825.227724186768,1658.45544837354,46.621,"completed_no_explicit_optimizer_status","Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",1.68280220655299
"combined","rho",200,0.0150587459182848,200,-824.352786019454,1656.70557203891,32.224,"completed_no_explicit_optimizer_status","Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",0.807864039239007
"combined","rho",400,0.0195522928879255,400,-823.602770156278,1655.20554031256,31.665,"completed_no_explicit_optimizer_status","Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",0.0578481760629757
"combined","rho",535.5823133,0.0204158507498481,535.5823133,-823.544921980215,1655.08984396043,31.953,"completed_no_explicit_optimizer_status","Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",0
"combined","rho",800,0.0217493492355841,800,-823.608866111863,1655.21773222373,33.873,"completed_no_explicit_optimizer_status","Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",0.0639441316479861
"combined","rho",1500,0.0251193746968339,1500,-823.779970792999,1655.559941586,32.465,"completed_no_explicit_optimizer_status","Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",0.235048812784044
"combined","rho",3000,0.0297788421686128,3000,-823.986703212621,1655.97340642524,30.562,"completed_no_explicit_optimizer_status","Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",0.441781232406015
"combined","rho",6000,0.0358650570960987,6000,-824.281623117994,1656.56324623599,28.011,"completed_no_explicit_optimizer_status","Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",0.736701137778937
