"site_id","n_effects","n_studies"
"59.60000000_38.40000000",8,5
"44.90000000_7.70000000",5,5
"37.90000000_-122.70000000",4,4
"-33.90000000_18.80000000",18,3
"53.30000000_-1.80000000",4,3
"53.60000000_-1.40000000",4,3
"-2.40000000_-60.00000000",67,2
"-16.30000000_34.90000000",29,2
"9.10000000_-79.70000000",27,2
"-11.90000000_-71.40000000",21,2
"10.40000000_-84.00000000",4,2
"53.20000000_-2.30000000",4,2
"41.20000000_0.50000000",3,2
"52.90000000_-1.80000000",3,2
"53.30000000_-0.70000000",3,2
"53.50000000_-1.80000000",3,2
"53.90000000_-2.30000000",3,2
"54.80000000_-3.40000000",3,2
"10.20000000_-84.50000000",2,2
"33.70000000_-118.10000000",2,2
"38.20000000_-0.70000000",2,2
"44.80000000_8.80000000",2,2
"52.00000000_-127.00000000",2,2
"53.40000000_-3.70000000",2,2
"53.70000000_-3.00000000",2,2
"53.80000000_-1.70000000",2,2
"53.80000000_-3.20000000",2,2
"53.90000000_-2.80000000",2,2
"54.10000000_-3.30000000",2,2
"62.80000000_-92.10000000",2,2
"9.90000000_9.00000000",39,1
"-13.10000000_-71.60000000",37,1
"-0.60000000_-76.20000000",35,1
"-4.80000000_38.50000000",22,1
"27.10000000_92.40000000",20,1
"9.70000000_-69.60000000",18,1
"10.70000000_-61.30000000",17,1
"4.10000000_-52.70000000",17,1
"3.00000000_102.30000000",14,1
"6.00000000_116.60000000",14,1
"49.80000000_-57.30000000",13,1
"39.10000000_-76.80000000",8,1
"8.60000000_-83.50000000",8,1
"46.20000000_2.60000000",7,1
"19.50000000_-104.20000000",6,1
"-1.80000000_-80.60000000",5,1
"-35.40000000_-72.30000000",5,1
"10.30000000_-83.90000000",5,1
"41.80000000_1.60000000",4,1
"55.20000000_20.90000000",4,1
"38.00000000_-75.30000000",2,1
"39.70000000_-122.00000000",2,1
"47.20000000_-57.80000000",2,1
"52.20000000_5.80000000",2,1
"52.40000000_-0.80000000",2,1
"53.00000000_4.70000000",2,1
"53.20000000_-2.70000000",2,1
"53.80000000_-105.80000000",2,1
"64.20000000_-164.60000000",2,1
"8.80000000_-83.00000000",2,1
"-0.60000000_-76.10000000",1,1
"-13.00000000_40.50000000",1,1
"-19.30000000_-43.50000000",1,1
"-25.10000000_30.60000000",1,1
"-25.40000000_-49.00000000",1,1
"-25.40000000_28.30000000",1,1
