"site_id","site_key","lat","long"
"-0.60000000_-76.10000000","-0.60000000_-76.10000000",-0.6,-76.1
"-0.60000000_-76.20000000","-0.60000000_-76.20000000",-0.6,-76.2
"-1.80000000_-80.60000000","-1.80000000_-80.60000000",-1.8,-80.6
"-11.90000000_-71.40000000","-11.90000000_-71.40000000",-11.9,-71.4
"-13.00000000_40.50000000","-13.00000000_40.50000000",-13,40.5
"-13.10000000_-71.60000000","-13.10000000_-71.60000000",-13.1,-71.6
"-16.30000000_34.90000000","-16.30000000_34.90000000",-16.3,34.9
"-19.30000000_-43.50000000","-19.30000000_-43.50000000",-19.3,-43.5
"-2.40000000_-60.00000000","-2.40000000_-60.00000000",-2.4,-60
"-25.10000000_30.60000000","-25.10000000_30.60000000",-25.1,30.6
"-25.40000000_-49.00000000","-25.40000000_-49.00000000",-25.4,-49
"-25.40000000_28.30000000","-25.40000000_28.30000000",-25.4,28.3
"-25.90000000_26.30000000","-25.90000000_26.30000000",-25.9,26.3
"-26.50000000_24.10000000","-26.50000000_24.10000000",-26.5,24.1
"-26.50000000_27.60000000","-26.50000000_27.60000000",-26.5,27.6
"-27.00000000_24.70000000","-27.00000000_24.70000000",-27,24.7
"-27.30000000_26.20000000","-27.30000000_26.20000000",-27.3,26.2
"-27.40000000_26.60000000","-27.40000000_26.60000000",-27.4,26.6
"-27.40000000_29.50000000","-27.40000000_29.50000000",-27.4,29.5
"-27.40000000_30.00000000","-27.40000000_30.00000000",-27.4,30
"-27.70000000_27.30000000","-27.70000000_27.30000000",-27.7,27.3
"-27.70000000_29.50000000","-27.70000000_29.50000000",-27.7,29.5
"-27.90000000_29.70000000","-27.90000000_29.70000000",-27.9,29.7
"-28.00000000_26.30000000","-28.00000000_26.30000000",-28,26.3
"-28.00000000_30.20000000","-28.00000000_30.20000000",-28,30.2
"-28.10000000_24.10000000","-28.10000000_24.10000000",-28.1,24.1
"-28.10000000_26.40000000","-28.10000000_26.40000000",-28.1,26.4
"-28.30000000_26.20000000","-28.30000000_26.20000000",-28.3,26.2
"-28.40000000_23.80000000","-28.40000000_23.80000000",-28.4,23.8
"-28.50000000_24.90000000","-28.50000000_24.90000000",-28.5,24.9
"-28.50000000_29.90000000","-28.50000000_29.90000000",-28.5,29.9
"-28.60000000_23.60000000","-28.60000000_23.60000000",-28.6,23.6
"-28.90000000_24.80000000","-28.90000000_24.80000000",-28.9,24.8
"-28.90000000_27.20000000","-28.90000000_27.20000000",-28.9,27.2
"-29.20000000_22.40000000","-29.20000000_22.40000000",-29.2,22.4
"-29.20000000_23.20000000","-29.20000000_23.20000000",-29.2,23.2
"-29.30000000_23.50000000","-29.30000000_23.50000000",-29.3,23.5
"-29.30000000_25.40000000","-29.30000000_25.40000000",-29.3,25.4
"-29.30000000_25.50000000","-29.30000000_25.50000000",-29.3,25.5
"-29.30000000_25.90000000","-29.30000000_25.90000000",-29.3,25.9
"-29.40000000_25.00000000","-29.40000000_25.00000000",-29.4,25
"-29.50000000_24.00000000","-29.50000000_24.00000000",-29.5,24
"-29.50000000_25.50000000","-29.50000000_25.50000000",-29.5,25.5
"-29.50000000_27.20000000","-29.50000000_27.20000000",-29.5,27.2
"-29.60000000_30.30000000","-29.60000000_30.30000000",-29.6,30.3
"-29.90000000_25.10000000","-29.90000000_25.10000000",-29.9,25.1
"-30.00000000_24.40000000","-30.00000000_24.40000000",-30,24.4
"-30.10000000_26.50000000","-30.10000000_26.50000000",-30.1,26.5
