"study_id","n_effects","n_sites"
"Desante et al. (2015)",156,156
"Collingham et al. (2014)",50,50
"Johnston et al. (2016)",35,17
"Clark et al. (2011)",18,17
"Siriwardena et al. (1998)",18,16
"Forsman et al. (2011)",11,11
"Kiss et al. (2019)",5,5
"Blakesley et al. (2010)",4,4
"Bonnevie (2014)",4,4
"Martin et al. (2015)",46,3
"Arnold et al. (2016)",3,3
"Robinson et al. (2008)",3,3
"Schaub et al. (2006)",3,3
"Karr et al. (1990)",17,2
"Blake & Loiselle (2002)",4,2
"Bulluck et al. (2013)",2,2
"Camfield et al. (2010)",2,2
"Dobson (1987)",2,2
"Morganti et al. (2018)",2,2
"Newton et al. (1993)",2,2
"Pakanen et al. (2015)",2,2
"Phillips et al. (2018)",2,2
"Seamans et al. (1999)",2,2
"Thaxter et al. (2006)",2,2
"Stevens et al. (2013)",39,1
"Muñoz et al. (2018)",38,1
"Scholer et al. (2019)",37,1
"Blake & Loiselle (2013)",35,1
"Wolfe et al. (2014)",29,1
"Peach et al. (2001)",28,1
"Korfanta et al. (2012)",22,1
"Srinivasan (2019)",20,1
"Brawn et al. (2017)",18,1
"Johnston et al. (1997)",17,1
"Jullien & Clobert (2000)",17,1
"Francis et al. (1999)",16,1
"Francis & Wells (2003)",14,1
"Whitaker et al. (2008)",13,1
"Wilson et al. (2011)",8,1
"Ruiz-Gutíerrez et al. (2012)",6,1
"Parker et al. (2006)",5,1
"Rogers & Meisel (2009)",5,1
"Thomson & Estades (2012)",5,1
"Willson (2004)",5,1
"Payevsky et al. (1997)",4,1
"Lloyd et al. (2014)",3,1
"Shitikov et al. (2017)",3,1
"Bayne & Hobson (2002)",2,1
"Camphuysen & Gronert (2012)",2,1
"Gardali & Nur (2006)",2,1
"Nol et al. (2012)",2,1
"Robertson et al. (2016)",2,1
"Ruiz-Gutíerrez et al. (2008)",2,1
"Serrano et al. (2005)",2,1
"Shitikov et al. (2018)",2,1
"Taylor et al. (2015)",2,1
"Alonso & Arizaga (2013)",1,1
"Altwegg & Underhill (2006)",1,1
"Altwegg et al. (2007)",1,1
"Altwegg et al. (2006)",1,1
"Arizaga & García (2013)",1,1
"Bauchau et al. (1998)",1,1
"Becker et al. (2018)",1,1
"Bennetts et al. (1999)",1,1
"Bijlsma et al. (2012)",1,1
"Boano & Cucco (1991)",1,1
"Boano & Silvano (2015)",1,1
"Boano et al. (1993)",1,1
"Boano et al. (2004)",1,1
"Border et al. (2017)",1,1
"Breton et al. (2008)",1,1
"Budnik et al. (2000)",1,1
"Bulit & Massoni (2011)",1,1
"Calvert et al. (2006)",1,1
"Chase et al. (1997)",1,1
"Cilimburg et al. (2002)",1,1
"Clark et al. (2018)",1,1
"Cohen & Gratto-Trevor (2011)",1,1
"Collins & Doherty (2006)",1,1
"Collins et al. (2010)",1,1
"Conroy et al. (1999)",1,1
"Costa & Elias (1998)",1,1
"Covas et al. (2004)",1,1
"Cowley & Siriwardena (2005)",1,1
"Cox & Jones (2010)",1,1
