"model","component","value","logLik_REML","AIC_REML","status","elapsed_seconds","warnings","delta_logLik_from_profile_max"
"combined","rho",0.03,-4018.48948181145,8044.97896362289,"completed_no_explicit_optimizer_status",131.518,NA,-0.687409556999683
"combined","rho",0.1,-4018.48948191917,8044.97896383835,"completed_no_explicit_optimizer_status",132.299,NA,-0.68740966471978
"combined","rho",0.3,-4018.48948191872,8044.97896383745,"completed_no_explicit_optimizer_status",135.209,NA,-0.68740966426958
"combined","rho",1,-4018.48948178573,8044.97896357145,"completed_no_explicit_optimizer_status",198.321,NA,-0.687409531279627
"combined","rho",3,-4018.48948200865,8044.97896401729,"completed_no_explicit_optimizer_status",443.21,NA,-0.687409754199962
"combined","rho",10,-4018.48948191257,8044.97896382513,"completed_no_explicit_optimizer_status",1683.903,NA,-0.687409658120032
"combined","rho",30,-4018.48948179652,8044.97896359304,"completed_no_explicit_optimizer_status",1669.745,"Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",-0.687409542069872
"combined","rho",100,-4018.33853074,8044.67706148001,"completed_no_explicit_optimizer_status",535.038,"Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",-0.536458485549701
"combined","rho",200,-4017.9280064315,8043.85601286299,"completed_no_explicit_optimizer_status",415.644,"Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",-0.125934177049658
"combined","rho",385,-4017.80207225445,8043.60414450889,"completed_no_explicit_optimizer_status",455.635,"Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",0
"combined","rho",700,-4017.82805311626,8043.65610623252,"completed_no_explicit_optimizer_status",421.387,"Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",-0.025980861809785
"combined","rho",1500,-4017.84015345253,8043.68030690507,"completed_no_explicit_optimizer_status",435.857,"Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",-0.0380811980799081
"combined","rho",3000,-4017.90946273074,8043.81892546147,"completed_no_explicit_optimizer_status",416.141,"Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",-0.107390476289766
"combined","rho",6000,-4018.11371541303,8044.22743082606,"completed_no_explicit_optimizer_status",454.866,"Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",-0.311643158579955
"combined","rho",12000,-4018.28017418734,8044.56034837469,"completed_no_explicit_optimizer_status",449.982,"Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",-0.478101932889786
"combined","tau2",0,-4018.4894814454,8044.9789628908,"completed_no_explicit_optimizer_status",48.833,NA,-0.687136548070157
"combined","tau2",0.005,-4018.27965466205,8044.5593093241,"completed_no_explicit_optimizer_status",369.592,"Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",-0.477309764719848
"combined","tau2",0.01,-4018.13157281475,8044.26314562951,"completed_no_explicit_optimizer_status",328.207,"Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",-0.329227917420212
"combined","tau2",0.02,-4017.94995588354,8043.89991176707,"completed_no_explicit_optimizer_status",342.551,"Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",-0.147610986210111
"combined","tau2",0.04,-4017.83897149077,8043.67794298155,"completed_no_explicit_optimizer_status",514.154,"Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",-0.0366265934399053
"combined","tau2",0.06,-4017.80234489733,8043.60468979465,"completed_no_explicit_optimizer_status",560.719,"Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",0
"combined","tau2",0.1,-4018.26480483149,8044.52960966298,"completed_no_explicit_optimizer_status",375.624,"Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",-0.462459934160051
"combined","tau2",0.2,-4018.39530450732,8044.79060901463,"completed_no_explicit_optimizer_status",457.201,"Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",-0.592959609989975
