"analysis","package","parameter","estimate","ci_lb","ci_ub","interval_method"
"lim","metafor","intrcpt",-0.139507525797353,-0.392081174818243,0.113066123223538,"95% confidence interval reported by metafor"
"lim","metafor","environmentwild",0.0166118385519584,-0.145961820671924,0.179185497775841,"95% confidence interval reported by metafor"
"lim","glmmTMB","(Intercept)",-0.139507525059962,-0.39221304483895,0.113197994719026,"95% Wald confidence interval"
"lim","glmmTMB","environmentwild",0.0166118379913337,-0.149371489419666,0.182595165402333,"95% Wald confidence interval"
"lim","metafor","Effect-size variance",0.0630428404352992,0.0345046943403289,0.112322250747019,"95% profile-likelihood confidence interval"
"lim","metafor","Species variance, phylogenetic",0.0521124166246729,0.00456016888846967,0.247218581472326,"95% profile-likelihood confidence interval"
"lim","metafor","Species variance, non-phylogenetic",0.0792369718918895,0.0250417629162384,0.140593607301591,"95% profile-likelihood confidence interval"
"lim","glmmTMB","Effect-size variance",0.0630428310977551,0.0349820950233771,0.113612365130337,"95% Wald confidence interval on log SD scale, squared to variance"
"lim","glmmTMB","Species variance, non-phylogenetic",0.0792369786957842,0.0393007454085507,0.15975520890426,"95% Wald confidence interval on log SD scale, squared to variance"
"lim","glmmTMB","Species variance, phylogenetic",0.0521124194436744,0.00205767868472951,1.31979024734391,"95% Wald confidence interval on log SD scale, squared to variance"
