"analysis","package","parameter","estimate","ci_lb","ci_ub","interval_method"
"moura","metafor","intrcpt",0.368165850856192,0.113113660650849,0.623218041061534,"95% confidence interval reported by metafor"
"moura","glmmTMB","(Intercept)",0.368165833415745,0.113260972047266,0.623070694784224,"95% Wald confidence interval"
"moura","metafor","Study variance",0.019158451048717,0.0107843436847331,0.0324562291508163,"95% profile-likelihood confidence interval"
"moura","metafor","Effect-size variance",0.0144501380998398,0.0120762395432976,0.0171827559961502,"95% profile-likelihood confidence interval"
"moura","metafor","Species variance, non-phylogenetic",0.0556617542540018,0.0333918544312677,0.0787766242161789,"95% profile-likelihood confidence interval"
"moura","metafor","Species variance, phylogenetic",0.0512236583505108,0.0178577988532191,0.179181459337101,"95% profile-likelihood confidence interval"
"moura","glmmTMB","Effect-size variance",0.0144501440257116,0.0121080080372972,0.0172453356258606,"95% Wald confidence interval on log SD scale, squared to variance"
"moura","glmmTMB","Study variance",0.0191584989216257,0.0111611234269509,0.0328863024705575,"95% Wald confidence interval on log SD scale, squared to variance"
"moura","glmmTMB","Species variance, non-phylogenetic",0.0556615988808999,0.0373592318288528,0.082930334439731,"95% Wald confidence interval on log SD scale, squared to variance"
"moura","glmmTMB","Species variance, phylogenetic",0.0512235320993075,0.00546696449865458,0.479946456827096,"95% Wald confidence interval on log SD scale, squared to variance"
